Equipos;Media_Goles_Locales;Media_Puntos_Locales;Media_Goles_Visitantes;Goles_Favor;Goles_Contra;Diferencia_Goles_Total;Puntos;Posicion;Media_Puntos_Visitantes;Temporada
Celta;1.37;1.32;0.89;43;43;0;46;11;1.11;2021/2022
Barcelona;1.95;2.00;1.63;68;38;30;73;2;1.84;2021/2022
Sevilla;1.89;2.21;0.89;53;30;23;70;4;1.47;2021/2022
Villarreal;2.11;1.89;1.21;63;37;26;59;7;1.21;2021/2022
Elche;1.26;1.42;0.84;40;52;12;42;13;0.79;2021/2022
Betis;1.79;1.68;1.47;62;40;22;65;5;1.74;2021/2022
Espanyol;1.32;1.74;0.79;40;53;13;42;14;0.47;2021/2022
Granada;1.16;1.16;1.16;44;61;17;38;18;0.84;2021/2022
Athletic;1.53;1.79;0.74;43;36;7;55;8;1.11;2021/2022
R. Sociedad;0.84;1.84;1.26;40;37;3;62;6;1.42;2021/2022
Atlético;1.74;2.16;1.68;65;43;22;71;3;1.58;2021/2022
Levante;1.47;1.16;1.21;51;76;25;35;19;0.68;2021/2022
Getafe;1.11;1.47;0.63;33;41;8;39;15;0.58;2021/2022
Rayo;1.37;1.53;0.68;39;50;11;42;12;0.68;2021/2022
Real Madrid;2.31;2.31;1.89;80;31;49;86;1;2.21;2021/2022
