Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Betis;Atlético;2021/2022;1;3;0;3;2
Athletic;Levante;2021/2022;3;1;3;0;1
Atlético;Cádiz;2021/2022;2;1;3;0;1
Levante;Espanyol;2021/2022;1;1;1;1;x
Granada;Elche;2021/2022;0;1;0;3;2
Villarreal;Celta;2021/2022;1;0;3;0;1
Getafe;Valencia;2021/2022;0;0;1;1;x
Rayo;Sevilla;2021/2022;1;1;1;1;x
Betis;Athletic;2021/2022;1;0;3;0;1
R. Sociedad;Alavés;2021/2022;1;0;3;0;1
Barcelona;Osasuna;2021/2022;4;0;3;0;1
Mallorca;Real Madrid;2021/2022;0;3;0;3;2
Athletic;Getafe;2021/2022;1;1;1;1;x
Alavés;Granada;2021/2022;2;3;0;3;2
Elche;Valencia;2021/2022;0;1;0;3;2
Osasuna;Levante;2021/2022;3;1;3;0;1
Rayo;Atlético;2021/2022;0;1;0;3;2
Espanyol;Mallorca;2021/2022;1;0;3;0;1
Celta;Betis;2021/2022;0;0;1;1;x
Cádiz;Villarreal;2021/2022;1;0;3;0;1
Sevilla;R. Sociedad;2021/2022;0;0;1;1;x
Real Madrid;Barcelona;2021/2022;0;4;0;3;2
Getafe;Mallorca;2021/2022;1;0;3;0;1
Levante;Villarreal;2021/2022;2;0;3;0;1
Celta;Real Madrid;2021/2022;1;2;0;3;2
Atlético;Alavés;2021/2022;4;1;3;0;1
Athletic;Elche;2021/2022;2;1;3;0;1
Betis;Osasuna;2021/2022;4;1;3;0;1
Granada;Rayo;2021/2022;2;2;1;1;x
Valencia;Cádiz;2021/2022;0;0;1;1;x
Barcelona;Sevilla;2021/2022;1;0;3;0;1
R. Sociedad;Espanyol;2021/2022;1;0;3;0;1
Sevilla;Granada;2021/2022;4;2;3;0;1
Cádiz;Betis;2021/2022;1;2;0;3;2
Mallorca;Atlético;2021/2022;1;0;3;0;1
Villarreal;Athletic;2021/2022;1;1;1;1;x
Real Madrid;Getafe;2021/2022;2;0;3;0;1
Osasuna;Alavés;2021/2022;1;0;3;0;1
Espanyol;Celta;2021/2022;1;0;3;0;1
Elche;R. Sociedad;2021/2022;1;2;0;3;2
Levante;Barcelona;2021/2022;2;3;0;3;2
Rayo;Valencia;2021/2022;1;1;1;1;x
R. Sociedad;Betis;2021/2022;0;0;1;1;x
Elche;Mallorca;2021/2022;3;0;3;0;1
Alavés;Rayo;2021/2022;1;0;3;0;1
Valencia;Osasuna;2021/2022;1;2;0;3;2
Getafe;Villarreal;2021/2022;1;2;0;3;2
Granada;Levante;2021/2022;1;4;0;3;2
Atlético;Espanyol;2021/2022;2;1;3;0;1
Athletic;Celta;2021/2022;0;2;0;3;2
Sevilla;Real Madrid;2021/2022;2;3;0;3;2
Barcelona;Cádiz;2021/2022;0;1;0;3;2
Mallorca;Alavés;2021/2022;2;1;3;0;1
Betis;Elche;2021/2022;0;1;0;3;2
Villarreal;Valencia;2021/2022;2;0;3;0;1
Atlético;Granada;2021/2022;0;0;1;1;x
Celta;Getafe;2021/2022;0;2;0;3;2
Osasuna;Real Madrid;2021/2022;1;3;0;3;2
Espanyol;Rayo;2021/2022;0;1;0;3;2
Levante;Sevilla;2021/2022;2;3;0;3;2
Cádiz;Athletic;2021/2022;2;3;0;3;2
R. Sociedad;Barcelona;2021/2022;0;1;0;3;2
Sevilla;Cádiz;2021/2022;1;1;1;1;x
Alavés;Villarreal;2021/2022;2;1;3;0;1
Real Madrid;Espanyol;2021/2022;4;0;3;0;1
Valencia;Levante;2021/2022;1;1;1;1;x
Athletic;Atlético;2021/2022;2;0;3;0;1
Elche;Osasuna;2021/2022;1;1;1;1;x
Granada;Celta;2021/2022;1;1;1;1;x
Rayo;R. Sociedad;2021/2022;1;1;1;1;x
Barcelona;Mallorca;2021/2022;2;1;3;0;1
Getafe;Betis;2021/2022;0;0;1;1;x
Levante;R. Sociedad;2021/2022;2;1;3;0;1
Mallorca;Granada;2021/2022;2;2;1;1;x
Athletic;Valencia;2021/2022;0;0;1;1;x
Celta;Alavés;2021/2022;4;0;3;0;1
Cádiz;Elche;2021/2022;3;0;3;0;1
Betis;Barcelona;2021/2022;1;2;0;3;2
Getafe;Rayo;2021/2022;0;0;1;1;x
Villarreal;Sevilla;2021/2022;1;1;1;1;x
Espanyol;Osasuna;2021/2022;1;1;1;1;x
Atlético;Real Madrid;2021/2022;1;0;3;0;1
Valencia;Betis;2021/2022;0;3;0;3;2
Granada;Athletic;2021/2022;1;0;3;0;1
Barcelona;Celta;2021/2022;3;1;3;0;1
Alavés;Espanyol;2021/2022;2;1;3;0;1
Osasuna;Getafe;2021/2022;1;1;1;1;x
Sevilla;Mallorca;2021/2022;0;0;1;1;x
Elche;Atlético;2021/2022;0;2;0;3;2
R. Sociedad;Cádiz;2021/2022;3;0;3;0;1
Rayo;Villarreal;2021/2022;1;5;0;3;2
Real Madrid;Levante;2021/2022;6;0;3;0;1
Espanyol;Valencia;2021/2022;1;1;1;1;x
Athletic;Osasuna;2021/2022;2;0;3;0;1
Atlético;Sevilla;2021/2022;1;1;1;1;x
Celta;Elche;2021/2022;1;0;3;0;1
Cádiz;Real Madrid;2021/2022;1;1;1;1;x
Getafe;Barcelona;2021/2022;0;0;1;1;x
Levante;Alavés;2021/2022;3;1;3;0;1
Mallorca;Rayo;2021/2022;2;1;3;0;1
Betis;Granada;2021/2022;2;0;3;0;1
Villarreal;R. Sociedad;2021/2022;1;2;0;3;2
Rayo;Levante;2021/2022;2;4;0;3;2
Real Madrid;Betis;2021/2022;0;0;1;1;x
Valencia;Celta;2021/2022;2;0;3;0;1
Elche;Getafe;2021/2022;3;1;3;0;1
Alavés;Cádiz;2021/2022;0;1;0;3;2
Granada;Espanyol;2021/2022;0;0;1;1;x
Osasuna;Mallorca;2021/2022;0;2;0;3;2
Barcelona;Villarreal;2021/2022;0;2;0;3;2
R. Sociedad;Atlético;2021/2022;1;2;0;3;2
Sevilla;Athletic;2021/2022;1;0;3;0;1
