Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Leganés;Granada;2019/2020;0;0;1;1;x
Levante;Atlético;2019/2020;0;1;0;3;2
Real Valladolid;Getafe;2019/2020;1;1;1;1;x
Barcelona;Athletic;2019/2020;1;0;3;0;1
Alavés;Osasuna;2019/2020;0;1;0;3;2
R. Sociedad;Celta;2019/2020;0;1;0;3;2
Real Madrid;Mallorca;2019/2020;2;0;3;0;1
Eibar;Valencia;2019/2020;1;0;3;0;1
Betis;Espanyol;2019/2020;1;0;3;0;1
Sevilla;Real Valladolid;2019/2020;1;1;1;1;x
Athletic;Mallorca;2019/2020;3;1;3;0;1
Celta;Barcelona;2019/2020;2;2;1;1;x
Osasuna;Leganés;2019/2020;2;1;3;0;1
Atlético;Alavés;2019/2020;2;1;3;0;1
Levante;Betis;2019/2020;4;2;3;0;1
Villarreal;Valencia;2019/2020;2;0;3;0;1
Granada;Eibar;2019/2020;1;2;0;3;2
Espanyol;Real Madrid;2019/2020;0;1;0;3;2
Getafe;R. Sociedad;2019/2020;2;1;3;0;1
Mallorca;Celta;2019/2020;5;1;3;0;1
Leganés;Sevilla;2019/2020;0;3;0;3;2
Barcelona;Atlético;2019/2020;2;2;1;1;x
Alavés;Granada;2019/2020;0;2;0;3;2
Valencia;Athletic;2019/2020;0;2;0;3;2
Betis;Villarreal;2019/2020;0;2;0;3;2
Real Valladolid;Levante;2019/2020;0;0;1;1;x
Eibar;Osasuna;2019/2020;0;2;0;3;2
R. Sociedad;Espanyol;2019/2020;2;1;3;0;1
Real Madrid;Getafe;2019/2020;1;0;3;0;1
Atlético;Mallorca;2019/2020;3;0;3;0;1
Celta;Betis;2019/2020;1;1;1;1;x
Real Valladolid;Alavés;2019/2020;1;0;3;0;1
Granada;Valencia;2019/2020;2;2;1;1;x
Athletic;Real Madrid;2019/2020;0;1;0;3;2
Espanyol;Leganés;2019/2020;0;1;0;3;2
Osasuna;Getafe;2019/2020;0;0;1;1;x
Villarreal;Barcelona;2019/2020;1;4;0;3;2
Levante;R. Sociedad;2019/2020;1;1;1;1;x
Sevilla;Eibar;2019/2020;1;0;3;0;1
Valencia;Real Valladolid;2019/2020;2;1;3;0;1
Celta;Atlético;2019/2020;1;1;1;1;x
Betis;Osasuna;2019/2020;3;0;3;0;1
Getafe;Villarreal;2019/2020;1;3;0;3;2
Barcelona;Espanyol;2019/2020;1;0;3;0;1
Eibar;Leganés;2019/2020;0;0;1;1;x
Mallorca;Levante;2019/2020;2;0;3;0;1
Athletic;Sevilla;2019/2020;1;2;0;3;2
R. Sociedad;Granada;2019/2020;2;3;0;3;2
Real Madrid;Alavés;2019/2020;2;0;3;0;1
Osasuna;Celta;2019/2020;2;1;3;0;1
Real Valladolid;Barcelona;2019/2020;0;1;0;3;2
Atlético;Betis;2019/2020;1;0;3;0;1
Espanyol;Eibar;2019/2020;0;2;0;3;2
Levante;Athletic;2019/2020;1;2;0;3;2
Leganés;Valencia;2019/2020;1;0;3;0;1
Sevilla;Mallorca;2019/2020;2;0;3;0;1
Alavés;Getafe;2019/2020;0;0;1;1;x
