Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Valencia;Atlético;1;3;2015/2016;06/03/2016
Espanyol;Rayo;2;1;2015/2016;07/03/2016
Málaga;Sporting Gijón;1;0;2015/2016;11/03/2016
Atlético;Deportivo;3;0;2015/2016;12/03/2016
Barcelona;Getafe;6;0;2015/2016;12/03/2016
Celta;R. Sociedad;1;0;2015/2016;12/03/2016
Rayo;Eibar;1;1;2015/2016;12/03/2016
Athletic;Betis;3;1;2015/2016;13/03/2016
Las Palmas;Real Madrid;1;2;2015/2016;13/03/2016
Levante;Valencia;1;0;2015/2016;13/03/2016
Sevilla;Villarreal;4;2;2015/2016;13/03/2016
Granada;Espanyol;1;1;2015/2016;14/03/2016
Getafe;Eibar;1;1;2015/2016;18/03/2016
Betis;Málaga;0;1;2015/2016;19/03/2016
Granada;Rayo;2;2;2015/2016;19/03/2016
Deportivo;Levante;2;1;2015/2016;19/03/2016
R. Sociedad;Las Palmas;0;1;2015/2016;19/03/2016
Sporting Gijón;Atlético;2;1;2015/2016;19/03/2016
Espanyol;Athletic;2;1;2015/2016;20/03/2016
Real Madrid;Sevilla;4;0;2015/2016;20/03/2016
Valencia;Celta;0;2;2015/2016;20/03/2016
Villarreal;Barcelona;2;2;2015/2016;20/03/2016
Rayo;Getafe;2;0;2015/2016;01/04/2016
Atlético;Betis;5;1;2015/2016;02/04/2016
Barcelona;Real Madrid;1;2;2015/2016;02/04/2016
Celta;Deportivo;1;1;2015/2016;02/04/2016
Las Palmas;Valencia;2;1;2015/2016;02/04/2016
Athletic;Granada;1;1;2015/2016;03/04/2016
Eibar;Villarreal;1;2;2015/2016;03/04/2016
Málaga;Espanyol;1;1;2015/2016;03/04/2016
Sevilla;R. Sociedad;1;2;2015/2016;03/04/2016
Levante;Sporting Gijón;0;0;2015/2016;04/04/2016
Granada;Málaga;0;0;2015/2016;08/04/2016
Betis;Levante;1;0;2015/2016;09/04/2016
Espanyol;Atlético;1;3;2015/2016;09/04/2016
Real Madrid;Eibar;4;0;2015/2016;09/04/2016
R. Sociedad;Barcelona;1;0;2015/2016;09/04/2016
Athletic;Rayo;1;0;2015/2016;10/04/2016
Sporting Gijón;Celta;0;1;2015/2016;10/04/2016
Valencia;Sevilla;2;1;2015/2016;10/04/2016
Villarreal;Getafe;2;0;2015/2016;10/04/2016
Deportivo;Las Palmas;1;3;2015/2016;11/04/2016
Levante;Espanyol;2;1;2015/2016;15/04/2016
Celta;Betis;1;1;2015/2016;16/04/2016
Eibar;R. Sociedad;2;1;2015/2016;16/04/2016
Getafe;Real Madrid;1;5;2015/2016;16/04/2016
Las Palmas;Sporting Gijón;1;1;2015/2016;16/04/2016
Atlético;Granada;3;0;2015/2016;17/04/2016
Barcelona;Valencia;1;2;2015/2016;17/04/2016
Málaga;Athletic;0;1;2015/2016;17/04/2016
Sevilla;Deportivo;1;1;2015/2016;17/04/2016
Rayo;Villarreal;2;1;2015/2016;17/04/2016
Betis;Las Palmas;1;0;2015/2016;19/04/2016
Espanyol;Celta;1;1;2015/2016;19/04/2016
Athletic;Atlético;0;1;2015/2016;20/04/2016
Deportivo;Barcelona;0;8;2015/2016;20/04/2016
Málaga;Rayo;1;1;2015/2016;20/04/2016
Real Madrid;Villarreal;3;0;2015/2016;20/04/2016
Sporting Gijón;Sevilla;2;1;2015/2016;20/04/2016
Valencia;Eibar;4;0;2015/2016;20/04/2016
Granada;Levante;5;1;2015/2016;21/04/2016
R. Sociedad;Getafe;1;2;2015/2016;21/04/2016
Las Palmas;Espanyol;4;0;2015/2016;22/04/2016
Atlético;Málaga;1;0;2015/2016;23/04/2016
Barcelona;Sporting Gijón;6;0;2015/2016;23/04/2016
Eibar;Deportivo;1;1;2015/2016;23/04/2016
Rayo;Real Madrid;2;3;2015/2016;23/04/2016
Getafe;Valencia;2;2;2015/2016;24/04/2016
Levante;Athletic;2;2;2015/2016;24/04/2016
Sevilla;Betis;2;0;2015/2016;24/04/2016
Villarreal;R. Sociedad;0;0;2015/2016;24/04/2016
Celta;Granada;2;1;2015/2016;25/04/2016
Sporting Gijón;Eibar;2;0;2015/2016;29/04/2016
Atlético;Rayo;1;0;2015/2016;30/04/2016
Betis;Barcelona;0;2;2015/2016;30/04/2016
Granada;Las Palmas;3;2;2015/2016;30/04/2016
R. Sociedad;Real Madrid;0;1;2015/2016;30/04/2016
Athletic;Celta;2;1;2015/2016;01/05/2016
Espanyol;Sevilla;1;0;2015/2016;01/05/2016
Deportivo;Getafe;0;2;2015/2016;01/05/2016
Valencia;Villarreal;0;2;2015/2016;01/05/2016
Málaga;Levante;3;1;2015/2016;02/05/2016
Barcelona;Espanyol;5;0;2015/2016;08/05/2016
Celta;Málaga;1;0;2015/2016;08/05/2016
Eibar;Betis;1;1;2015/2016;08/05/2016
Getafe;Sporting Gijón;1;1;2015/2016;08/05/2016
Las Palmas;Athletic;0;0;2015/2016;08/05/2016
Levante;Atlético;2;1;2015/2016;08/05/2016
Real Madrid;Valencia;3;2;2015/2016;08/05/2016
Sevilla;Granada;1;4;2015/2016;08/05/2016
R. Sociedad;Rayo;2;1;2015/2016;08/05/2016
Villarreal;Deportivo;0;2;2015/2016;08/05/2016
Valencia;R. Sociedad;0;1;2015/2016;13/05/2016
Athletic;Sevilla;3;1;2015/2016;14/05/2016
Atlético;Celta;2;0;2015/2016;14/05/2016
Granada;Barcelona;0;3;2015/2016;14/05/2016
Deportivo;Real Madrid;0;2;2015/2016;14/05/2016
Betis;Getafe;2;1;2015/2016;15/05/2016
Espanyol;Eibar;4;2;2015/2016;15/05/2016
Málaga;Las Palmas;4;1;2015/2016;15/05/2016
Sporting Gijón;Villarreal;2;0;2015/2016;15/05/2016
Rayo;Levante;3;1;2015/2016;15/05/2016
Deportivo;Eibar;2;1;2016/2017;19/08/2016
Málaga;Osasuna;1;1;2016/2017;19/08/2016
Barcelona;Betis;6;2;2016/2017;20/08/2016
Granada;Villarreal;1;1;2016/2017;20/08/2016
Sevilla;Espanyol;6;4;2016/2017;20/08/2016
Atlético;Alavés;1;1;2016/2017;21/08/2016
R. Sociedad;Real Madrid;0;3;2016/2017;21/08/2016
Sporting Gijón;Athletic;2;1;2016/2017;21/08/2016
Celta;Leganés;0;1;2016/2017;22/08/2016
Valencia;Las Palmas;2;4;2016/2017;22/08/2016
Betis;Deportivo;0;0;2016/2017;26/08/2016
Espanyol;Málaga;2;2;2016/2017;26/08/2016
Eibar;Valencia;1;0;2016/2017;27/08/2016
Leganés;Atlético;0;0;2016/2017;27/08/2016
Osasuna;R. Sociedad;0;2;2016/2017;27/08/2016
Real Madrid;Celta;2;1;2016/2017;27/08/2016
Alavés;Sporting Gijón;0;0;2016/2017;28/08/2016
Athletic;Barcelona;0;1;2016/2017;28/08/2016
Las Palmas;Granada;5;1;2016/2017;28/08/2016
Villarreal;Sevilla;0;0;2016/2017;28/08/2016
R. Sociedad;Espanyol;1;1;2016/2017;09/09/2016
Barcelona;Alavés;1;2;2016/2017;10/09/2016
Celta;Atlético;0;4;2016/2017;10/09/2016
Málaga;Villarreal;0;2;2016/2017;10/09/2016
Real Madrid;Osasuna;5;2;2016/2017;10/09/2016
Sevilla;Las Palmas;2;1;2016/2017;10/09/2016
Granada;Eibar;1;2;2016/2017;11/09/2016
Deportivo;Athletic;0;1;2016/2017;11/09/2016
Sporting Gijón;Leganés;2;1;2016/2017;11/09/2016
Valencia;Betis;2;3;2016/2017;11/09/2016
Betis;Granada;2;2;2016/2017;16/09/2016
Atlético;Sporting Gijón;5;0;2016/2017;17/09/2016
Eibar;Sevilla;1;1;2016/2017;17/09/2016
Las Palmas;Málaga;1;0;2016/2017;17/09/2016
Leganés;Barcelona;1;5;2016/2017;17/09/2016
Athletic;Valencia;2;1;2016/2017;18/09/2016
Espanyol;Real Madrid;0;2;2016/2017;18/09/2016
Osasuna;Celta;0;0;2016/2017;18/09/2016
Villarreal;R. Sociedad;2;1;2016/2017;18/09/2016
Alavés;Deportivo;0;0;2016/2017;19/09/2016
Málaga;Eibar;2;1;2016/2017;20/09/2016
Sevilla;Betis;1;0;2016/2017;20/09/2016
Barcelona;Atlético;1;1;2016/2017;21/09/2016
Celta;Sporting Gijón;2;1;2016/2017;21/09/2016
Granada;Athletic;1;2;2016/2017;21/09/2016
Real Madrid;Villarreal;1;1;2016/2017;21/09/2016
R. Sociedad;Las Palmas;4;1;2016/2017;21/09/2016
Deportivo;Leganés;1;2;2016/2017;22/09/2016
Osasuna;Espanyol;1;2;2016/2017;22/09/2016
Valencia;Alavés;2;1;2016/2017;22/09/2016
Betis;Málaga;1;0;2016/2017;23/09/2016
Athletic;Sevilla;3;1;2016/2017;24/09/2016
Eibar;R. Sociedad;2;0;2016/2017;24/09/2016
Las Palmas;Real Madrid;2;2;2016/2017;24/09/2016
Sporting Gijón;Barcelona;0;5;2016/2017;24/09/2016
Atlético;Deportivo;1;0;2016/2017;25/09/2016
Espanyol;Celta;0;2;2016/2017;25/09/2016
Leganés;Valencia;1;2;2016/2017;25/09/2016
Villarreal;Osasuna;3;1;2016/2017;25/09/2016
Alavés;Granada;3;1;2016/2017;26/09/2016
R. Sociedad;Betis;1;0;2016/2017;30/09/2016
Granada;Leganés;0;1;2016/2017;01/10/2016
Deportivo;Sporting Gijón;2;1;2016/2017;01/10/2016
Osasuna;Las Palmas;2;2;2016/2017;01/10/2016
Sevilla;Alavés;2;1;2016/2017;01/10/2016
Celta;Barcelona;4;3;2016/2017;02/10/2016
Espanyol;Villarreal;0;0;2016/2017;02/10/2016
Málaga;Athletic;2;1;2016/2017;02/10/2016
Real Madrid;Eibar;1;1;2016/2017;02/10/2016
Valencia;Atlético;0;2;2016/2017;02/10/2016
Las Palmas;Espanyol;0;0;2016/2017;14/10/2016
Atlético;Granada;7;1;2016/2017;15/10/2016
Barcelona;Deportivo;4;0;2016/2017;15/10/2016
Betis;Real Madrid;1;6;2016/2017;15/10/2016
Leganés;Sevilla;2;3;2016/2017;15/10/2016
Alavés;Málaga;1;1;2016/2017;16/10/2016
Athletic;R. Sociedad;3;2;2016/2017;16/10/2016
Sporting Gijón;Valencia;1;2;2016/2017;16/10/2016
Villarreal;Celta;5;0;2016/2017;16/10/2016
Eibar;Osasuna;2;3;2016/2017;17/10/2016
Osasuna;Betis;1;2;2016/2017;21/10/2016
Espanyol;Eibar;3;3;2016/2017;22/10/2016
Granada;Sporting Gijón;0;0;2016/2017;22/10/2016
R. Sociedad;Alavés;3;0;2016/2017;22/10/2016
Valencia;Barcelona;2;3;2016/2017;22/10/2016
Celta;Deportivo;4;1;2016/2017;23/10/2016
Málaga;Leganés;4;0;2016/2017;23/10/2016
Real Madrid;Athletic;2;1;2016/2017;23/10/2016
Sevilla;Atlético;1;0;2016/2017;23/10/2016
Villarreal;Las Palmas;2;1;2016/2017;23/10/2016
Leganés;R. Sociedad;0;2;2016/2017;28/10/2016
Alavés;Real Madrid;1;4;2016/2017;29/10/2016
Atlético;Málaga;4;2;2016/2017;29/10/2016
Barcelona;Granada;1;0;2016/2017;29/10/2016
Sporting Gijón;Sevilla;1;1;2016/2017;29/10/2016
Athletic;Osasuna;1;1;2016/2017;30/10/2016
Betis;Espanyol;0;1;2016/2017;30/10/2016
Eibar;Villarreal;2;1;2016/2017;30/10/2016
Las Palmas;Celta;3;3;2016/2017;30/10/2016
Deportivo;Valencia;1;1;2016/2017;31/10/2016
Málaga;Sporting Gijón;3;2;2016/2017;04/11/2016
Granada;Deportivo;1;1;2016/2017;05/11/2016
Las Palmas;Eibar;1;0;2016/2017;05/11/2016
Osasuna;Alavés;0;1;2016/2017;05/11/2016
R. Sociedad;Atlético;2;0;2016/2017;05/11/2016
Celta;Valencia;2;1;2016/2017;06/11/2016
Espanyol;Athletic;0;0;2016/2017;06/11/2016
Real Madrid;Leganés;3;0;2016/2017;06/11/2016
Sevilla;Barcelona;1;2;2016/2017;06/11/2016
