Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Barcelona;Getafe;0;0;2017/2018;11/02/2018
Celta;Espanyol;2;2;2017/2018;11/02/2018
Sevilla;Girona;1;0;2017/2018;11/02/2018
Valencia;Levante;3;1;2017/2018;11/02/2018
Deportivo;Betis;0;1;2017/2018;12/02/2018
Girona;Leganés;3;0;2017/2018;16/02/2018
Alavés;Deportivo;1;0;2017/2018;17/02/2018
Eibar;Barcelona;0;2;2017/2018;17/02/2018
Las Palmas;Sevilla;1;2;2017/2018;17/02/2018
Málaga;Valencia;1;2;2017/2018;17/02/2018
Atlético;Athletic;2;0;2017/2018;18/02/2018
Betis;Real Madrid;3;5;2017/2018;18/02/2018
Espanyol;Villarreal;1;1;2017/2018;18/02/2018
R. Sociedad;Levante;3;0;2017/2018;18/02/2018
Getafe;Celta;3;0;2017/2018;19/02/2018
Leganés;Real Madrid;1;3;2017/2018;21/02/2018
Deportivo;Espanyol;0;0;2017/2018;23/02/2018
Barcelona;Girona;6;1;2017/2018;24/02/2018
Celta;Eibar;2;0;2017/2018;24/02/2018
Leganés;Las Palmas;0;0;2017/2018;24/02/2018
Real Madrid;Alavés;4;0;2017/2018;24/02/2018
Athletic;Málaga;2;1;2017/2018;25/02/2018
Sevilla;Atlético;2;5;2017/2018;25/02/2018
Valencia;R. Sociedad;2;1;2017/2018;25/02/2018
Villarreal;Getafe;1;0;2017/2018;25/02/2018
Levante;Betis;0;2;2017/2018;26/02/2018
Espanyol;Real Madrid;1;0;2017/2018;27/02/2018
Girona;Celta;1;0;2017/2018;27/02/2018
Athletic;Valencia;1;1;2017/2018;28/02/2018
Atlético;Leganés;4;0;2017/2018;28/02/2018
Eibar;Villarreal;1;0;2017/2018;28/02/2018
Getafe;Deportivo;3;0;2017/2018;28/02/2018
Málaga;Sevilla;0;1;2017/2018;28/02/2018
Alavés;Levante;1;0;2017/2018;01/03/2018
Betis;R. Sociedad;0;0;2017/2018;01/03/2018
Las Palmas;Barcelona;1;1;2017/2018;01/03/2018
Deportivo;Eibar;1;1;2017/2018;03/03/2018
Leganés;Málaga;2;0;2017/2018;03/03/2018
Real Madrid;Getafe;3;1;2017/2018;03/03/2018
Sevilla;Athletic;2;0;2017/2018;03/03/2018
Villarreal;Girona;0;2;2017/2018;03/03/2018
Barcelona;Atlético;1;0;2017/2018;04/03/2018
Levante;Espanyol;1;1;2017/2018;04/03/2018
R. Sociedad;Alavés;2;1;2017/2018;04/03/2018
Valencia;Betis;2;0;2017/2018;04/03/2018
Celta;Las Palmas;2;1;2017/2018;05/03/2018
Girona;Deportivo;2;0;2017/2018;09/03/2018
Eibar;Real Madrid;1;2;2017/2018;10/03/2018
Getafe;Levante;0;1;2017/2018;10/03/2018
Málaga;Barcelona;0;2;2017/2018;10/03/2018
Sevilla;Valencia;0;2;2017/2018;10/03/2018
Athletic;Leganés;2;0;2017/2018;11/03/2018
Atlético;Celta;3;0;2017/2018;11/03/2018
Espanyol;R. Sociedad;2;1;2017/2018;11/03/2018
Las Palmas;Villarreal;0;2;2017/2018;11/03/2018
Alavés;Betis;1;3;2017/2018;12/03/2018
Levante;Eibar;2;1;2017/2018;16/03/2018
Betis;Espanyol;3;0;2017/2018;17/03/2018
Deportivo;Las Palmas;1;1;2017/2018;17/03/2018
R. Sociedad;Getafe;1;2;2017/2018;17/03/2018
Valencia;Alavés;3;1;2017/2018;17/03/2018
Barcelona;Athletic;2;0;2017/2018;18/03/2018
Celta;Málaga;0;0;2017/2018;18/03/2018
Leganés;Sevilla;2;1;2017/2018;18/03/2018
Real Madrid;Girona;6;3;2017/2018;18/03/2018
Villarreal;Atlético;2;1;2017/2018;18/03/2018
Athletic;Celta;1;1;2017/2018;31/03/2018
Girona;Levante;1;1;2017/2018;31/03/2018
Las Palmas;Real Madrid;0;3;2017/2018;31/03/2018
Sevilla;Barcelona;2;2;2017/2018;31/03/2018
Atlético;Deportivo;1;0;2017/2018;01/04/2018
Eibar;R. Sociedad;0;0;2017/2018;01/04/2018
Espanyol;Alavés;0;0;2017/2018;01/04/2018
Leganés;Valencia;0;1;2017/2018;01/04/2018
Málaga;Villarreal;1;0;2017/2018;01/04/2018
Getafe;Betis;0;1;2017/2018;02/04/2018
Deportivo;Málaga;3;2;2017/2018;06/04/2018
Alavés;Getafe;2;0;2017/2018;07/04/2018
Barcelona;Leganés;3;1;2017/2018;07/04/2018
Betis;Eibar;2;0;2017/2018;07/04/2018
Celta;Sevilla;4;0;2017/2018;07/04/2018
Levante;Las Palmas;2;1;2017/2018;08/04/2018
Real Madrid;Atlético;1;1;2017/2018;08/04/2018
R. Sociedad;Girona;5;0;2017/2018;08/04/2018
Valencia;Espanyol;1;0;2017/2018;08/04/2018
Villarreal;Athletic;1;3;2017/2018;09/04/2018
Girona;Betis;0;1;2017/2018;13/04/2018
Athletic;Deportivo;2;3;2017/2018;14/04/2018
Barcelona;Valencia;2;1;2017/2018;14/04/2018
Las Palmas;R. Sociedad;0;1;2017/2018;14/04/2018
Leganés;Celta;1;0;2017/2018;14/04/2018
Sevilla;Villarreal;2;2;2017/2018;14/04/2018
Atlético;Levante;3;0;2017/2018;15/04/2018
Eibar;Alavés;0;1;2017/2018;15/04/2018
Getafe;Espanyol;1;0;2017/2018;15/04/2018
Málaga;Real Madrid;1;2;2017/2018;15/04/2018
Celta;Barcelona;2;2;2017/2018;17/04/2018
Deportivo;Sevilla;0;0;2017/2018;17/04/2018
Villarreal;Leganés;2;1;2017/2018;17/04/2018
Espanyol;Eibar;0;1;2017/2018;18/04/2018
Real Madrid;Athletic;1;1;2017/2018;18/04/2018
Valencia;Getafe;1;2;2017/2018;18/04/2018
Alavés;Girona;1;2;2017/2018;19/04/2018
Betis;Las Palmas;1;0;2017/2018;19/04/2018
Levante;Málaga;1;0;2017/2018;19/04/2018
R. Sociedad;Atlético;3;0;2017/2018;19/04/2018
Leganés;Deportivo;0;0;2017/2018;20/04/2018
Celta;Valencia;1;1;2017/2018;21/04/2018
Eibar;Getafe;0;1;2017/2018;21/04/2018
Atlético;Betis;0;0;2017/2018;22/04/2018
Girona;Espanyol;0;2;2017/2018;22/04/2018
Las Palmas;Alavés;0;4;2017/2018;22/04/2018
Málaga;R. Sociedad;2;0;2017/2018;22/04/2018
Athletic;Levante;1;3;2017/2018;23/04/2018
Levante;Sevilla;2;1;2017/2018;27/04/2018
Espanyol;Las Palmas;1;1;2017/2018;28/04/2018
Real Madrid;Leganés;2;1;2017/2018;28/04/2018
R. Sociedad;Athletic;3;1;2017/2018;28/04/2018
Villarreal;Celta;4;1;2017/2018;28/04/2018
Alavés;Atlético;0;1;2017/2018;29/04/2018
Getafe;Girona;1;1;2017/2018;29/04/2018
Deportivo;Barcelona;2;4;2017/2018;29/04/2018
Valencia;Eibar;0;0;2017/2018;29/04/2018
Betis;Málaga;2;1;2017/2018;30/04/2018
Sevilla;R. Sociedad;1;0;2017/2018;04/05/2018
Athletic;Betis;2;0;2017/2018;05/05/2018
Celta;Deportivo;1;1;2017/2018;05/05/2018
Girona;Eibar;1;4;2017/2018;05/05/2018
Villarreal;Valencia;1;0;2017/2018;05/05/2018
Atlético;Espanyol;0;2;2017/2018;06/05/2018
Barcelona;Real Madrid;2;2;2017/2018;06/05/2018
Las Palmas;Getafe;0;1;2017/2018;06/05/2018
Málaga;Alavés;0;3;2017/2018;06/05/2018
Leganés;Levante;0;3;2017/2018;07/05/2018
Barcelona;Villarreal;5;1;2017/2018;09/05/2018
Sevilla;Real Madrid;3;2;2017/2018;09/05/2018
Alavés;Athletic;3;1;2017/2018;12/05/2018
Betis;Sevilla;2;2;2017/2018;12/05/2018
Eibar;Las Palmas;1;0;2017/2018;12/05/2018
Getafe;Atlético;0;1;2017/2018;12/05/2018
Girona;Valencia;0;1;2017/2018;12/05/2018
Deportivo;Villarreal;2;4;2017/2018;12/05/2018
Real Madrid;Celta;6;0;2017/2018;12/05/2018
R. Sociedad;Leganés;3;2;2017/2018;12/05/2018
Espanyol;Málaga;4;1;2017/2018;13/05/2018
Levante;Barcelona;5;4;2017/2018;13/05/2018
Celta;Levante;4;2;2017/2018;19/05/2018
Las Palmas;Girona;1;2;2017/2018;19/05/2018
Leganés;Betis;3;2;2017/2018;19/05/2018
Málaga;Getafe;0;1;2017/2018;19/05/2018
Sevilla;Alavés;1;0;2017/2018;19/05/2018
Villarreal;Real Madrid;2;2;2017/2018;19/05/2018
Athletic;Espanyol;0;1;2017/2018;20/05/2018
Atlético;Eibar;2;2;2017/2018;20/05/2018
Barcelona;R. Sociedad;1;0;2017/2018;20/05/2018
Valencia;Deportivo;2;1;2017/2018;20/05/2018
Betis;Levante;0;3;2018/2019;17/08/2018
Girona;Valladolid;0;0;2018/2019;17/08/2018
Barcelona;Alavés;3;0;2018/2019;18/08/2018
Celta;Espanyol;1;1;2018/2019;18/08/2018
Villarreal;R. Sociedad;1;2;2018/2019;18/08/2018
Eibar;Huesca;1;2;2018/2019;19/08/2018
Real Madrid;Getafe;2;0;2018/2019;19/08/2018
Rayo;Sevilla;1;4;2018/2019;19/08/2018
Athletic;Leganés;2;1;2018/2019;20/08/2018
Valencia;Atlético;1;1;2018/2019;20/08/2018
Getafe;Eibar;2;0;2018/2019;24/08/2018
Leganés;R. Sociedad;2;2;2018/2019;24/08/2018
Alavés;Betis;0;0;2018/2019;25/08/2018
Atlético;Rayo;1;0;2018/2019;25/08/2018
Valladolid;Barcelona;0;1;2018/2019;25/08/2018
Espanyol;Valencia;2;0;2018/2019;26/08/2018
Girona;Real Madrid;1;4;2018/2019;26/08/2018
Sevilla;Villarreal;0;0;2018/2019;26/08/2018
Athletic;Huesca;2;2;2018/2019;27/08/2018
Levante;Celta;1;2;2018/2019;27/08/2018
Eibar;R. Sociedad;2;1;2018/2019;31/08/2018
Getafe;Valladolid;0;0;2018/2019;31/08/2018
Villarreal;Girona;0;1;2018/2019;31/08/2018
Celta;Atlético;2;0;2018/2019;01/09/2018
Real Madrid;Leganés;4;1;2018/2019;01/09/2018
Alavés;Espanyol;2;1;2018/2019;02/09/2018
Barcelona;Huesca;8;2;2018/2019;02/09/2018
Betis;Sevilla;1;0;2018/2019;02/09/2018
Levante;Valencia;2;2;2018/2019;02/09/2018
Huesca;Rayo;0;1;2018/2019;14/09/2018
Athletic;Real Madrid;1;1;2018/2019;15/09/2018
Atlético;Eibar;1;1;2018/2019;15/09/2018
R. Sociedad;Barcelona;1;2;2018/2019;15/09/2018
Valencia;Betis;0;0;2018/2019;15/09/2018
Espanyol;Levante;1;0;2018/2019;16/09/2018
Leganés;Villarreal;0;1;2018/2019;16/09/2018
Sevilla;Getafe;0;2;2018/2019;16/09/2018
Valladolid;Alavés;0;1;2018/2019;16/09/2018
Girona;Celta;3;2;2018/2019;17/09/2018
Huesca;R. Sociedad;0;1;2018/2019;21/09/2018
Celta;Valladolid;3;3;2018/2019;22/09/2018
Eibar;Leganés;1;0;2018/2019;22/09/2018
Getafe;Atlético;0;2;2018/2019;22/09/2018
Real Madrid;Espanyol;1;0;2018/2019;22/09/2018
Rayo;Alavés;1;5;2018/2019;22/09/2018
Barcelona;Girona;2;2;2018/2019;23/09/2018
Betis;Athletic;2;2;2018/2019;23/09/2018
Levante;Sevilla;2;6;2018/2019;23/09/2018
Villarreal;Valencia;0;0;2018/2019;23/09/2018
Atlético;Huesca;3;0;2018/2019;25/09/2018
Espanyol;Eibar;1;0;2018/2019;25/09/2018
R. Sociedad;Rayo;2;2;2018/2019;25/09/2018
Athletic;Villarreal;0;3;2018/2019;26/09/2018
Leganés;Barcelona;2;1;2018/2019;26/09/2018
Sevilla;Real Madrid;3;0;2018/2019;26/09/2018
Valencia;Celta;1;1;2018/2019;26/09/2018
Alavés;Getafe;1;1;2018/2019;27/09/2018
Girona;Betis;0;1;2018/2019;27/09/2018
Valladolid;Levante;2;1;2018/2019;27/09/2018
Rayo;Espanyol;2;2;2018/2019;28/09/2018
Barcelona;Athletic;1;1;2018/2019;29/09/2018
Eibar;Sevilla;1;3;2018/2019;29/09/2018
Real Madrid;Atlético;0;0;2018/2019;29/09/2018
R. Sociedad;Valencia;0;1;2018/2019;29/09/2018
Betis;Leganés;1;0;2018/2019;30/09/2018
Huesca;Girona;1;1;2018/2019;30/09/2018
Levante;Alavés;2;1;2018/2019;30/09/2018
Villarreal;Valladolid;0;1;2018/2019;30/09/2018
Celta;Getafe;1;1;2018/2019;01/10/2018
Athletic;R. Sociedad;1;3;2018/2019;05/10/2018
Alavés;Real Madrid;1;0;2018/2019;06/10/2018
Getafe;Levante;0;1;2018/2019;06/10/2018
Girona;Eibar;2;3;2018/2019;06/10/2018
Leganés;Rayo;1;0;2018/2019;06/10/2018
Atlético;Betis;1;0;2018/2019;07/10/2018
Espanyol;Villarreal;3;1;2018/2019;07/10/2018
Sevilla;Celta;2;1;2018/2019;07/10/2018
Valencia;Barcelona;1;1;2018/2019;07/10/2018
Valladolid;Huesca;1;0;2018/2019;07/10/2018
Celta;Alavés;0;1;2018/2019;19/10/2018
Barcelona;Sevilla;4;2;2018/2019;20/10/2018
Real Madrid;Levante;1;2;2018/2019;20/10/2018
Valencia;Leganés;1;1;2018/2019;20/10/2018
Villarreal;Atlético;1;1;2018/2019;20/10/2018
Betis;Valladolid;0;1;2018/2019;21/10/2018
Eibar;Athletic;1;1;2018/2019;21/10/2018
Huesca;Espanyol;0;2;2018/2019;21/10/2018
Rayo;Getafe;1;2;2018/2019;21/10/2018
R. Sociedad;Girona;0;0;2018/2019;22/10/2018
Rayo;Athletic;1;1;2018/2019;24/10/2018
Valladolid;Espanyol;1;1;2018/2019;26/10/2018
Athletic;Valencia;0;0;2018/2019;27/10/2018
Atlético;R. Sociedad;2;0;2018/2019;27/10/2018
Celta;Eibar;4;0;2018/2019;27/10/2018
Girona;Rayo;2;1;2018/2019;27/10/2018
Levante;Leganés;2;0;2018/2019;27/10/2018
Alavés;Villarreal;2;1;2018/2019;28/10/2018
Barcelona;Real Madrid;5;1;2018/2019;28/10/2018
Getafe;Betis;2;0;2018/2019;28/10/2018
Sevilla;Huesca;2;1;2018/2019;28/10/2018
Leganés;Atlético;1;1;2018/2019;03/11/2018
Real Madrid;Valladolid;2;0;2018/2019;03/11/2018
Valencia;Girona;0;1;2018/2019;03/11/2018
Rayo;Barcelona;2;3;2018/2019;03/11/2018
Betis;Celta;3;3;2018/2019;04/11/2018
Eibar;Alavés;2;1;2018/2019;04/11/2018
Huesca;Getafe;1;1;2018/2019;04/11/2018
R. Sociedad;Sevilla;0;0;2018/2019;04/11/2018
Villarreal;Levante;1;1;2018/2019;04/11/2018
Espanyol;Athletic;1;0;2018/2019;05/11/2018
Levante;R. Sociedad;1;3;2018/2019;09/11/2018
Atlético;Athletic;3;2;2018/2019;10/11/2018
Getafe;Valencia;0;1;2018/2019;10/11/2018
Girona;Leganés;0;0;2018/2019;10/11/2018
Valladolid;Eibar;0;0;2018/2019;10/11/2018
Alavés;Huesca;2;1;2018/2019;11/11/2018
Barcelona;Betis;3;4;2018/2019;11/11/2018
Celta;Real Madrid;2;4;2018/2019;11/11/2018
Sevilla;Espanyol;2;1;2018/2019;11/11/2018
Rayo;Villarreal;2;2;2018/2019;11/11/2018
Leganés;Alavés;1;0;2018/2019;23/11/2018
Atlético;Barcelona;1;1;2018/2019;24/11/2018
Eibar;Real Madrid;3;0;2018/2019;24/11/2018
Huesca;Levante;2;2;2018/2019;24/11/2018
Valencia;Rayo;3;0;2018/2019;24/11/2018
Athletic;Getafe;1;1;2018/2019;25/11/2018
Espanyol;Girona;1;3;2018/2019;25/11/2018
Sevilla;Valladolid;1;0;2018/2019;25/11/2018
Villarreal;Betis;2;1;2018/2019;25/11/2018
R. Sociedad;Celta;2;1;2018/2019;26/11/2018
Rayo;Eibar;1;0;2018/2019;30/11/2018
Celta;Huesca;2;0;2018/2019;01/12/2018
Getafe;Espanyol;3;0;2018/2019;01/12/2018
Real Madrid;Valencia;2;0;2018/2019;01/12/2018
Valladolid;Leganés;2;4;2018/2019;01/12/2018
Alavés;Sevilla;1;1;2018/2019;02/12/2018
Barcelona;Villarreal;2;0;2018/2019;02/12/2018
Betis;R. Sociedad;1;0;2018/2019;02/12/2018
Girona;Atlético;1;1;2018/2019;02/12/2018
Levante;Athletic;3;0;2018/2019;03/12/2018
Leganés;Getafe;1;1;2018/2019;07/12/2018
Atlético;Alavés;3;0;2018/2019;08/12/2018
Espanyol;Barcelona;0;4;2018/2019;08/12/2018
Valencia;Sevilla;1;1;2018/2019;08/12/2018
Villarreal;Celta;2;3;2018/2019;08/12/2018
Betis;Rayo;2;0;2018/2019;09/12/2018
Eibar;Levante;4;4;2018/2019;09/12/2018
Huesca;Real Madrid;0;1;2018/2019;09/12/2018
R. Sociedad;Valladolid;1;2;2018/2019;09/12/2018
Athletic;Girona;1;0;2018/2019;10/12/2018
Celta;Leganés;0;0;2018/2019;14/12/2018
Eibar;Valencia;1;1;2018/2019;15/12/2018
Getafe;R. Sociedad;1;0;2018/2019;15/12/2018
Real Madrid;Rayo;1;0;2018/2019;15/12/2018
Valladolid;Atlético;2;3;2018/2019;15/12/2018
Espanyol;Betis;1;3;2018/2019;16/12/2018
Huesca;Villarreal;2;2;2018/2019;16/12/2018
Levante;Barcelona;0;5;2018/2019;16/12/2018
Sevilla;Girona;2;0;2018/2019;16/12/2018
Alavés;Athletic;0;0;2018/2019;17/12/2018
Girona;Getafe;1;1;2018/2019;21/12/2018
R. Sociedad;Alavés;0;1;2018/2019;21/12/2018
Athletic;Valladolid;1;1;2018/2019;22/12/2018
Atlético;Espanyol;1;0;2018/2019;22/12/2018
Barcelona;Celta;2;0;2018/2019;22/12/2018
Betis;Eibar;1;1;2018/2019;22/12/2018
Leganés;Sevilla;1;1;2018/2019;23/12/2018
Valencia;Huesca;2;1;2018/2019;23/12/2018
Rayo;Levante;2;1;2018/2019;23/12/2018
Villarreal;Real Madrid;2;2;2018/2019;03/01/2019
Espanyol;Leganés;1;0;2018/2019;04/01/2019
Levante;Girona;2;2;2018/2019;04/01/2019
Alavés;Valencia;2;1;2018/2019;05/01/2019
Huesca;Betis;2;1;2018/2019;05/01/2019
Valladolid;Rayo;0;1;2018/2019;05/01/2019
Eibar;Villarreal;0;0;2018/2019;06/01/2019
Getafe;Barcelona;1;2;2018/2019;06/01/2019
Real Madrid;R. Sociedad;0;2;2018/2019;06/01/2019
Sevilla;Atlético;1;1;2018/2019;06/01/2019
Celta;Athletic;1;2;2018/2019;07/01/2019
Rayo;Celta;4;2;2018/2019;11/01/2019
Girona;Alavés;1;1;2018/2019;12/01/2019
Leganés;Huesca;1;0;2018/2019;12/01/2019
Valencia;Valladolid;1;1;2018/2019;12/01/2019
Villarreal;Getafe;1;2;2018/2019;12/01/2019
Athletic;Sevilla;2;0;2018/2019;13/01/2019
Atlético;Levante;1;0;2018/2019;13/01/2019
Barcelona;Eibar;3;0;2018/2019;13/01/2019
Betis;Real Madrid;1;2;2018/2019;13/01/2019
R. Sociedad;Espanyol;3;2;2018/2019;14/01/2019
Getafe;Alavés;4;0;2018/2019;18/01/2019
Celta;Valencia;1;2;2018/2019;19/01/2019
Huesca;Atlético;0;3;2018/2019;19/01/2019
Real Madrid;Sevilla;2;0;2018/2019;19/01/2019
Barcelona;Leganés;3;1;2018/2019;20/01/2019
Betis;Girona;3;2;2018/2019;20/01/2019
Levante;Valladolid;2;0;2018/2019;20/01/2019
Rayo;R. Sociedad;2;2;2018/2019;20/01/2019
Villarreal;Athletic;1;1;2018/2019;20/01/2019
Eibar;Espanyol;3;0;2018/2019;21/01/2019
Atlético;Getafe;2;0;2018/2019;26/01/2019
Leganés;Eibar;2;2;2018/2019;26/01/2019
Sevilla;Levante;5;0;2018/2019;26/01/2019
Valencia;Villarreal;3;0;2018/2019;26/01/2019
Athletic;Betis;1;0;2018/2019;27/01/2019
Espanyol;Real Madrid;2;4;2018/2019;27/01/2019
Girona;Barcelona;0;2;2018/2019;27/01/2019
R. Sociedad;Huesca;0;0;2018/2019;27/01/2019
Valladolid;Celta;2;1;2018/2019;27/01/2019
Alavés;Rayo;0;1;2018/2019;28/01/2019
Huesca;Valladolid;4;0;2018/2019;01/02/2019
Barcelona;Valencia;2;2;2018/2019;02/02/2019
Celta;Sevilla;1;0;2018/2019;02/02/2019
Levante;Getafe;0;0;2018/2019;02/02/2019
R. Sociedad;Athletic;2;1;2018/2019;02/02/2019
Betis;Atlético;1;0;2018/2019;03/02/2019
Eibar;Girona;3;0;2018/2019;03/02/2019
Real Madrid;Alavés;3;0;2018/2019;03/02/2019
Villarreal;Espanyol;2;2;2018/2019;03/02/2019
Rayo;Leganés;1;2;2018/2019;04/02/2019
Valladolid;Villarreal;0;0;2018/2019;08/02/2019
Atlético;Real Madrid;1;3;2018/2019;09/02/2019
Espanyol;Rayo;2;1;2018/2019;09/02/2019
Getafe;Celta;3;1;2018/2019;09/02/2019
Girona;Huesca;0;2;2018/2019;09/02/2019
Athletic;Barcelona;0;0;2018/2019;10/02/2019
Leganés;Betis;3;0;2018/2019;10/02/2019
Sevilla;Eibar;2;2;2018/2019;10/02/2019
Valencia;R. Sociedad;0;0;2018/2019;10/02/2019
Alavés;Levante;2;0;2018/2019;11/02/2019
Eibar;Getafe;2;2;2018/2019;15/02/2019
Barcelona;Valladolid;1;0;2018/2019;16/02/2019
Celta;Levante;1;4;2018/2019;16/02/2019
R. Sociedad;Leganés;3;0;2018/2019;16/02/2019
Rayo;Atlético;0;1;2018/2019;16/02/2019
Betis;Alavés;1;1;2018/2019;17/02/2019
Real Madrid;Girona;1;2;2018/2019;17/02/2019
Valencia;Espanyol;0;0;2018/2019;17/02/2019
Villarreal;Sevilla;3;0;2018/2019;17/02/2019
Huesca;Athletic;0;1;2018/2019;18/02/2019
Espanyol;Huesca;1;1;2018/2019;22/02/2019
Alavés;Celta;0;0;2018/2019;23/02/2019
Athletic;Eibar;1;0;2018/2019;23/02/2019
Getafe;Rayo;2;1;2018/2019;23/02/2019
Sevilla;Barcelona;2;4;2018/2019;23/02/2019
Atlético;Villarreal;2;0;2018/2019;24/02/2019
Leganés;Valencia;1;1;2018/2019;24/02/2019
Levante;Real Madrid;1;2;2018/2019;24/02/2019
Valladolid;Betis;0;2;2018/2019;24/02/2019
Girona;R. Sociedad;0;0;2018/2019;25/02/2019
Rayo;Girona;0;2;2018/2019;01/03/2019
Espanyol;Valladolid;3;1;2018/2019;02/03/2019
Huesca;Sevilla;2;1;2018/2019;02/03/2019
Real Madrid;Barcelona;0;1;2018/2019;02/03/2019
Villarreal;Alavés;1;2;2018/2019;02/03/2019
Betis;Getafe;1;2;2018/2019;03/03/2019
Eibar;Celta;1;0;2018/2019;03/03/2019
R. Sociedad;Atlético;0;2;2018/2019;03/03/2019
Valencia;Athletic;2;0;2018/2019;03/03/2019
Leganés;Levante;1;0;2018/2019;04/03/2019
Athletic;Espanyol;1;1;2018/2019;08/03/2019
Alavés;Eibar;1;1;2018/2019;09/03/2019
Atlético;Leganés;1;0;2018/2019;09/03/2019
Barcelona;Rayo;3;1;2018/2019;09/03/2019
Getafe;Huesca;2;1;2018/2019;09/03/2019
Celta;Betis;0;1;2018/2019;10/03/2019
Girona;Valencia;2;3;2018/2019;10/03/2019
Levante;Villarreal;0;2;2018/2019;10/03/2019
Sevilla;R. Sociedad;5;2;2018/2019;10/03/2019
Valladolid;Real Madrid;1;4;2018/2019;10/03/2019
R. Sociedad;Levante;1;1;2018/2019;15/03/2019
Athletic;Atlético;2;0;2018/2019;16/03/2019
Huesca;Alavés;1;3;2018/2019;16/03/2019
Leganés;Girona;0;2;2018/2019;16/03/2019
Real Madrid;Celta;2;0;2018/2019;16/03/2019
Betis;Barcelona;1;4;2018/2019;17/03/2019
Eibar;Valladolid;1;2;2018/2019;17/03/2019
Espanyol;Sevilla;0;1;2018/2019;17/03/2019
Valencia;Getafe;0;0;2018/2019;17/03/2019
Villarreal;Rayo;3;1;2018/2019;17/03/2019
Girona;Athletic;1;2;2018/2019;29/03/2019
Alavés;Atlético;0;4;2018/2019;30/03/2019
Barcelona;Espanyol;2;0;2018/2019;30/03/2019
Celta;Villarreal;3;2;2018/2019;30/03/2019
Getafe;Leganés;0;2;2018/2019;30/03/2019
Levante;Eibar;2;2;2018/2019;31/03/2019
Real Madrid;Huesca;3;2;2018/2019;31/03/2019
Sevilla;Valencia;0;1;2018/2019;31/03/2019
Valladolid;R. Sociedad;1;1;2018/2019;31/03/2019
Rayo;Betis;1;1;2018/2019;31/03/2019
Atlético;Girona;2;0;2018/2019;02/04/2019
Espanyol;Getafe;1;1;2018/2019;02/04/2019
Villarreal;Barcelona;4;4;2018/2019;02/04/2019
Athletic;Levante;3;2;2018/2019;03/04/2019
Eibar;Rayo;2;1;2018/2019;03/04/2019
Huesca;Celta;3;3;2018/2019;03/04/2019
Valencia;Real Madrid;2;1;2018/2019;03/04/2019
Leganés;Valladolid;1;0;2018/2019;04/04/2019
Sevilla;Alavés;2;0;2018/2019;04/04/2019
R. Sociedad;Betis;2;1;2018/2019;04/04/2019
Barcelona;Atlético;2;0;2018/2019;06/04/2019
Girona;Espanyol;1;2;2018/2019;06/04/2019
Real Madrid;Eibar;2;1;2018/2019;06/04/2019
Rayo;Valencia;2;0;2018/2019;06/04/2019
Alavés;Leganés;1;1;2018/2019;07/04/2019
Betis;Villarreal;2;1;2018/2019;07/04/2019
Celta;R. Sociedad;3;1;2018/2019;07/04/2019
Getafe;Athletic;1;0;2018/2019;07/04/2019
Levante;Huesca;2;2;2018/2019;07/04/2019
Valladolid;Sevilla;0;2;2018/2019;07/04/2019
Atlético;Celta;2;0;2018/2019;13/04/2019
Espanyol;Alavés;2;1;2018/2019;13/04/2019
Huesca;Barcelona;0;0;2018/2019;13/04/2019
Sevilla;Betis;3;2;2018/2019;13/04/2019
Athletic;Rayo;3;2;2018/2019;14/04/2019
Girona;Villarreal;0;1;2018/2019;14/04/2019
R. Sociedad;Eibar;1;1;2018/2019;14/04/2019
Valencia;Levante;3;1;2018/2019;14/04/2019
Valladolid;Getafe;2;2;2018/2019;14/04/2019
Leganés;Real Madrid;1;1;2018/2019;15/04/2019
Alavés;Valladolid;2;2;2018/2019;19/04/2019
Barcelona;R. Sociedad;2;1;2018/2019;20/04/2019
Celta;Girona;2;1;2018/2019;20/04/2019
Eibar;Atlético;0;1;2018/2019;20/04/2019
Rayo;Huesca;0;0;2018/2019;20/04/2019
Betis;Valencia;1;2;2018/2019;21/04/2019
Getafe;Sevilla;3;0;2018/2019;21/04/2019
Levante;Espanyol;2;2;2018/2019;21/04/2019
Real Madrid;Athletic;3;0;2018/2019;21/04/2019
Villarreal;Leganés;2;1;2018/2019;21/04/2019
Alavés;Barcelona;0;2;2018/2019;23/04/2019
Huesca;Eibar;2;0;2018/2019;23/04/2019
Valladolid;Girona;1;0;2018/2019;23/04/2019
Atlético;Valencia;3;2;2018/2019;24/04/2019
Espanyol;Celta;1;1;2018/2019;24/04/2019
Leganés;Athletic;0;1;2018/2019;24/04/2019
Levante;Betis;4;0;2018/2019;24/04/2019
Getafe;Real Madrid;0;0;2018/2019;25/04/2019
Sevilla;Rayo;5;0;2018/2019;25/04/2019
R. Sociedad;Villarreal;0;1;2018/2019;25/04/2019
Athletic;Alavés;1;1;2018/2019;27/04/2019
Atlético;Valladolid;1;0;2018/2019;27/04/2019
Barcelona;Levante;1;0;2018/2019;27/04/2019
Leganés;Celta;0;0;2018/2019;27/04/2019
Girona;Sevilla;1;0;2018/2019;28/04/2019
R. Sociedad;Getafe;2;1;2018/2019;28/04/2019
Valencia;Eibar;0;1;2018/2019;28/04/2019
Rayo;Real Madrid;1;0;2018/2019;28/04/2019
