Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Espanyol;Visitante;0;0;1;1;0;0;1;1;0;0;0;0;1;0;No;x;18/08/2018;2018/2019
Villarreal;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;No;2;18/08/2018;2018/2019
R. Sociedad;Visitante;0;0;2;2;0;0;3;3;0;0;0;1;0;0;No;2;18/08/2018;2018/2019
Eibar;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;No;2;19/08/2018;2018/2019
Huesca;Visitante;0;0;2;2;0;0;3;3;0;0;0;1;0;0;Si;2;19/08/2018;2018/2019
Real Madrid;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;19/08/2018;2018/2019
Getafe;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;19/08/2018;2018/2019
Rayo;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;Si;2;19/08/2018;2018/2019
Sevilla;Visitante;0;0;4;4;0;0;3;3;0;0;0;1;0;0;No;2;19/08/2018;2018/2019
Athletic;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;20/08/2018;2018/2019
Leganés;Visitante;0;0;1;1;0;0;0;0;0;0;0;0;0;1;No;1;20/08/2018;2018/2019
Valencia;Local;1;1;0;0;1;1;0;0;0;1;0;0;0;0;No;x;20/08/2018;2018/2019
Atlético;Visitante;0;0;1;1;0;0;1;1;0;0;0;0;1;0;No;x;20/08/2018;2018/2019
Getafe;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;24/08/2018;2018/2019
Eibar;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;24/08/2018;2018/2019
Leganés;Local;2;2;0;0;1;1;0;0;0;1;0;0;0;0;No;x;24/08/2018;2018/2019
R. Sociedad;Visitante;0;0;2;4;0;0;1;4;0;0;0;0;1;0;No;x;24/08/2018;2018/2019
Alavés;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;25/08/2018;2018/2019
Betis;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;25/08/2018;2018/2019
Atlético;Local;1;1;0;0;3;3;0;0;1;0;0;0;0;0;No;1;25/08/2018;2018/2019
Rayo;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;;Si;1;25/08/2018;2018/2019
Real Valladolid;Local;0;0;0;0;0;0;0;0;0;0;1;0;0;0;No;2;25/08/2018;2018/2019
Barcelona;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;No;2;25/08/2018;2018/2019
Espanyol;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;26/08/2018;2018/2019
Valencia;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;26/08/2018;2018/2019
Girona;Local;1;1;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;26/08/2018;2018/2019
Real Madrid;Visitante;0;0;4;4;0;0;3;3;0;0;0;1;0;0;No;2;26/08/2018;2018/2019
Sevilla;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;26/08/2018;2018/2019
Villarreal;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;26/08/2018;2018/2019
Athletic;Local;2;4;0;0;1;4;0;0;0;1;0;0;0;0;No;x;27/08/2018;2018/2019
Huesca;Visitante;0;0;2;4;0;0;1;4;0;0;0;0;1;0;Si;x;27/08/2018;2018/2019
Levante;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;No;2;27/08/2018;2018/2019
Celta;Visitante;0;0;2;2;0;0;3;3;0;0;0;1;0;0;No;2;27/08/2018;2018/2019
Eibar;Local;2;3;0;0;3;3;0;0;1;0;0;0;0;0;No;1;31/08/2018;2018/2019
R. Sociedad;Visitante;0;0;1;5;0;0;0;4;0;0;0;0;0;1;No;1;31/08/2018;2018/2019
Getafe;Local;0;2;0;0;1;4;0;0;0;1;0;0;0;0;No;x;31/08/2018;2018/2019
Real Valladolid;Visitante;0;0;0;0;0;0;1;2;0;0;0;0;2;0;No;x;31/08/2018;2018/2019
Villarreal;Local;0;1;0;0;0;0;0;0;0;0;2;0;0;0;No;2;31/08/2018;2018/2019
Girona;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;Si;2;31/08/2018;2018/2019
Celta;Local;2;3;0;0;3;4;0;0;1;0;0;0;0;0;No;1;01/09/2018;2018/2019
Atlético;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;1;No;1;01/09/2018;2018/2019
Real Madrid;Local;4;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;01/09/2018;2018/2019
Leganés;Visitante;0;0;1;2;0;0;0;0;0;0;0;0;0;2;No;1;01/09/2018;2018/2019
Alavés;Local;2;2;0;0;3;4;0;0;1;0;0;0;0;0;No;1;02/09/2018;2018/2019
Espanyol;Visitante;0;0;1;2;0;0;0;1;0;0;0;0;0;1;No;1;02/09/2018;2018/2019
Barcelona;Local;8;11;0;0;3;6;0;0;2;0;0;0;0;0;No;1;02/09/2018;2018/2019
Huesca;Visitante;0;0;2;6;0;0;0;4;0;0;0;0;0;1;Si;1;02/09/2018;2018/2019
Betis;Local;1;1;0;0;3;0;0;0;1;0;0;0;0;0;No;1;02/09/2018;2018/2019
Sevilla;Visitante;0;0;0;4;0;0;0;3;0;0;0;0;0;1;No;1;02/09/2018;2018/2019
Levante;Local;2;3;0;0;1;1;0;0;0;1;0;0;0;0;No;x;02/09/2018;2018/2019
Valencia;Visitante;0;0;2;2;0;0;1;1;0;0;0;0;1;0;No;x;02/09/2018;2018/2019
Huesca;Local;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Si;2;14/09/2018;2018/2019
Rayo;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;Si;2;14/09/2018;2018/2019
Athletic;Local;1;5;0;0;1;5;0;0;0;2;0;0;0;0;No;x;15/09/2018;2018/2019
Real Madrid;Visitante;0;0;1;5;0;0;1;4;0;0;0;0;1;0;No;x;15/09/2018;2018/2019
Atlético;Local;1;2;0;0;1;4;0;0;0;1;0;0;0;0;No;x;15/09/2018;2018/2019
Eibar;Visitante;0;0;1;1;0;0;1;1;0;0;0;0;1;0;No;x;15/09/2018;2018/2019
R. Sociedad;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;No;2;15/09/2018;2018/2019
Barcelona;Visitante;0;0;2;3;0;0;3;6;0;0;0;2;0;0;No;2;15/09/2018;2018/2019
Valencia;Local;0;1;0;0;1;2;0;0;0;2;0;0;0;0;No;x;15/09/2018;2018/2019
Betis;Visitante;0;0;0;0;0;0;1;2;0;0;0;0;2;0;No;x;15/09/2018;2018/2019
Espanyol;Local;1;3;0;0;3;6;0;0;2;0;0;0;0;0;No;1;16/09/2018;2018/2019
Levante;Visitante;0;0;0;3;0;0;0;3;0;0;0;0;0;1;No;1;16/09/2018;2018/2019
Leganés;Local;0;2;0;0;0;1;0;0;0;0;1;0;0;0;No;2;16/09/2018;2018/2019
Villarreal;Visitante;0;0;1;1;0;0;3;4;0;0;0;1;0;0;No;2;16/09/2018;2018/2019
Sevilla;Local;0;0;0;0;0;1;0;0;0;0;1;0;0;0;No;2;16/09/2018;2018/2019
Getafe;Visitante;0;0;2;2;0;0;3;3;0;0;0;1;0;0;No;2;16/09/2018;2018/2019
Real Valladolid;Local;0;0;0;0;0;0;0;0;0;0;2;0;0;0;No;2;16/09/2018;2018/2019
Alavés;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;No;2;16/09/2018;2018/2019
Girona;Local;3;4;0;0;3;4;0;0;1;0;0;0;0;0;Si;1;17/09/2018;2018/2019
Celta;Visitante;0;0;2;4;0;0;0;3;0;0;0;0;0;1;No;1;17/09/2018;2018/2019
Huesca;Local;0;0;0;0;0;0;0;0;0;0;2;0;0;0;Si;2;21/09/2018;2018/2019
R. Sociedad;Visitante;0;0;1;6;0;0;3;7;0;0;0;1;0;0;No;2;21/09/2018;2018/2019
Celta;Local;3;6;0;0;1;5;0;0;0;1;0;0;0;0;No;x;22/09/2018;2018/2019
Real Valladolid;Visitante;0;0;3;3;0;0;1;3;0;0;0;0;3;0;No;x;22/09/2018;2018/2019
Eibar;Local;1;4;0;0;3;6;0;0;2;0;0;0;0;0;No;1;22/09/2018;2018/2019
Leganés;Visitante;0;0;0;2;0;0;0;0;0;0;0;0;0;3;No;1;22/09/2018;2018/2019
Getafe;Local;0;2;0;0;0;4;0;0;0;0;1;0;0;0;No;2;22/09/2018;2018/2019
Atlético;Visitante;0;0;2;3;0;0;3;4;0;0;0;1;0;0;No;2;22/09/2018;2018/2019
Real Madrid;Local;1;7;0;0;3;9;0;0;3;0;0;0;0;0;No;1;22/09/2018;2018/2019
Espanyol;Visitante;0;0;0;2;0;0;0;1;0;0;0;0;0;2;No;1;22/09/2018;2018/2019
Rayo;Local;1;2;0;0;0;0;0;0;0;0;2;0;0;0;Si;2;22/09/2018;2018/2019
Alavés;Visitante;0;0;5;6;0;0;3;6;0;0;0;2;0;0;No;2;22/09/2018;2018/2019
Barcelona;Local;2;13;0;0;1;7;0;0;0;1;0;0;0;0;No;x;23/09/2018;2018/2019
Girona;Visitante;0;0;2;3;0;0;1;4;0;0;0;0;1;0;Si;x;23/09/2018;2018/2019
Betis;Local;2;3;0;0;1;0;0;0;0;1;0;0;0;0;No;x;23/09/2018;2018/2019
Athletic;Visitante;0;0;2;2;0;0;1;1;0;0;0;0;1;0;No;x;23/09/2018;2018/2019
Levante;Local;2;5;0;0;0;1;0;0;0;0;1;0;0;0;No;2;23/09/2018;2018/2019
Sevilla;Visitante;0;0;6;10;0;0;3;6;0;0;0;1;0;0;No;2;23/09/2018;2018/2019
Villarreal;Local;0;1;0;0;1;1;0;0;0;1;0;0;0;0;No;x;23/09/2018;2018/2019
Valencia;Visitante;0;0;0;2;0;0;1;2;0;0;0;0;2;0;No;x;23/09/2018;2018/2019
Atlético;Local;3;5;0;0;3;7;0;0;1;0;0;0;0;0;No;1;25/09/2018;2018/2019
Huesca;Visitante;0;0;0;6;0;0;0;4;0;0;0;0;0;2;Si;1;25/09/2018;2018/2019
Espanyol;Local;1;4;0;0;3;9;0;0;3;0;0;0;0;0;No;1;25/09/2018;2018/2019
Eibar;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;1;No;1;25/09/2018;2018/2019
R. Sociedad;Local;2;3;0;0;1;1;0;0;0;1;0;0;0;0;No;x;25/09/2018;2018/2019
Rayo;Visitante;0;0;2;3;0;0;1;4;0;0;0;0;1;0;Si;x;25/09/2018;2018/2019
Athletic;Local;0;5;0;0;0;5;0;0;0;0;1;0;0;0;No;2;26/09/2018;2018/2019
Villarreal;Visitante;0;0;3;4;0;0;3;7;0;0;0;2;0;0;No;2;26/09/2018;2018/2019
Leganés;Local;2;4;0;0;3;4;0;0;1;0;0;0;0;0;No;1;26/09/2018;2018/2019
Barcelona;Visitante;0;0;1;4;0;0;0;6;0;0;0;0;0;1;No;1;26/09/2018;2018/2019
Sevilla;Local;3;3;0;0;3;4;0;0;1;0;0;0;0;0;No;1;26/09/2018;2018/2019
Real Madrid;Visitante;0;0;0;5;0;0;0;4;0;0;0;0;0;1;No;1;26/09/2018;2018/2019
Valencia;Local;1;2;0;0;1;3;0;0;0;3;0;0;0;0;No;x;26/09/2018;2018/2019
Celta;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;1;0;No;x;26/09/2018;2018/2019
Alavés;Local;1;3;0;0;1;5;0;0;0;1;0;0;0;0;No;x;27/09/2018;2018/2019
Getafe;Visitante;0;0;1;3;0;0;1;4;0;0;0;0;1;0;No;x;27/09/2018;2018/2019
Girona;Local;0;4;0;0;0;4;0;0;0;0;1;0;0;0;Si;2;27/09/2018;2018/2019
Betis;Visitante;0;0;1;1;0;0;3;5;0;0;0;1;0;0;No;2;27/09/2018;2018/2019
Real Valladolid;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;27/09/2018;2018/2019
Levante;Visitante;0;0;1;4;0;0;0;3;0;0;0;0;0;2;No;1;27/09/2018;2018/2019
Rayo;Local;2;4;0;0;1;1;0;0;0;1;0;0;0;0;Si;x;28/09/2018;2018/2019
Espanyol;Visitante;0;0;2;4;0;0;1;2;0;0;0;0;1;0;No;x;28/09/2018;2018/2019
Barcelona;Local;1;14;0;0;1;8;0;0;0;2;0;0;0;0;No;x;29/09/2018;2018/2019
Athletic;Visitante;0;0;1;3;0;0;1;2;0;0;0;0;2;0;No;x;29/09/2018;2018/2019
Eibar;Local;1;5;0;0;0;6;0;0;0;0;1;0;0;0;No;2;29/09/2018;2018/2019
Sevilla;Visitante;0;0;3;13;0;0;3;9;0;0;0;2;0;0;No;2;29/09/2018;2018/2019
Real Madrid;Local;0;7;0;0;1;10;0;0;0;1;0;0;0;0;No;x;29/09/2018;2018/2019
Atlético;Visitante;0;0;0;3;0;0;1;5;0;0;0;0;1;0;No;x;29/09/2018;2018/2019
R. Sociedad;Local;0;3;0;0;0;1;0;0;0;0;1;0;0;0;No;2;29/09/2018;2018/2019
Valencia;Visitante;0;0;1;3;0;0;3;5;0;0;0;1;0;0;No;2;29/09/2018;2018/2019
Betis;Local;1;4;0;0;3;0;0;0;1;0;0;0;0;0;No;1;30/09/2018;2018/2019
Leganés;Visitante;0;0;0;2;0;0;0;0;0;0;0;0;0;4;No;1;30/09/2018;2018/2019
Huesca;Local;1;1;0;0;1;1;0;0;0;1;0;0;0;0;Si;x;30/09/2018;2018/2019
Girona;Visitante;0;0;1;4;0;0;1;5;0;0;0;0;2;0;Si;x;30/09/2018;2018/2019
Levante;Local;2;7;0;0;3;4;0;0;1;0;0;0;0;0;No;1;30/09/2018;2018/2019
Alavés;Visitante;0;0;1;7;0;0;0;6;0;0;0;0;0;1;No;1;30/09/2018;2018/2019
Villarreal;Local;0;1;0;0;0;1;0;0;0;0;1;0;0;0;No;2;30/09/2018;2018/2019
Real Valladolid;Visitante;0;0;1;4;0;0;3;6;0;0;0;1;0;0;No;2;30/09/2018;2018/2019
Celta;Local;1;7;0;0;1;6;0;0;0;2;0;0;0;0;No;x;01/10/2018;2018/2019
Getafe;Visitante;0;0;1;4;0;0;1;5;0;0;0;0;2;0;No;x;01/10/2018;2018/2019
Athletic;Local;1;6;0;0;0;5;0;0;0;0;2;0;0;0;No;2;05/10/2018;2018/2019
R. Sociedad;Visitante;0;0;3;9;0;0;3;10;0;0;0;2;0;0;No;2;05/10/2018;2018/2019
Alavés;Local;1;4;0;0;3;8;0;0;1;0;0;0;0;0;No;1;06/10/2018;2018/2019
Real Madrid;Visitante;0;0;0;5;0;0;0;4;0;0;0;0;0;2;No;1;06/10/2018;2018/2019
Getafe;Local;0;2;0;0;0;4;0;0;0;0;2;0;0;0;No;2;06/10/2018;2018/2019
Levante;Visitante;0;0;1;5;0;0;3;6;0;0;0;1;0;0;No;2;06/10/2018;2018/2019
Girona;Local;2;6;0;0;0;4;0;0;0;0;2;0;0;0;Si;2;06/10/2018;2018/2019
Eibar;Visitante;0;0;3;4;0;0;3;4;0;0;0;1;0;0;No;2;06/10/2018;2018/2019
Leganés;Local;1;5;0;0;3;7;0;0;2;0;0;0;0;0;No;1;06/10/2018;2018/2019
Rayo;Visitante;0;0;0;3;0;0;0;4;0;0;0;0;0;1;Si;1;06/10/2018;2018/2019
Atlético;Local;1;6;0;0;3;10;0;0;2;0;0;0;0;0;No;1;07/10/2018;2018/2019
Betis;Visitante;0;0;0;1;0;0;0;5;0;0;0;0;0;1;No;1;07/10/2018;2018/2019
Espanyol;Local;3;7;0;0;3;12;0;0;4;0;0;0;0;0;No;1;07/10/2018;2018/2019
Villarreal;Visitante;0;0;1;5;0;0;0;7;0;0;0;0;0;1;No;1;07/10/2018;2018/2019
Sevilla;Local;2;5;0;0;3;7;0;0;2;0;0;0;0;0;No;1;07/10/2018;2018/2019
Celta;Visitante;0;0;1;6;0;0;0;7;0;0;0;0;0;1;No;1;07/10/2018;2018/2019
Valencia;Local;1;3;0;0;1;4;0;0;0;4;0;0;0;0;No;x;07/10/2018;2018/2019
Barcelona;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;1;0;No;x;07/10/2018;2018/2019
Real Valladolid;Local;1;3;0;0;3;6;0;0;2;0;0;0;0;0;No;1;07/10/2018;2018/2019
Huesca;Visitante;0;0;0;6;0;0;0;4;0;0;0;0;0;3;Si;1;07/10/2018;2018/2019
Celta;Local;0;7;0;0;0;6;0;0;0;0;1;0;0;0;No;2;19/10/2018;2018/2019
Alavés;Visitante;0;0;1;8;0;0;3;9;0;0;0;1;0;0;No;2;19/10/2018;2018/2019
Barcelona;Local;4;18;0;0;3;11;0;0;1;0;0;0;0;0;No;1;20/10/2018;2018/2019
Sevilla;Visitante;0;0;2;15;0;0;0;9;0;0;0;0;0;1;No;1;20/10/2018;2018/2019
Real Madrid;Local;1;8;0;0;0;10;0;0;0;0;1;0;0;0;No;2;20/10/2018;2018/2019
Levante;Visitante;0;0;2;7;0;0;3;9;0;0;0;2;0;0;No;2;20/10/2018;2018/2019
Valencia;Local;1;4;0;0;1;5;0;0;0;5;0;0;0;0;No;x;20/10/2018;2018/2019
Leganés;Visitante;0;0;1;3;0;0;1;1;0;0;0;0;1;0;No;x;20/10/2018;2018/2019
Villarreal;Local;1;2;0;0;1;2;0;0;0;1;0;0;0;0;No;x;20/10/2018;2018/2019
Atlético;Visitante;0;0;1;4;0;0;1;6;0;0;0;0;2;0;No;x;20/10/2018;2018/2019
Betis;Local;0;4;0;0;0;0;0;0;0;0;1;0;0;0;No;2;21/10/2018;2018/2019
Real Valladolid;Visitante;0;0;1;5;0;0;3;9;0;0;0;2;0;0;No;2;21/10/2018;2018/2019
Eibar;Local;1;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;21/10/2018;2018/2019
Athletic;Visitante;0;0;1;4;0;0;1;3;0;0;0;0;3;0;No;x;21/10/2018;2018/2019
Huesca;Local;0;1;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;21/10/2018;2018/2019
Espanyol;Visitante;0;0;2;6;0;0;3;5;0;0;0;1;0;0;No;2;21/10/2018;2018/2019
Rayo;Local;1;5;0;0;0;1;0;0;0;0;1;0;0;0;Si;2;21/10/2018;2018/2019
Getafe;Visitante;0;0;2;6;0;0;3;8;0;0;0;1;0;0;No;2;21/10/2018;2018/2019
R. Sociedad;Local;0;3;0;0;1;2;0;0;0;1;0;0;0;0;No;x;22/10/2018;2018/2019
Girona;Visitante;0;0;0;4;0;0;1;6;0;0;0;0;3;0;Si;x;22/10/2018;2018/2019
Rayo;Local;1;6;0;0;1;2;0;0;0;1;0;0;0;0;Si;x;24/10/2018;2018/2019
Athletic;Visitante;0;0;1;5;0;0;1;4;0;0;0;0;4;0;No;x;24/10/2018;2018/2019
Real Valladolid;Local;1;4;0;0;1;7;0;0;0;1;0;0;0;0;No;x;26/10/2018;2018/2019
Espanyol;Visitante;0;0;1;7;0;0;1;6;0;0;0;0;1;0;No;x;26/10/2018;2018/2019
Athletic;Local;0;6;0;0;1;6;0;0;0;1;0;0;0;0;No;x;27/10/2018;2018/2019
Valencia;Visitante;0;0;0;3;0;0;1;6;0;0;0;0;1;0;No;x;27/10/2018;2018/2019
Atlético;Local;2;8;0;0;3;13;0;0;3;0;0;0;0;0;No;1;27/10/2018;2018/2019
R. Sociedad;Visitante;0;0;0;9;0;0;0;10;0;0;0;0;0;1;No;1;27/10/2018;2018/2019
Celta;Local;4;11;0;0;3;9;0;0;1;0;0;0;0;0;No;1;27/10/2018;2018/2019
Eibar;Visitante;0;0;0;4;0;0;0;4;0;0;0;0;0;1;No;1;27/10/2018;2018/2019
Girona;Local;2;8;0;0;3;7;0;0;1;0;0;0;0;0;Si;1;27/10/2018;2018/2019
Rayo;Visitante;0;0;1;4;0;0;0;4;0;0;0;0;0;2;Si;1;27/10/2018;2018/2019
Levante;Local;2;9;0;0;3;7;0;0;2;0;0;0;0;0;No;1;27/10/2018;2018/2019
Leganés;Visitante;0;0;0;3;0;0;0;1;0;0;0;0;0;1;No;1;27/10/2018;2018/2019
Alavés;Local;2;6;0;0;3;11;0;0;2;0;0;0;0;0;No;1;28/10/2018;2018/2019
Villarreal;Visitante;0;0;1;6;0;0;0;7;0;0;0;0;0;2;No;1;28/10/2018;2018/2019
Barcelona;Local;5;23;0;0;3;14;0;0;2;0;0;0;0;0;No;1;28/10/2018;2018/2019
Real Madrid;Visitante;0;0;1;6;0;0;0;4;0;0;0;0;0;3;No;1;28/10/2018;2018/2019
Getafe;Local;2;4;0;0;3;7;0;0;1;0;0;0;0;0;No;1;28/10/2018;2018/2019
Betis;Visitante;0;0;0;1;0;0;0;5;0;0;0;0;0;2;No;1;28/10/2018;2018/2019
Sevilla;Local;2;7;0;0;3;10;0;0;3;0;0;0;0;0;No;1;28/10/2018;2018/2019
Huesca;Visitante;0;0;1;7;0;0;0;4;0;0;0;0;0;4;Si;1;28/10/2018;2018/2019
Leganés;Local;1;6;0;0;1;8;0;0;0;1;0;0;0;0;No;x;03/11/2018;2018/2019
Atlético;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;3;0;No;x;03/11/2018;2018/2019
Real Madrid;Local;2;10;0;0;3;13;0;0;1;0;0;0;0;0;No;1;03/11/2018;2018/2019
Real Valladolid;Visitante;0;0;0;5;0;0;0;9;0;0;0;0;0;1;No;1;03/11/2018;2018/2019
Valencia;Local;0;4;0;0;0;5;0;0;0;0;1;0;0;0;No;2;03/11/2018;2018/2019
Girona;Visitante;0;0;1;5;0;0;3;9;0;0;0;1;0;0;Si;2;03/11/2018;2018/2019
Rayo;Local;2;8;0;0;0;2;0;0;0;0;1;0;0;0;Si;2;03/11/2018;2018/2019
Barcelona;Visitante;0;0;3;8;0;0;3;10;0;0;0;1;0;0;No;2;03/11/2018;2018/2019
Betis;Local;3;7;0;0;1;0;0;0;0;1;0;0;0;0;No;x;04/11/2018;2018/2019
Celta;Visitante;0;0;3;9;0;0;1;8;0;0;0;0;1;0;No;x;04/11/2018;2018/2019
Eibar;Local;2;8;0;0;3;10;0;0;1;0;0;0;0;0;No;1;04/11/2018;2018/2019
Alavés;Visitante;0;0;1;9;0;0;0;9;0;0;0;0;0;1;No;1;04/11/2018;2018/2019
Huesca;Local;1;2;0;0;1;2;0;0;0;1;0;0;0;0;Si;x;04/11/2018;2018/2019
Getafe;Visitante;0;0;1;7;0;0;1;9;0;0;0;0;1;0;No;x;04/11/2018;2018/2019
R. Sociedad;Local;0;3;0;0;1;3;0;0;0;2;0;0;0;0;No;x;04/11/2018;2018/2019
Sevilla;Visitante;0;0;0;15;0;0;1;10;0;0;0;0;1;0;No;x;04/11/2018;2018/2019
Villarreal;Local;1;3;0;0;1;3;0;0;0;2;0;0;0;0;No;x;04/11/2018;2018/2019
Levante;Visitante;0;0;1;8;0;0;1;10;0;0;0;0;1;0;No;x;04/11/2018;2018/2019
Espanyol;Local;1;8;0;0;3;15;0;0;5;0;0;0;0;0;No;1;05/11/2018;2018/2019
Athletic;Visitante;0;0;0;5;0;0;0;4;0;0;0;0;0;1;No;1;05/11/2018;2018/2019
Levante;Local;1;10;0;0;0;7;0;0;0;0;1;0;0;0;No;2;09/11/2018;2018/2019
R. Sociedad;Visitante;0;0;3;12;0;0;3;13;0;0;0;1;0;0;No;2;09/11/2018;2018/2019
Atlético;Local;3;11;0;0;3;16;0;0;4;0;0;0;0;0;No;1;10/11/2018;2018/2019
Athletic;Visitante;0;0;2;7;0;0;0;4;0;0;0;0;0;2;No;1;10/11/2018;2018/2019
Getafe;Local;0;4;0;0;0;7;0;0;0;0;1;0;0;0;No;2;10/11/2018;2018/2019
Valencia;Visitante;0;0;1;4;0;0;3;9;0;0;0;1;0;0;No;2;10/11/2018;2018/2019
Girona;Local;0;8;0;0;1;8;0;0;0;1;0;0;0;0;Si;x;10/11/2018;2018/2019
Leganés;Visitante;0;0;0;3;0;0;1;2;0;0;0;0;1;0;No;x;10/11/2018;2018/2019
Real Valladolid;Local;0;4;0;0;1;8;0;0;0;2;0;0;0;0;No;x;10/11/2018;2018/2019
Eibar;Visitante;0;0;0;4;0;0;1;5;0;0;0;0;1;0;No;x;10/11/2018;2018/2019
Alavés;Local;2;8;0;0;3;14;0;0;3;0;0;0;0;0;No;1;11/11/2018;2018/2019
Huesca;Visitante;0;0;1;8;0;0;0;4;0;0;0;0;0;5;Si;1;11/11/2018;2018/2019
Barcelona;Local;3;26;0;0;0;14;0;0;0;0;1;0;0;0;No;2;11/11/2018;2018/2019
Betis;Visitante;0;0;4;5;0;0;3;8;0;0;0;1;0;0;No;2;11/11/2018;2018/2019
Celta;Local;2;13;0;0;0;9;0;0;0;0;1;0;0;0;No;2;11/11/2018;2018/2019
Real Madrid;Visitante;0;0;4;10;0;0;3;7;0;0;0;1;0;0;No;2;11/11/2018;2018/2019
Sevilla;Local;2;9;0;0;3;13;0;0;4;0;0;0;0;0;No;1;11/11/2018;2018/2019
Espanyol;Visitante;0;0;1;8;0;0;0;6;0;0;0;0;0;1;No;1;11/11/2018;2018/2019
Rayo;Local;2;10;0;0;1;3;0;0;0;1;0;0;0;0;Si;x;11/11/2018;2018/2019
Villarreal;Visitante;0;0;2;8;0;0;1;8;0;0;0;0;1;0;No;x;11/11/2018;2018/2019
Leganés;Local;1;7;0;0;3;11;0;0;1;0;0;0;0;0;No;1;23/11/2018;2018/2019
Alavés;Visitante;0;0;0;9;0;0;0;9;0;0;0;0;0;2;No;1;23/11/2018;2018/2019
Atlético;Local;1;12;0;0;1;17;0;0;0;1;0;0;0;0;No;x;24/11/2018;2018/2019
Barcelona;Visitante;0;0;1;9;0;0;1;11;0;0;0;0;1;0;No;x;24/11/2018;2018/2019
Eibar;Local;3;11;0;0;3;13;0;0;2;0;0;0;0;0;No;1;24/11/2018;2018/2019
Real Madrid;Visitante;0;0;0;10;0;0;0;7;0;0;0;0;0;1;No;1;24/11/2018;2018/2019
Huesca;Local;2;4;0;0;1;3;0;0;0;2;0;0;0;0;Si;x;24/11/2018;2018/2019
Levante;Visitante;0;0;2;10;0;0;1;11;0;0;0;0;2;0;No;x;24/11/2018;2018/2019
Valencia;Local;3;7;0;0;3;8;0;0;1;0;0;0;0;0;No;1;24/11/2018;2018/2019
Rayo;Visitante;0;0;0;4;0;0;0;4;0;0;0;0;0;3;Si;1;24/11/2018;2018/2019
Athletic;Local;1;7;0;0;1;7;0;0;0;2;0;0;0;0;No;x;25/11/2018;2018/2019
Getafe;Visitante;0;0;1;8;0;0;1;10;0;0;0;0;2;0;No;x;25/11/2018;2018/2019
Espanyol;Local;1;9;0;0;0;15;0;0;0;0;1;0;0;0;No;2;25/11/2018;2018/2019
Girona;Visitante;0;0;3;8;0;0;3;12;0;0;0;2;0;0;Si;2;25/11/2018;2018/2019
Sevilla;Local;1;10;0;0;3;16;0;0;5;0;0;0;0;0;No;1;25/11/2018;2018/2019
Real Valladolid;Visitante;0;0;0;5;0;0;0;9;0;0;0;0;0;2;No;1;25/11/2018;2018/2019
Villarreal;Local;2;5;0;0;3;6;0;0;1;0;0;0;0;0;No;1;25/11/2018;2018/2019
Betis;Visitante;0;0;1;6;0;0;0;8;0;0;0;0;0;1;No;1;25/11/2018;2018/2019
R. Sociedad;Local;2;5;0;0;3;6;0;0;1;0;0;0;0;0;No;1;26/11/2018;2018/2019
