Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Rayo;Visitante;0;0;2;5;0;0;0;3;0;0;0;0;0;2;Si;1;17/10/2015;2015/2016
Betis;Local;1;4;0;0;0;4;0;0;0;0;2;0;0;0;No;2;17/10/2015;2015/2016
Espanyol;Visitante;0;0;3;7;0;0;3;6;0;0;0;1;0;0;No;2;17/10/2015;2015/2016
Eibar;Local;1;4;0;0;1;5;0;0;0;2;0;0;0;0;No;x;17/10/2015;2015/2016
Sevilla;Visitante;0;0;1;2;0;0;1;3;0;0;0;0;1;0;No;x;17/10/2015;2015/2016
Real Madrid;Local;3;9;0;0;3;10;0;0;1;0;0;0;0;0;No;1;17/10/2015;2015/2016
Levante;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;3;Si;1;17/10/2015;2015/2016
Valencia;Local;3;5;0;0;3;8;0;0;2;0;0;0;0;0;No;1;17/10/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;0;1;0;0;0;0;0;1;No;1;17/10/2015;2015/2016
Getafe;Local;4;9;0;0;3;9;0;0;3;0;0;0;0;0;Si;1;18/10/2015;2015/2016
Las Palmas;Visitante;0;0;0;4;0;0;0;1;0;0;0;0;0;2;No;1;18/10/2015;2015/2016
Deportivo;Local;2;7;0;0;1;5;0;0;0;1;0;0;0;0;No;x;18/10/2015;2015/2016
Athletic;Visitante;0;0;2;3;0;0;1;2;0;0;0;0;2;0;No;x;18/10/2015;2015/2016
R. Sociedad;Local;0;2;0;0;0;2;0;0;0;0;1;0;0;0;No;2;18/10/2015;2015/2016
Atlético;Visitante;0;0;2;7;0;0;3;9;0;0;0;1;0;0;No;2;18/10/2015;2015/2016
Villarreal;Local;1;8;0;0;0;9;0;0;0;0;1;0;0;0;No;2;18/10/2015;2015/2016
