Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Resultados;Fecha;Temporada
Real Valladolid;Local;1;12;0;0;x;31/03/2019;2018/2019
R. Sociedad;Visitante;0;0;1;19;x;31/03/2019;2018/2019
Rayo;Local;1;21;0;0;x;31/03/2019;2018/2019
Betis;Visitante;0;0;1;14;x;31/03/2019;2018/2019
Atlético;Local;2;25;0;0;1;02/04/2019;2018/2019
Girona;Visitante;0;0;0;18;1;02/04/2019;2018/2019
Espanyol;Local;1;20;0;0;x;02/04/2019;2018/2019
Getafe;Visitante;0;0;1;17;x;02/04/2019;2018/2019
Villarreal;Local;4;24;0;0;x;02/04/2019;2018/2019
Barcelona;Visitante;0;0;4;35;x;02/04/2019;2018/2019
Athletic;Local;3;19;0;0;1;03/04/2019;2018/2019
Levante;Visitante;0;0;2;22;1;03/04/2019;2018/2019
Eibar;Local;2;28;0;0;1;03/04/2019;2018/2019
Rayo;Visitante;0;0;1;11;1;03/04/2019;2018/2019
Huesca;Local;3;18;0;0;x;03/04/2019;2018/2019
Celta;Visitante;0;0;3;20;x;03/04/2019;2018/2019
Valencia;Local;2;18;0;0;1;03/04/2019;2018/2019
Real Madrid;Visitante;0;0;1;29;1;03/04/2019;2018/2019
Leganés;Local;1;18;0;0;1;04/04/2019;2018/2019
Real Valladolid;Visitante;0;0;0;12;1;04/04/2019;2018/2019
Sevilla;Local;2;29;0;0;1;04/04/2019;2018/2019
Alavés;Visitante;0;0;0;18;1;04/04/2019;2018/2019
R. Sociedad;Local;2;17;0;0;1;04/04/2019;2018/2019
Betis;Visitante;0;0;1;15;1;04/04/2019;2018/2019
Barcelona;Local;2;46;0;0;1;06/04/2019;2018/2019
Atlético;Visitante;0;0;0;20;1;06/04/2019;2018/2019
Girona;Local;1;15;0;0;2;06/04/2019;2018/2019
Espanyol;Visitante;0;0;2;15;2;06/04/2019;2018/2019
Real Madrid;Local;2;26;0;0;1;06/04/2019;2018/2019
Eibar;Visitante;0;0;1;13;1;06/04/2019;2018/2019
Rayo;Local;2;23;0;0;1;06/04/2019;2018/2019
Valencia;Visitante;0;0;0;14;1;06/04/2019;2018/2019
Alavés;Local;1;15;0;0;x;07/04/2019;2018/2019
Leganés;Visitante;0;0;1;13;x;07/04/2019;2018/2019
Betis;Local;2;21;0;0;1;07/04/2019;2018/2019
Villarreal;Visitante;0;0;1;15;1;07/04/2019;2018/2019
Celta;Local;3;25;0;0;1;07/04/2019;2018/2019
R. Sociedad;Visitante;0;0;1;20;1;07/04/2019;2018/2019
Getafe;Local;1;21;0;0;1;07/04/2019;2018/2019
Athletic;Visitante;0;0;0;14;1;07/04/2019;2018/2019
Levante;Local;2;22;0;0;x;07/04/2019;2018/2019
Huesca;Visitante;0;0;2;17;x;07/04/2019;2018/2019
Real Valladolid;Local;0;12;0;0;2;07/04/2019;2018/2019
Sevilla;Visitante;0;0;2;22;2;07/04/2019;2018/2019
Atlético;Local;2;27;0;0;1;13/04/2019;2018/2019
Celta;Visitante;0;0;0;20;1;13/04/2019;2018/2019
Espanyol;Local;2;22;0;0;1;13/04/2019;2018/2019
Alavés;Visitante;0;0;1;19;1;13/04/2019;2018/2019
Huesca;Local;0;18;0;0;x;13/04/2019;2018/2019
Barcelona;Visitante;0;0;0;35;x;13/04/2019;2018/2019
Sevilla;Local;3;32;0;0;1;13/04/2019;2018/2019
Betis;Visitante;0;0;2;17;1;13/04/2019;2018/2019
Athletic;Local;3;22;0;0;1;14/04/2019;2018/2019
Rayo;Visitante;0;0;2;13;1;14/04/2019;2018/2019
Girona;Local;0;15;0;0;2;14/04/2019;2018/2019
Villarreal;Visitante;0;0;1;16;2;14/04/2019;2018/2019
R. Sociedad;Local;1;18;0;0;x;14/04/2019;2018/2019
Eibar;Visitante;0;0;1;13;x;14/04/2019;2018/2019
Valencia;Local;3;21;0;0;1;14/04/2019;2018/2019
Levante;Visitante;0;0;1;23;1;14/04/2019;2018/2019
Real Valladolid;Local;2;14;0;0;x;14/04/2019;2018/2019
Getafe;Visitante;0;0;2;19;x;14/04/2019;2018/2019
Leganés;Local;1;19;0;0;x;15/04/2019;2018/2019
Real Madrid;Visitante;0;0;1;30;x;15/04/2019;2018/2019
Alavés;Local;2;17;0;0;x;19/04/2019;2018/2019
Real Valladolid;Visitante;0;0;2;14;x;19/04/2019;2018/2019
Barcelona;Local;2;48;0;0;1;20/04/2019;2018/2019
R. Sociedad;Visitante;0;0;1;21;1;20/04/2019;2018/2019
Celta;Local;2;27;0;0;1;20/04/2019;2018/2019
Girona;Visitante;0;0;1;19;1;20/04/2019;2018/2019
Eibar;Local;0;28;0;0;2;20/04/2019;2018/2019
Atlético;Visitante;0;0;1;21;2;20/04/2019;2018/2019
Rayo;Local;0;23;0;0;x;20/04/2019;2018/2019
Huesca;Visitante;0;0;0;17;x;20/04/2019;2018/2019
Betis;Local;1;22;0;0;2;21/04/2019;2018/2019
Valencia;Visitante;0;0;2;16;2;21/04/2019;2018/2019
Getafe;Local;3;24;0;0;1;21/04/2019;2018/2019
Sevilla;Visitante;0;0;0;22;1;21/04/2019;2018/2019
Levante;Local;2;24;0;0;x;21/04/2019;2018/2019
Espanyol;Visitante;0;0;2;17;x;21/04/2019;2018/2019
Real Madrid;Local;3;29;0;0;1;21/04/2019;2018/2019
Athletic;Visitante;0;0;0;14;1;21/04/2019;2018/2019
Villarreal;Local;2;22;0;0;1;21/04/2019;2018/2019
Leganés;Visitante;0;0;1;14;1;21/04/2019;2018/2019
Alavés;Local;0;17;0;0;2;23/04/2019;2018/2019
Barcelona;Visitante;0;0;2;37;2;23/04/2019;2018/2019
Huesca;Local;2;20;0;0;1;23/04/2019;2018/2019
Eibar;Visitante;0;0;0;13;1;23/04/2019;2018/2019
Real Valladolid;Local;1;15;0;0;1;23/04/2019;2018/2019
Girona;Visitante;0;0;0;19;1;23/04/2019;2018/2019
Atlético;Local;3;30;0;0;1;24/04/2019;2018/2019
Valencia;Visitante;0;0;2;18;1;24/04/2019;2018/2019
Espanyol;Local;1;23;0;0;x;24/04/2019;2018/2019
Celta;Visitante;0;0;1;21;x;24/04/2019;2018/2019
Leganés;Local;0;19;0;0;2;24/04/2019;2018/2019
Athletic;Visitante;0;0;1;15;2;24/04/2019;2018/2019
Levante;Local;4;28;0;0;1;24/04/2019;2018/2019
Betis;Visitante;0;0;0;17;1;24/04/2019;2018/2019
Getafe;Local;0;24;0;0;x;25/04/2019;2018/2019
Real Madrid;Visitante;0;0;0;30;x;25/04/2019;2018/2019
Sevilla;Local;5;37;0;0;1;25/04/2019;2018/2019
Rayo;Visitante;0;0;0;13;1;25/04/2019;2018/2019
R. Sociedad;Local;0;18;0;0;2;25/04/2019;2018/2019
Villarreal;Visitante;0;0;1;17;2;25/04/2019;2018/2019
Athletic;Local;1;23;0;0;x;27/04/2019;2018/2019
Alavés;Visitante;0;0;1;20;x;27/04/2019;2018/2019
Atlético;Local;1;31;0;0;1;27/04/2019;2018/2019
Real Valladolid;Visitante;0;0;0;14;1;27/04/2019;2018/2019
Barcelona;Local;1;49;0;0;1;27/04/2019;2018/2019
Levante;Visitante;0;0;0;23;1;27/04/2019;2018/2019
Leganés;Local;0;19;0;0;x;27/04/2019;2018/2019
Celta;Visitante;0;0;0;21;x;27/04/2019;2018/2019
Girona;Local;1;16;0;0;1;28/04/2019;2018/2019
Sevilla;Visitante;0;0;0;22;1;28/04/2019;2018/2019
R. Sociedad;Local;2;20;0;0;1;28/04/2019;2018/2019
Getafe;Visitante;0;0;1;20;1;28/04/2019;2018/2019
Valencia;Local;0;21;0;0;2;28/04/2019;2018/2019
Eibar;Visitante;0;0;1;14;2;28/04/2019;2018/2019
Rayo;Local;1;24;0;0;1;28/04/2019;2018/2019
Real Madrid;Visitante;0;0;0;30;1;28/04/2019;2018/2019
Villarreal;Local;1;23;0;0;x;28/04/2019;2018/2019
Huesca;Visitante;0;0;1;18;x;28/04/2019;2018/2019
Betis;Local;1;23;0;0;x;29/04/2019;2018/2019
Espanyol;Visitante;0;0;1;18;x;29/04/2019;2018/2019
Sevilla;Local;0;37;0;0;2;03/05/2019;2018/2019
Leganés;Visitante;0;0;3;17;2;03/05/2019;2018/2019
Alavés;Local;0;17;0;0;2;04/05/2019;2018/2019
R. Sociedad;Visitante;0;0;1;22;2;04/05/2019;2018/2019
Celta;Local;2;29;0;0;1;04/05/2019;2018/2019
Barcelona;Visitante;0;0;0;37;1;04/05/2019;2018/2019
Espanyol;Local;3;26;0;0;1;04/05/2019;2018/2019
Atlético;Visitante;0;0;0;21;1;04/05/2019;2018/2019
Levante;Local;4;32;0;0;1;04/05/2019;2018/2019
Rayo;Visitante;0;0;1;14;1;04/05/2019;2018/2019
Eibar;Local;1;29;0;0;1;05/05/2019;2018/2019
Betis;Visitante;0;0;0;17;1;05/05/2019;2018/2019
Getafe;Local;2;26;0;0;1;05/05/2019;2018/2019
Girona;Visitante;0;0;0;19;1;05/05/2019;2018/2019
Huesca;Local;2;22;0;0;2;05/05/2019;2018/2019
Valencia;Visitante;0;0;6;24;2;05/05/2019;2018/2019
Real Madrid;Local;3;32;0;0;1;05/05/2019;2018/2019
Villarreal;Visitante;0;0;2;19;1;05/05/2019;2018/2019
Real Valladolid;Local;1;16;0;0;1;05/05/2019;2018/2019
Athletic;Visitante;0;0;0;15;1;05/05/2019;2018/2019
Athletic;Local;3;26;0;0;1;12/05/2019;2018/2019
Celta;Visitante;0;0;1;22;1;12/05/2019;2018/2019
Atlético;Local;1;32;0;0;x;12/05/2019;2018/2019
Sevilla;Visitante;0;0;1;23;x;12/05/2019;2018/2019
Barcelona;Local;2;50;0;0;1;12/05/2019;2018/2019
Getafe;Visitante;0;0;0;20;1;12/05/2019;2018/2019
Betis;Local;2;25;0;0;1;12/05/2019;2018/2019
Huesca;Visitante;0;0;1;19;1;12/05/2019;2018/2019
Girona;Local;1;17;0;0;2;12/05/2019;2018/2019
Levante;Visitante;0;0;2;25;2;12/05/2019;2018/2019
Leganés;Local;0;19;0;0;2;12/05/2019;2018/2019
Espanyol;Visitante;0;0;2;20;2;12/05/2019;2018/2019
R. Sociedad;Local;3;23;0;0;1;12/05/2019;2018/2019
Real Madrid;Visitante;0;0;1;31;1;12/05/2019;2018/2019
Valencia;Local;3;24;0;0;1;12/05/2019;2018/2019
Alavés;Visitante;0;0;1;21;1;12/05/2019;2018/2019
Rayo;Local;1;25;0;0;2;12/05/2019;2018/2019
Real Valladolid;Visitante;0;0;2;16;2;12/05/2019;2018/2019
Villarreal;Local;1;24;0;0;1;12/05/2019;2018/2019
Eibar;Visitante;0;0;0;14;1;12/05/2019;2018/2019
Alavés;Local;2;19;0;0;1;18/05/2019;2018/2019
Girona;Visitante;0;0;1;20;1;18/05/2019;2018/2019
Celta;Local;2;31;0;0;x;18/05/2019;2018/2019
Rayo;Visitante;0;0;2;16;x;18/05/2019;2018/2019
Espanyol;Local;2;28;0;0;1;18/05/2019;2018/2019
R. Sociedad;Visitante;0;0;0;22;1;18/05/2019;2018/2019
Getafe;Local;2;28;0;0;x;18/05/2019;2018/2019
Villarreal;Visitante;0;0;2;21;x;18/05/2019;2018/2019
Huesca;Local;2;24;0;0;1;18/05/2019;2018/2019
Leganés;Visitante;0;0;1;18;1;18/05/2019;2018/2019
Levante;Local;2;34;0;0;x;18/05/2019;2018/2019
Atlético;Visitante;0;0;2;23;x;18/05/2019;2018/2019
Sevilla;Local;2;39;0;0;1;18/05/2019;2018/2019
Athletic;Visitante;0;0;0;15;1;18/05/2019;2018/2019
Real Valladolid;Local;0;16;0;0;2;18/05/2019;2018/2019
Valencia;Visitante;0;0;2;26;2;18/05/2019;2018/2019
Eibar;Local;2;31;0;0;x;19/05/2019;2018/2019
Barcelona;Visitante;0;0;2;39;x;19/05/2019;2018/2019
Real Madrid;Local;0;32;0;0;2;19/05/2019;2018/2019
Betis;Visitante;0;0;2;19;2;19/05/2019;2018/2019
Athletic;Local;1;1;0;0;1;16/08/2019;2019/2020
Barcelona;Visitante;0;0;0;0;1;16/08/2019;2019/2020
Celta;Local;1;1;0;0;2;17/08/2019;2019/2020
Real Madrid;Visitante;0;0;3;3;2;17/08/2019;2019/2020
Valencia;Local;1;1;0;0;x;17/08/2019;2019/2020
R. Sociedad;Visitante;0;0;1;1;x;17/08/2019;2019/2020
Mallorca;Local;2;2;0;0;1;17/08/2019;2019/2020
Eibar;Visitante;0;0;1;1;1;17/08/2019;2019/2020
Villarreal;Local;4;4;0;0;x;17/08/2019;2019/2020
Granada;Visitante;0;0;4;4;x;17/08/2019;2019/2020
Leganés;Local;0;0;0;0;2;18/08/2019;2019/2020
Osasuna;Visitante;0;0;1;1;2;18/08/2019;2019/2020
Alavés;Local;1;1;0;0;1;18/08/2019;2019/2020
Levante;Visitante;0;0;0;0;1;18/08/2019;2019/2020
Espanyol;Local;0;0;0;0;2;18/08/2019;2019/2020
Sevilla;Visitante;0;0;2;2;2;18/08/2019;2019/2020
Betis;Local;1;1;0;0;2;18/08/2019;2019/2020
Real Valladolid;Visitante;0;0;2;2;2;18/08/2019;2019/2020
Atlético;Local;1;1;0;0;1;18/08/2019;2019/2020
Getafe;Visitante;0;0;0;0;1;18/08/2019;2019/2020
Granada;Local;0;0;0;0;2;23/08/2019;2019/2020
Sevilla;Visitante;0;0;1;3;2;23/08/2019;2019/2020
Levante;Local;2;2;0;0;1;23/08/2019;2019/2020
Villarreal;Visitante;0;0;1;1;1;23/08/2019;2019/2020
Osasuna;Local;0;0;0;0;x;24/08/2019;2019/2020
Eibar;Visitante;0;0;0;1;x;24/08/2019;2019/2020
Real Madrid;Local;1;1;0;0;x;24/08/2019;2019/2020
Real Valladolid;Visitante;0;0;1;3;x;24/08/2019;2019/2020
Getafe;Local;1;1;0;0;x;24/08/2019;2019/2020
Athletic;Visitante;0;0;1;1;x;24/08/2019;2019/2020
Celta;Local;1;2;0;0;1;25/08/2019;2019/2020
Valencia;Visitante;0;0;0;0;1;25/08/2019;2019/2020
Mallorca;Local;0;2;0;0;2;25/08/2019;2019/2020
R. Sociedad;Visitante;0;0;1;2;2;25/08/2019;2019/2020
Alavés;Local;0;1;0;0;x;25/08/2019;2019/2020
Espanyol;Visitante;0;0;0;0;x;25/08/2019;2019/2020
Leganés;Local;0;0;0;0;2;25/08/2019;2019/2020
Atlético;Visitante;0;0;1;1;2;25/08/2019;2019/2020
Barcelona;Local;5;5;0;0;1;25/08/2019;2019/2020
Betis;Visitante;0;0;2;2;1;25/08/2019;2019/2020
Sevilla;Local;1;1;0;0;x;30/08/2019;2019/2020
Celta;Visitante;0;0;1;1;x;30/08/2019;2019/2020
Athletic;Local;2;3;0;0;1;30/08/2019;2019/2020
R. Sociedad;Visitante;0;0;0;2;1;30/08/2019;2019/2020
Osasuna;Local;2;2;0;0;x;31/08/2019;2019/2020
Barcelona;Visitante;0;0;2;2;x;31/08/2019;2019/2020
Getafe;Local;1;2;0;0;x;31/08/2019;2019/2020
Alavés;Visitante;0;0;1;1;x;31/08/2019;2019/2020
Levante;Local;2;4;0;0;1;31/08/2019;2019/2020
Real Valladolid;Visitante;0;0;0;3;1;31/08/2019;2019/2020
Betis;Local;2;3;0;0;1;31/08/2019;2019/2020
Leganés;Visitante;0;0;1;1;1;31/08/2019;2019/2020
Valencia;Local;2;3;0;0;1;01/09/2019;2019/2020
Mallorca;Visitante;0;0;0;0;1;01/09/2019;2019/2020
Atlético;Local;3;4;0;0;1;01/09/2019;2019/2020
Eibar;Visitante;0;0;2;3;1;01/09/2019;2019/2020
Espanyol;Local;0;0;0;0;2;01/09/2019;2019/2020
Granada;Visitante;0;0;3;7;2;01/09/2019;2019/2020
Villarreal;Local;2;6;0;0;x;01/09/2019;2019/2020
Real Madrid;Visitante;0;0;2;5;x;01/09/2019;2019/2020
Mallorca;Local;0;2;0;0;x;13/09/2019;2019/2020
Athletic;Visitante;0;0;0;1;x;13/09/2019;2019/2020
Real Madrid;Local;3;4;0;0;1;14/09/2019;2019/2020
Levante;Visitante;0;0;2;2;1;14/09/2019;2019/2020
Leganés;Local;0;0;0;0;2;14/09/2019;2019/2020
Villarreal;Visitante;0;0;3;4;2;14/09/2019;2019/2020
R. Sociedad;Local;2;2;0;0;1;14/09/2019;2019/2020
Atlético;Visitante;0;0;0;1;1;14/09/2019;2019/2020
Barcelona;Local;5;10;0;0;1;14/09/2019;2019/2020
Valencia;Visitante;0;0;2;2;1;14/09/2019;2019/2020
Eibar;Local;1;1;0;0;2;15/09/2019;2019/2020
Espanyol;Visitante;0;0;2;2;2;15/09/2019;2019/2020
Alavés;Local;0;1;0;0;2;15/09/2019;2019/2020
Sevilla;Visitante;0;0;1;4;2;15/09/2019;2019/2020
Celta;Local;0;2;0;0;2;15/09/2019;2019/2020
Granada;Visitante;0;0;2;9;2;15/09/2019;2019/2020
Real Valladolid;Local;1;1;0;0;x;15/09/2019;2019/2020
Osasuna;Visitante;0;0;1;2;x;15/09/2019;2019/2020
Betis;Local;1;4;0;0;x;15/09/2019;2019/2020
Getafe;Visitante;0;0;1;1;x;15/09/2019;2019/2020
Osasuna;Local;0;2;0;0;x;20/09/2019;2019/2020
Betis;Visitante;0;0;0;2;x;20/09/2019;2019/2020
Villarreal;Local;2;8;0;0;1;21/09/2019;2019/2020
Real Valladolid;Visitante;0;0;0;3;1;21/09/2019;2019/2020
Levante;Local;0;4;0;0;x;21/09/2019;2019/2020
Eibar;Visitante;0;0;0;3;x;21/09/2019;2019/2020
Atlético;Local;0;4;0;0;x;21/09/2019;2019/2020
Celta;Visitante;0;0;0;1;x;21/09/2019;2019/2020
Granada;Local;2;2;0;0;1;21/09/2019;2019/2020
Barcelona;Visitante;0;0;0;2;1;21/09/2019;2019/2020
Getafe;Local;4;6;0;0;1;22/09/2019;2019/2020
Mallorca;Visitante;0;0;2;2;1;22/09/2019;2019/2020
Espanyol;Local;1;1;0;0;2;22/09/2019;2019/2020
R. Sociedad;Visitante;0;0;3;5;2;22/09/2019;2019/2020
Valencia;Local;1;4;0;0;x;22/09/2019;2019/2020
Leganés;Visitante;0;0;1;2;x;22/09/2019;2019/2020
Athletic;Local;2;5;0;0;1;22/09/2019;2019/2020
Alavés;Visitante;0;0;0;1;1;22/09/2019;2019/2020
Sevilla;Local;0;1;0;0;2;22/09/2019;2019/2020
Real Madrid;Visitante;0;0;1;6;2;22/09/2019;2019/2020
Real Valladolid;Local;1;2;0;0;x;24/09/2019;2019/2020
Granada;Visitante;0;0;1;10;x;24/09/2019;2019/2020
Betis;Local;3;7;0;0;1;24/09/2019;2019/2020
Levante;Visitante;0;0;1;3;1;24/09/2019;2019/2020
Barcelona;Local;2;12;0;0;1;24/09/2019;2019/2020
Villarreal;Visitante;0;0;1;5;1;24/09/2019;2019/2020
Mallorca;Local;0;2;0;0;2;25/09/2019;2019/2020
Atlético;Visitante;0;0;2;3;2;25/09/2019;2019/2020
Leganés;Local;1;1;0;0;x;25/09/2019;2019/2020
Athletic;Visitante;0;0;1;2;x;25/09/2019;2019/2020
Valencia;Local;3;7;0;0;x;25/09/2019;2019/2020
Getafe;Visitante;0;0;3;4;x;25/09/2019;2019/2020
Real Madrid;Local;2;6;0;0;1;25/09/2019;2019/2020
Osasuna;Visitante;0;0;0;2;1;25/09/2019;2019/2020
Eibar;Local;3;4;0;0;1;26/09/2019;2019/2020
Sevilla;Visitante;0;0;2;6;1;26/09/2019;2019/2020
Celta;Local;1;3;0;0;x;26/09/2019;2019/2020
Espanyol;Visitante;0;0;1;3;x;26/09/2019;2019/2020
R. Sociedad;Local;3;5;0;0;1;26/09/2019;2019/2020
Alavés;Visitante;0;0;0;1;1;26/09/2019;2019/2020
Villarreal;Local;5;13;0;0;1;27/09/2019;2019/2020
Betis;Visitante;0;0;1;3;1;27/09/2019;2019/2020
Athletic;Local;0;5;0;0;2;28/09/2019;2019/2020
Valencia;Visitante;0;0;1;3;2;28/09/2019;2019/2020
Getafe;Local;0;6;0;0;2;28/09/2019;2019/2020
Barcelona;Visitante;0;0;2;4;2;28/09/2019;2019/2020
Granada;Local;1;3;0;0;1;28/09/2019;2019/2020
Leganés;Visitante;0;0;0;2;1;28/09/2019;2019/2020
Atlético;Local;0;4;0;0;x;28/09/2019;2019/2020
Real Madrid;Visitante;0;0;0;6;x;28/09/2019;2019/2020
Espanyol;Local;0;1;0;0;2;29/09/2019;2019/2020
Real Valladolid;Visitante;0;0;2;5;2;29/09/2019;2019/2020
Eibar;Local;2;6;0;0;1;29/09/2019;2019/2020
Celta;Visitante;0;0;0;1;1;29/09/2019;2019/2020
Alavés;Local;2;3;0;0;1;29/09/2019;2019/2020
Mallorca;Visitante;0;0;0;2;1;29/09/2019;2019/2020
Levante;Local;1;5;0;0;x;29/09/2019;2019/2020
Osasuna;Visitante;0;0;1;3;x;29/09/2019;2019/2020
Sevilla;Local;3;4;0;0;1;29/09/2019;2019/2020
R. Sociedad;Visitante;0;0;2;7;1;29/09/2019;2019/2020
Betis;Local;1;8;0;0;x;04/10/2019;2019/2020
Eibar;Visitante;0;0;1;4;x;04/10/2019;2019/2020
Leganés;Local;1;2;0;0;2;05/10/2019;2019/2020
Levante;Visitante;0;0;2;5;2;05/10/2019;2019/2020
Real Madrid;Local;4;10;0;0;1;05/10/2019;2019/2020
Granada;Visitante;0;0;2;12;1;05/10/2019;2019/2020
Valencia;Local;2;9;0;0;1;05/10/2019;2019/2020
Alavés;Visitante;0;0;1;2;1;05/10/2019;2019/2020
Osasuna;Local;2;4;0;0;1;05/10/2019;2019/2020
Villarreal;Visitante;0;0;1;6;1;05/10/2019;2019/2020
Mallorca;Local;2;4;0;0;1;06/10/2019;2019/2020
Espanyol;Visitante;0;0;0;3;1;06/10/2019;2019/2020
Celta;Local;1;4;0;0;1;06/10/2019;2019/2020
Athletic;Visitante;0;0;0;2;1;06/10/2019;2019/2020
Real Valladolid;Local;0;2;0;0;x;06/10/2019;2019/2020
Atlético;Visitante;0;0;0;3;x;06/10/2019;2019/2020
R. Sociedad;Local;1;6;0;0;2;06/10/2019;2019/2020
Getafe;Visitante;0;0;2;6;2;06/10/2019;2019/2020
Barcelona;Local;4;16;0;0;1;06/10/2019;2019/2020
Sevilla;Visitante;0;0;0;6;1;06/10/2019;2019/2020
Granada;Local;1;4;0;0;1;18/10/2019;2019/2020
Osasuna;Visitante;0;0;0;3;1;18/10/2019;2019/2020
Eibar;Local;0;6;0;0;2;19/10/2019;2019/2020
Barcelona;Visitante;0;0;3;7;2;19/10/2019;2019/2020
Atlético;Local;1;5;0;0;x;19/10/2019;2019/2020
Valencia;Visitante;0;0;1;4;x;19/10/2019;2019/2020
Getafe;Local;2;8;0;0;1;19/10/2019;2019/2020
Leganés;Visitante;0;0;0;2;1;19/10/2019;2019/2020
Mallorca;Local;1;5;0;0;1;19/10/2019;2019/2020
Real Madrid;Visitante;0;0;0;6;1;19/10/2019;2019/2020
Alavés;Local;2;5;0;0;1;20/10/2019;2019/2020
Celta;Visitante;0;0;0;1;1;20/10/2019;2019/2020
R. Sociedad;Local;3;9;0;0;1;20/10/2019;2019/2020
Betis;Visitante;0;0;1;4;1;20/10/2019;2019/2020
Espanyol;Local;0;1;0;0;2;20/10/2019;2019/2020
Villarreal;Visitante;0;0;1;7;2;20/10/2019;2019/2020
Athletic;Local;1;6;0;0;x;20/10/2019;2019/2020
Real Valladolid;Visitante;0;0;1;6;x;20/10/2019;2019/2020
Sevilla;Local;1;5;0;0;1;20/10/2019;2019/2020
Levante;Visitante;0;0;0;5;1;20/10/2019;2019/2020
Villarreal;Local;4;17;0;0;1;25/10/2019;2019/2020
Alavés;Visitante;0;0;1;3;1;25/10/2019;2019/2020
Leganés;Local;1;3;0;0;1;26/10/2019;2019/2020
Mallorca;Visitante;0;0;0;2;1;26/10/2019;2019/2020
Real Valladolid;Local;2;4;0;0;1;26/10/2019;2019/2020
Eibar;Visitante;0;0;0;4;1;26/10/2019;2019/2020
Atlético;Local;2;7;0;0;1;26/10/2019;2019/2020
Athletic;Visitante;0;0;0;2;1;26/10/2019;2019/2020
Celta;Local;0;4;0;0;2;27/10/2019;2019/2020
R. Sociedad;Visitante;0;0;1;8;2;27/10/2019;2019/2020
Granada;Local;1;5;0;0;1;27/10/2019;2019/2020
Betis;Visitante;0;0;0;4;1;27/10/2019;2019/2020
Levante;Local;0;5;0;0;2;27/10/2019;2019/2020
Espanyol;Visitante;0;0;1;4;2;27/10/2019;2019/2020
Sevilla;Local;2;7;0;0;1;27/10/2019;2019/2020
Getafe;Visitante;0;0;0;6;1;27/10/2019;2019/2020
Osasuna;Local;3;7;0;0;1;27/10/2019;2019/2020
Valencia;Visitante;0;0;1;5;1;27/10/2019;2019/2020
Barcelona;Local;0;16;0;0;x;18/12/2019;2019/2020
Real Madrid;Visitante;0;0;0;6;x;18/12/2019;2019/2020
Alavés;Local;1;6;0;0;x;29/10/2019;2019/2020
Atlético;Visitante;0;0;1;4;x;29/10/2019;2019/2020
Barcelona;Local;5;21;0;0;1;29/10/2019;2019/2020
Real Valladolid;Visitante;0;0;1;7;1;29/10/2019;2019/2020
R. Sociedad;Local;1;10;0;0;2;30/10/2019;2019/2020
Levante;Visitante;0;0;2;7;2;30/10/2019;2019/2020
Valencia;Local;1;10;0;0;x;30/10/2019;2019/2020
Sevilla;Visitante;0;0;1;7;x;30/10/2019;2019/2020
Athletic;Local;3;9;0;0;1;30/10/2019;2019/2020
Espanyol;Visitante;0;0;0;4;1;30/10/2019;2019/2020
Betis;Local;2;10;0;0;1;30/10/2019;2019/2020
Celta;Visitante;0;0;1;2;1;30/10/2019;2019/2020
Real Madrid;Local;5;15;0;0;1;30/10/2019;2019/2020
Leganés;Visitante;0;0;0;2;1;30/10/2019;2019/2020
Mallorca;Local;2;7;0;0;x;31/10/2019;2019/2020
Osasuna;Visitante;0;0;2;5;x;31/10/2019;2019/2020
Eibar;Local;2;8;0;0;1;31/10/2019;2019/2020
Villarreal;Visitante;0;0;1;8;1;31/10/2019;2019/2020
Getafe;Local;3;11;0;0;1;31/10/2019;2019/2020
Granada;Visitante;0;0;1;13;1;31/10/2019;2019/2020
Espanyol;Local;1;2;0;0;2;02/11/2019;2019/2020
Valencia;Visitante;0;0;2;7;2;02/11/2019;2019/2020
Levante;Local;3;8;0;0;1;02/11/2019;2019/2020
Barcelona;Visitante;0;0;1;8;1;02/11/2019;2019/2020
Sevilla;Local;1;8;0;0;x;02/11/2019;2019/2020
Atlético;Visitante;0;0;1;5;x;02/11/2019;2019/2020
Real Madrid;Local;0;15;0;0;x;02/11/2019;2019/2020
Betis;Visitante;0;0;0;4;x;02/11/2019;2019/2020
Real Valladolid;Local;3;7;0;0;1;03/11/2019;2019/2020
Mallorca;Visitante;0;0;0;2;1;03/11/2019;2019/2020
Villarreal;Local;0;17;0;0;x;03/11/2019;2019/2020
Athletic;Visitante;0;0;0;2;x;03/11/2019;2019/2020
Osasuna;Local;4;11;0;0;1;03/11/2019;2019/2020
Alavés;Visitante;0;0;2;5;1;03/11/2019;2019/2020
Leganés;Local;1;4;0;0;2;03/11/2019;2019/2020
Eibar;Visitante;0;0;2;6;2;03/11/2019;2019/2020
Celta;Local;0;4;0;0;2;03/11/2019;2019/2020
Getafe;Visitante;0;0;1;7;2;03/11/2019;2019/2020
Granada;Local;1;6;0;0;2;03/11/2019;2019/2020
R. Sociedad;Visitante;0;0;2;10;2;03/11/2019;2019/2020
R. Sociedad;Local;1;11;0;0;x;08/11/2019;2019/2020
Leganés;Visitante;0;0;1;3;x;08/11/2019;2019/2020
Alavés;Local;3;9;0;0;1;09/11/2019;2019/2020
Real Valladolid;Visitante;0;0;0;7;1;09/11/2019;2019/2020
