EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Getafe;Espanyol;2015/2016;17/01/2016;3;1;3;0;2;1
Las Palmas;Atlético;2015/2016;17/01/2016;0;3;0;3;3;2
Real Madrid;Sporting Gijón;2015/2016;17/01/2016;5;1;3;0;4;1
Valencia;Rayo;2015/2016;17/01/2016;2;2;1;1;0;x
Eibar;Granada;2015/2016;18/01/2016;5;1;3;0;4;1
Sporting Gijón;R. Sociedad;2015/2016;22/01/2016;5;1;3;0;4;1
Espanyol;Villarreal;2015/2016;23/01/2016;2;2;1;1;0;x
Granada;Getafe;2015/2016;23/01/2016;3;2;3;0;1;1
Málaga;Barcelona;2015/2016;23/01/2016;1;2;0;3;1;2
Rayo;Celta;2015/2016;23/01/2016;3;0;3;0;3;1
Athletic;Eibar;2015/2016;24/01/2016;5;2;3;0;3;1
Atlético;Sevilla;2015/2016;24/01/2016;0;0;1;1;0;x
Betis;Real Madrid;2015/2016;24/01/2016;1;1;1;1;0;x
Deportivo;Valencia;2015/2016;24/01/2016;1;1;1;1;0;x
Levante;Las Palmas;2015/2016;25/01/2016;3;2;3;0;1;1
Barcelona;Atlético;2015/2016;30/01/2016;2;1;3;0;1;1
Eibar;Málaga;2015/2016;30/01/2016;1;2;0;3;1;2
Getafe;Athletic;2015/2016;30/01/2016;0;1;0;3;1;2
R. Sociedad;Betis;2015/2016;30/01/2016;2;1;3;0;1;1
Villarreal;Granada;2015/2016;30/01/2016;1;0;3;0;1;1
Las Palmas;Celta;2015/2016;31/01/2016;2;1;3;0;1;1
Real Madrid;Espanyol;2015/2016;31/01/2016;6;0;3;0;6;1
Sevilla;Levante;2015/2016;31/01/2016;3;1;3;0;2;1
Valencia;Sporting Gijón;2015/2016;31/01/2016;0;1;0;3;1;2
Deportivo;Rayo;2015/2016;01/02/2016;2;2;1;1;0;x
Málaga;Getafe;2015/2016;05/02/2016;3;0;3;0;3;1
Athletic;Villarreal;2015/2016;06/02/2016;0;0;1;1;0;x
Atlético;Eibar;2015/2016;06/02/2016;3;1;3;0;2;1
Sporting Gijón;Deportivo;2015/2016;06/02/2016;1;1;1;1;0;x
Rayo;Las Palmas;2015/2016;06/02/2016;2;0;3;0;2;1
Betis;Valencia;2015/2016;07/02/2016;1;0;3;0;1;1
Celta;Sevilla;2015/2016;07/02/2016;1;1;1;1;0;x
Granada;Real Madrid;2015/2016;07/02/2016;1;2;0;3;1;2
Levante;Barcelona;2015/2016;07/02/2016;0;2;0;3;2;2
Espanyol;R. Sociedad;2015/2016;08/02/2016;0;5;0;3;5;2
Sporting Gijón;Rayo;2015/2016;12/02/2016;2;2;1;1;0;x
Deportivo;Betis;2015/2016;13/02/2016;2;2;1;1;0;x
Real Madrid;Athletic;2015/2016;13/02/2016;4;2;3;0;2;1
Valencia;Espanyol;2015/2016;13/02/2016;2;1;3;0;1;1
Villarreal;Málaga;2015/2016;13/02/2016;1;0;3;0;1;1
Barcelona;Celta;2015/2016;14/02/2016;6;1;3;0;5;1
Eibar;Levante;2015/2016;14/02/2016;2;0;3;0;2;1
Getafe;Atlético;2015/2016;14/02/2016;0;1;0;3;1;2
Sevilla;Las Palmas;2015/2016;14/02/2016;2;0;3;0;2;1
R. Sociedad;Granada;2015/2016;14/02/2016;3;0;3;0;3;1
Sporting Gijón;Barcelona;2015/2016;17/02/2016;1;3;0;3;2;2
Levante;Getafe;2015/2016;19/02/2016;3;0;3;0;3;1
Betis;Sporting Gijón;2015/2016;20/02/2016;1;1;1;1;0;x
Celta;Eibar;2015/2016;20/02/2016;3;2;3;0;1;1
