EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Celta;R. Sociedad;2016/2017;21/05/2017;2;2;1;1;0;x
Málaga;Real Madrid;2016/2017;21/05/2017;0;2;0;3;2;2
Valencia;Villarreal;2016/2017;21/05/2017;1;3;0;3;2;2
Leganés;Alavés;2017/2018;18/08/2017;1;0;3;0;1;1
Valencia;Las Palmas;2017/2018;18/08/2017;1;0;3;0;1;1
Celta;R. Sociedad;2017/2018;19/08/2017;2;3;0;3;1;2
Girona;Atlético;2017/2018;19/08/2017;2;2;1;1;0;x
Sevilla;Espanyol;2017/2018;19/08/2017;1;1;1;1;0;x
Athletic;Getafe;2017/2018;20/08/2017;0;0;1;1;0;x
Barcelona;Betis;2017/2018;20/08/2017;2;0;3;0;2;1
Deportivo;Real Madrid;2017/2018;20/08/2017;0;3;0;3;3;2
Levante;Villarreal;2017/2018;21/08/2017;1;0;3;0;1;1
Málaga;Eibar;2017/2018;21/08/2017;0;1;0;3;1;2
Betis;Celta;2017/2018;25/08/2017;2;1;3;0;1;1
R. Sociedad;Villarreal;2017/2018;25/08/2017;3;0;3;0;3;1
Alavés;Barcelona;2017/2018;26/08/2017;0;2;0;3;2;2
Girona;Málaga;2017/2018;26/08/2017;1;0;3;0;1;1
Las Palmas;Atlético;2017/2018;26/08/2017;1;5;0;3;4;2
Levante;Deportivo;2017/2018;26/08/2017;2;2;1;1;0;x
Eibar;Athletic;2017/2018;27/08/2017;0;1;0;3;1;2
Espanyol;Leganés;2017/2018;27/08/2017;0;1;0;3;1;2
Getafe;Sevilla;2017/2018;27/08/2017;0;1;0;3;1;2
Real Madrid;Valencia;2017/2018;27/08/2017;2;2;1;1;0;x
Leganés;Getafe;2017/2018;08/09/2017;1;2;0;3;1;2
Barcelona;Espanyol;2017/2018;09/09/2017;5;0;3;0;5;1
Real Madrid;Levante;2017/2018;09/09/2017;1;1;1;1;0;x
Sevilla;Eibar;2017/2018;09/09/2017;3;0;3;0;3;1
Valencia;Atlético;2017/2018;09/09/2017;0;0;1;1;0;x
Athletic;Girona;2017/2018;10/09/2017;2;0;3;0;2;1
Celta;Alavés;2017/2018;10/09/2017;1;0;3;0;1;1
Deportivo;R. Sociedad;2017/2018;10/09/2017;2;4;0;3;2;2
Villarreal;Betis;2017/2018;10/09/2017;3;1;3;0;2;1
Málaga;Las Palmas;2017/2018;11/09/2017;1;3;0;3;2;2
Eibar;Leganés;2017/2018;15/09/2017;1;0;3;0;1;1
Atlético;Málaga;2017/2018;16/09/2017;1;0;3;0;1;1
Betis;Deportivo;2017/2018;16/09/2017;2;1;3;0;1;1
Getafe;Barcelona;2017/2018;16/09/2017;1;2;0;3;1;2
Levante;Valencia;2017/2018;16/09/2017;1;1;1;1;0;x
Alavés;Villarreal;2017/2018;17/09/2017;0;3;0;3;3;2
Girona;Sevilla;2017/2018;17/09/2017;0;1;0;3;1;2
Las Palmas;Athletic;2017/2018;17/09/2017;1;0;3;0;1;1
R. Sociedad;Real Madrid;2017/2018;17/09/2017;1;3;0;3;2;2
Espanyol;Celta;2017/2018;18/09/2017;2;1;3;0;1;1
Barcelona;Eibar;2017/2018;19/09/2017;6;1;3;0;5;1
Valencia;Málaga;2017/2018;19/09/2017;5;0;3;0;5;1
Athletic;Atlético;2017/2018;20/09/2017;1;2;0;3;1;2
Deportivo;Alavés;2017/2018;20/09/2017;1;0;3;0;1;1
Leganés;Girona;2017/2018;20/09/2017;0;0;1;1;0;x
Real Madrid;Betis;2017/2018;20/09/2017;0;1;0;3;1;2
Sevilla;Las Palmas;2017/2018;20/09/2017;1;0;3;0;1;1
Celta;Getafe;2017/2018;21/09/2017;1;1;1;1;0;x
Levante;R. Sociedad;2017/2018;21/09/2017;3;0;3;0;3;1
Villarreal;Espanyol;2017/2018;21/09/2017;0;0;1;1;0;x
Alavés;Real Madrid;2017/2018;23/09/2017;1;2;0;3;1;2
Atlético;Sevilla;2017/2018;23/09/2017;2;0;3;0;2;1
Girona;Barcelona;2017/2018;23/09/2017;0;3;0;3;3;2
Málaga;Athletic;2017/2018;23/09/2017;3;3;1;1;0;x
Eibar;Celta;2017/2018;24/09/2017;0;4;0;3;4;2
Espanyol;Deportivo;2017/2018;24/09/2017;4;1;3;0;3;1
Getafe;Villarreal;2017/2018;24/09/2017;4;0;3;0;4;1
Las Palmas;Leganés;2017/2018;24/09/2017;0;2;0;3;2;2
R. Sociedad;Valencia;2017/2018;24/09/2017;2;3;0;3;1;2
Betis;Levante;2017/2018;25/09/2017;4;0;3;0;4;1
Celta;Girona;2017/2018;29/09/2017;3;3;1;1;0;x
Deportivo;Getafe;2017/2018;30/09/2017;2;1;3;0;1;1
Leganés;Atlético;2017/2018;30/09/2017;0;0;1;1;0;x
Levante;Alavés;2017/2018;30/09/2017;0;2;0;3;2;2
Sevilla;Málaga;2017/2018;30/09/2017;2;0;3;0;2;1
Barcelona;Las Palmas;2017/2018;01/10/2017;3;0;3;0;3;1
Real Madrid;Espanyol;2017/2018;01/10/2017;2;0;3;0;2;1
R. Sociedad;Betis;2017/2018;01/10/2017;4;4;1;1;0;x
Valencia;Athletic;2017/2018;01/10/2017;3;2;3;0;1;1
Villarreal;Eibar;2017/2018;01/10/2017;3;0;3;0;3;1
Espanyol;Levante;2017/2018;13/10/2017;0;0;1;1;0;x
Alavés;R. Sociedad;2017/2018;14/10/2017;0;2;0;3;2;2
Athletic;Sevilla;2017/2018;14/10/2017;1;0;3;0;1;1
Atlético;Barcelona;2017/2018;14/10/2017;1;1;1;1;0;x
Getafe;Real Madrid;2017/2018;14/10/2017;1;2;0;3;1;2
Betis;Valencia;2017/2018;15/10/2017;3;6;0;3;3;2
Eibar;Deportivo;2017/2018;15/10/2017;0;0;1;1;0;x
Girona;Villarreal;2017/2018;15/10/2017;1;2;0;3;1;2
Málaga;Leganés;2017/2018;15/10/2017;0;2;0;3;2;2
Las Palmas;Celta;2017/2018;16/10/2017;2;5;0;3;3;2
Barcelona;Málaga;2017/2018;21/10/2017;2;0;3;0;2;1
Betis;Alavés;2017/2018;21/10/2017;2;0;3;0;2;1
Levante;Getafe;2017/2018;21/10/2017;1;1;1;1;0;x
Valencia;Sevilla;2017/2018;21/10/2017;4;0;3;0;4;1
Celta;Atlético;2017/2018;22/10/2017;0;1;0;3;1;2
Leganés;Athletic;2017/2018;22/10/2017;1;0;3;0;1;1
Real Madrid;Eibar;2017/2018;22/10/2017;3;0;3;0;3;1
Villarreal;Las Palmas;2017/2018;22/10/2017;4;0;3;0;4;1
Deportivo;Girona;2017/2018;23/10/2017;1;2;0;3;1;2
R. Sociedad;Espanyol;2017/2018;23/10/2017;1;1;1;1;0;x
Alavés;Valencia;2017/2018;28/10/2017;1;2;0;3;1;2
Athletic;Barcelona;2017/2018;28/10/2017;0;2;0;3;2;2
Atlético;Villarreal;2017/2018;28/10/2017;1;1;1;1;0;x
Sevilla;Leganés;2017/2018;28/10/2017;2;1;3;0;1;1
Eibar;Levante;2017/2018;29/10/2017;2;2;1;1;0;x
Getafe;R. Sociedad;2017/2018;29/10/2017;2;1;3;0;1;1
Girona;Real Madrid;2017/2018;29/10/2017;2;1;3;0;1;1
Málaga;Celta;2017/2018;29/10/2017;2;1;3;0;1;1
Espanyol;Betis;2017/2018;30/10/2017;1;0;3;0;1;1
Las Palmas;Deportivo;2017/2018;30/10/2017;1;3;0;3;2;2
Betis;Getafe;2017/2018;03/11/2017;2;2;1;1;0;x
Alavés;Espanyol;2017/2018;04/11/2017;1;0;3;0;1;1
Barcelona;Sevilla;2017/2018;04/11/2017;2;1;3;0;1;1
Deportivo;Atlético;2017/2018;04/11/2017;0;1;0;3;1;2
Valencia;Leganés;2017/2018;04/11/2017;3;0;3;0;3;1
Celta;Athletic;2017/2018;05/11/2017;3;1;3;0;2;1
Levante;Girona;2017/2018;05/11/2017;1;2;0;3;1;2
Real Madrid;Las Palmas;2017/2018;05/11/2017;3;0;3;0;3;1
R. Sociedad;Eibar;2017/2018;05/11/2017;3;1;3;0;2;1
Villarreal;Málaga;2017/2018;05/11/2017;2;0;3;0;2;1
Girona;R. Sociedad;2017/2018;17/11/2017;1;1;1;1;0;x
Atlético;Real Madrid;2017/2018;18/11/2017;0;0;1;1;0;x
Getafe;Alavés;2017/2018;18/11/2017;4;1;3;0;3;1
Leganés;Barcelona;2017/2018;18/11/2017;0;3;0;3;3;2
Sevilla;Celta;2017/2018;18/11/2017;2;1;3;0;1;1
Athletic;Villarreal;2017/2018;19/11/2017;1;1;1;1;0;x
Espanyol;Valencia;2017/2018;19/11/2017;0;2;0;3;2;2
Las Palmas;Levante;2017/2018;19/11/2017;0;2;0;3;2;2
Málaga;Deportivo;2017/2018;19/11/2017;3;2;3;0;1;1
Eibar;Betis;2017/2018;20/11/2017;5;0;3;0;5;1
Celta;Leganés;2017/2018;24/11/2017;1;0;3;0;1;1
Alavés;Eibar;2017/2018;25/11/2017;1;2;0;3;1;2
Betis;Girona;2017/2018;25/11/2017;2;2;1;1;0;x
Levante;Atlético;2017/2018;25/11/2017;0;5;0;3;5;2
Real Madrid;Málaga;2017/2018;25/11/2017;3;2;3;0;1;1
Deportivo;Athletic;2017/2018;26/11/2017;2;2;1;1;0;x
R. Sociedad;Las Palmas;2017/2018;26/11/2017;2;2;1;1;0;x
Valencia;Barcelona;2017/2018;26/11/2017;1;1;1;1;0;x
Villarreal;Sevilla;2017/2018;26/11/2017;2;3;0;3;1;2
Espanyol;Getafe;2017/2018;27/11/2017;1;0;3;0;1;1
Málaga;Levante;2017/2018;01/12/2017;0;0;1;1;0;x
Athletic;Real Madrid;2017/2018;02/12/2017;0;0;1;1;0;x
Atlético;R. Sociedad;2017/2018;02/12/2017;2;1;3;0;1;1
Barcelona;Celta;2017/2018;02/12/2017;2;2;1;1;0;x
Sevilla;Deportivo;2017/2018;02/12/2017;2;0;3;0;2;1
Eibar;Espanyol;2017/2018;03/12/2017;3;1;3;0;2;1
Getafe;Valencia;2017/2018;03/12/2017;1;0;3;0;1;1
Las Palmas;Betis;2017/2018;03/12/2017;1;0;3;0;1;1
Leganés;Villarreal;2017/2018;03/12/2017;3;1;3;0;2;1
Girona;Alavés;2017/2018;04/12/2017;2;3;0;3;1;2
Alavés;Las Palmas;2017/2018;08/12/2017;2;0;3;0;2;1
Getafe;Eibar;2017/2018;09/12/2017;0;0;1;1;0;x
Deportivo;Leganés;2017/2018;09/12/2017;1;0;3;0;1;1
Real Madrid;Sevilla;2017/2018;09/12/2017;5;0;3;0;5;1
Valencia;Celta;2017/2018;09/12/2017;2;1;3;0;1;1
Betis;Atlético;2017/2018;10/12/2017;0;1;0;3;1;2
Levante;Athletic;2017/2018;10/12/2017;1;2;0;3;1;2
R. Sociedad;Málaga;2017/2018;10/12/2017;0;2;0;3;2;2
Villarreal;Barcelona;2017/2018;10/12/2017;0;2;0;3;2;2
Espanyol;Girona;2017/2018;11/12/2017;0;1;0;3;1;2
Sevilla;Levante;2017/2018;15/12/2017;0;0;1;1;0;x
Athletic;R. Sociedad;2017/2018;16/12/2017;0;0;1;1;0;x
Atlético;Alavés;2017/2018;16/12/2017;1;0;3;0;1;1
Eibar;Valencia;2017/2018;16/12/2017;2;1;3;0;1;1
Barcelona;Deportivo;2017/2018;17/12/2017;4;0;3;0;4;1
Celta;Villarreal;2017/2018;17/12/2017;0;1;0;3;1;2
Girona;Getafe;2017/2018;17/12/2017;1;0;3;0;1;1
Las Palmas;Espanyol;2017/2018;17/12/2017;2;2;1;1;0;x
Málaga;Betis;2017/2018;18/12/2017;0;2;0;3;2;2
Levante;Leganés;2017/2018;19/12/2017;0;0;1;1;0;x
Getafe;Las Palmas;2017/2018;20/12/2017;2;0;3;0;2;1
R. Sociedad;Sevilla;2017/2018;20/12/2017;3;1;3;0;2;1
Alavés;Málaga;2017/2018;21/12/2017;1;0;3;0;1;1
Eibar;Girona;2017/2018;21/12/2017;4;1;3;0;3;1
Betis;Athletic;2017/2018;22/12/2017;0;2;0;3;2;2
Espanyol;Atlético;2017/2018;22/12/2017;1;0;3;0;1;1
Deportivo;Celta;2017/2018;23/12/2017;1;3;0;3;2;2
Real Madrid;Barcelona;2017/2018;23/12/2017;0;3;0;3;3;2
Valencia;Villarreal;2017/2018;23/12/2017;0;1;0;3;1;2
Atlético;Getafe;2017/2018;06/01/2018;2;0;3;0;2;1
Las Palmas;Eibar;2017/2018;06/01/2018;1;2;0;3;1;2
Sevilla;Betis;2017/2018;06/01/2018;3;5;0;3;2;2
Valencia;Girona;2017/2018;06/01/2018;2;1;3;0;1;1
Athletic;Alavés;2017/2018;07/01/2018;2;0;3;0;2;1
Barcelona;Levante;2017/2018;07/01/2018;3;0;3;0;3;1
Celta;Real Madrid;2017/2018;07/01/2018;2;2;1;1;0;x
Leganés;R. Sociedad;2017/2018;07/01/2018;1;0;3;0;1;1
Villarreal;Deportivo;2017/2018;07/01/2018;1;1;1;1;0;x
Málaga;Espanyol;2017/2018;08/01/2018;0;1;0;3;1;2
Getafe;Málaga;2017/2018;12/01/2018;1;0;3;0;1;1
Eibar;Atlético;2017/2018;13/01/2018;0;1;0;3;1;2
Girona;Las Palmas;2017/2018;13/01/2018;6;0;3;0;6;1
Deportivo;Valencia;2017/2018;13/01/2018;1;2;0;3;1;2
Real Madrid;Villarreal;2017/2018;13/01/2018;0;1;0;3;1;2
Alavés;Sevilla;2017/2018;14/01/2018;1;0;3;0;1;1
Espanyol;Athletic;2017/2018;14/01/2018;1;1;1;1;0;x
Levante;Celta;2017/2018;14/01/2018;0;1;0;3;1;2
R. Sociedad;Barcelona;2017/2018;14/01/2018;2;4;0;3;2;2
Betis;Leganés;2017/2018;15/01/2018;3;2;3;0;1;1
Getafe;Athletic;2017/2018;19/01/2018;2;2;1;1;0;x
Atlético;Girona;2017/2018;20/01/2018;1;1;1;1;0;x
Espanyol;Sevilla;2017/2018;20/01/2018;0;3;0;3;3;2
Las Palmas;Valencia;2017/2018;20/01/2018;2;1;3;0;1;1
Villarreal;Levante;2017/2018;20/01/2018;2;1;3;0;1;1
Alavés;Leganés;2017/2018;21/01/2018;2;2;1;1;0;x
Betis;Barcelona;2017/2018;21/01/2018;0;5;0;3;5;2
Real Madrid;Deportivo;2017/2018;21/01/2018;7;1;3;0;6;1
R. Sociedad;Celta;2017/2018;21/01/2018;1;2;0;3;1;2
Eibar;Málaga;2017/2018;22/01/2018;1;1;1;1;0;x
Athletic;Eibar;2017/2018;26/01/2018;1;1;1;1;0;x
Deportivo;Levante;2017/2018;27/01/2018;2;2;1;1;0;x
Málaga;Girona;2017/2018;27/01/2018;0;0;1;1;0;x
Valencia;Real Madrid;2017/2018;27/01/2018;1;4;0;3;3;2
Villarreal;R. Sociedad;2017/2018;27/01/2018;4;2;3;0;2;1
Atlético;Las Palmas;2017/2018;28/01/2018;3;0;3;0;3;1
Barcelona;Alavés;2017/2018;28/01/2018;2;1;3;0;1;1
Leganés;Espanyol;2017/2018;28/01/2018;3;2;3;0;1;1
Sevilla;Getafe;2017/2018;28/01/2018;1;1;1;1;0;x
Celta;Betis;2017/2018;29/01/2018;3;2;3;0;1;1
R. Sociedad;Deportivo;2017/2018;02/02/2018;5;0;3;0;5;1
Alavés;Celta;2017/2018;03/02/2018;2;1;3;0;1;1
Betis;Villarreal;2017/2018;03/02/2018;2;1;3;0;1;1
Eibar;Sevilla;2017/2018;03/02/2018;5;1;3;0;4;1
Levante;Real Madrid;2017/2018;03/02/2018;2;2;1;1;0;x
Atlético;Valencia;2017/2018;04/02/2018;1;0;3;0;1;1
Espanyol;Barcelona;2017/2018;04/02/2018;1;1;1;1;0;x
Getafe;Leganés;2017/2018;04/02/2018;0;0;1;1;0;x
Girona;Athletic;2017/2018;04/02/2018;2;0;3;0;2;1
Las Palmas;Málaga;2017/2018;05/02/2018;1;0;3;0;1;1
Athletic;Las Palmas;2017/2018;09/02/2018;0;0;1;1;0;x
Leganés;Eibar;2017/2018;10/02/2018;0;1;0;3;1;2
Málaga;Atlético;2017/2018;10/02/2018;0;1;0;3;1;2
Real Madrid;R. Sociedad;2017/2018;10/02/2018;5;2;3;0;3;1
Villarreal;Alavés;2017/2018;10/02/2018;1;2;0;3;1;2
Barcelona;Getafe;2017/2018;11/02/2018;0;0;1;1;0;x
Celta;Espanyol;2017/2018;11/02/2018;2;2;1;1;0;x
Sevilla;Girona;2017/2018;11/02/2018;1;0;3;0;1;1
Valencia;Levante;2017/2018;11/02/2018;3;1;3;0;2;1
Deportivo;Betis;2017/2018;12/02/2018;0;1;0;3;1;2
Girona;Leganés;2017/2018;16/02/2018;3;0;3;0;3;1
Alavés;Deportivo;2017/2018;17/02/2018;1;0;3;0;1;1
Eibar;Barcelona;2017/2018;17/02/2018;0;2;0;3;2;2
Las Palmas;Sevilla;2017/2018;17/02/2018;1;2;0;3;1;2
Málaga;Valencia;2017/2018;17/02/2018;1;2;0;3;1;2
Atlético;Athletic;2017/2018;18/02/2018;2;0;3;0;2;1
Betis;Real Madrid;2017/2018;18/02/2018;3;5;0;3;2;2
Espanyol;Villarreal;2017/2018;18/02/2018;1;1;1;1;0;x
R. Sociedad;Levante;2017/2018;18/02/2018;3;0;3;0;3;1
Getafe;Celta;2017/2018;19/02/2018;3;0;3;0;3;1
Leganés;Real Madrid;2017/2018;21/02/2018;1;3;0;3;2;2
Deportivo;Espanyol;2017/2018;23/02/2018;0;0;1;1;0;x
Barcelona;Girona;2017/2018;24/02/2018;6;1;3;0;5;1
Celta;Eibar;2017/2018;24/02/2018;2;0;3;0;2;1
Leganés;Las Palmas;2017/2018;24/02/2018;0;0;1;1;0;x
Real Madrid;Alavés;2017/2018;24/02/2018;4;0;3;0;4;1
Athletic;Málaga;2017/2018;25/02/2018;2;1;3;0;1;1
Sevilla;Atlético;2017/2018;25/02/2018;2;5;0;3;3;2
Valencia;R. Sociedad;2017/2018;25/02/2018;2;1;3;0;1;1
Villarreal;Getafe;2017/2018;25/02/2018;1;0;3;0;1;1
Levante;Betis;2017/2018;26/02/2018;0;2;0;3;2;2
Espanyol;Real Madrid;2017/2018;27/02/2018;1;0;3;0;1;1
Girona;Celta;2017/2018;27/02/2018;1;0;3;0;1;1
Athletic;Valencia;2017/2018;28/02/2018;1;1;1;1;0;x
Atlético;Leganés;2017/2018;28/02/2018;4;0;3;0;4;1
Eibar;Villarreal;2017/2018;28/02/2018;1;0;3;0;1;1
Getafe;Deportivo;2017/2018;28/02/2018;3;0;3;0;3;1
Málaga;Sevilla;2017/2018;28/02/2018;0;1;0;3;1;2
Alavés;Levante;2017/2018;01/03/2018;1;0;3;0;1;1
Betis;R. Sociedad;2017/2018;01/03/2018;0;0;1;1;0;x
Las Palmas;Barcelona;2017/2018;01/03/2018;1;1;1;1;0;x
Deportivo;Eibar;2017/2018;03/03/2018;1;1;1;1;0;x
Leganés;Málaga;2017/2018;03/03/2018;2;0;3;0;2;1
Real Madrid;Getafe;2017/2018;03/03/2018;3;1;3;0;2;1
Sevilla;Athletic;2017/2018;03/03/2018;2;0;3;0;2;1
Villarreal;Girona;2017/2018;03/03/2018;0;2;0;3;2;2
Barcelona;Atlético;2017/2018;04/03/2018;1;0;3;0;1;1
Levante;Espanyol;2017/2018;04/03/2018;1;1;1;1;0;x
R. Sociedad;Alavés;2017/2018;04/03/2018;2;1;3;0;1;1
Valencia;Betis;2017/2018;04/03/2018;2;0;3;0;2;1
Celta;Las Palmas;2017/2018;05/03/2018;2;1;3;0;1;1
Girona;Deportivo;2017/2018;09/03/2018;2;0;3;0;2;1
Eibar;Real Madrid;2017/2018;10/03/2018;1;2;0;3;1;2
Getafe;Levante;2017/2018;10/03/2018;0;1;0;3;1;2
Málaga;Barcelona;2017/2018;10/03/2018;0;2;0;3;2;2
Sevilla;Valencia;2017/2018;10/03/2018;0;2;0;3;2;2
Athletic;Leganés;2017/2018;11/03/2018;2;0;3;0;2;1
Atlético;Celta;2017/2018;11/03/2018;3;0;3;0;3;1
Espanyol;R. Sociedad;2017/2018;11/03/2018;2;1;3;0;1;1
Las Palmas;Villarreal;2017/2018;11/03/2018;0;2;0;3;2;2
Alavés;Betis;2017/2018;12/03/2018;1;3;0;3;2;2
Levante;Eibar;2017/2018;16/03/2018;2;1;3;0;1;1
Betis;Espanyol;2017/2018;17/03/2018;3;0;3;0;3;1
Deportivo;Las Palmas;2017/2018;17/03/2018;1;1;1;1;0;x
R. Sociedad;Getafe;2017/2018;17/03/2018;1;2;0;3;1;2
Valencia;Alavés;2017/2018;17/03/2018;3;1;3;0;2;1
Barcelona;Athletic;2017/2018;18/03/2018;2;0;3;0;2;1
Celta;Málaga;2017/2018;18/03/2018;0;0;1;1;0;x
Leganés;Sevilla;2017/2018;18/03/2018;2;1;3;0;1;1
Real Madrid;Girona;2017/2018;18/03/2018;6;3;3;0;3;1
Villarreal;Atlético;2017/2018;18/03/2018;2;1;3;0;1;1
Athletic;Celta;2017/2018;31/03/2018;1;1;1;1;0;x
Girona;Levante;2017/2018;31/03/2018;1;1;1;1;0;x
Las Palmas;Real Madrid;2017/2018;31/03/2018;0;3;0;3;3;2
Sevilla;Barcelona;2017/2018;31/03/2018;2;2;1;1;0;x
Atlético;Deportivo;2017/2018;01/04/2018;1;0;3;0;1;1
Eibar;R. Sociedad;2017/2018;01/04/2018;0;0;1;1;0;x
Espanyol;Alavés;2017/2018;01/04/2018;0;0;1;1;0;x
Leganés;Valencia;2017/2018;01/04/2018;0;1;0;3;1;2
Málaga;Villarreal;2017/2018;01/04/2018;1;0;3;0;1;1
Getafe;Betis;2017/2018;02/04/2018;0;1;0;3;1;2
Deportivo;Málaga;2017/2018;06/04/2018;3;2;3;0;1;1
Alavés;Getafe;2017/2018;07/04/2018;2;0;3;0;2;1
Barcelona;Leganés;2017/2018;07/04/2018;3;1;3;0;2;1
Betis;Eibar;2017/2018;07/04/2018;2;0;3;0;2;1
Celta;Sevilla;2017/2018;07/04/2018;4;0;3;0;4;1
Levante;Las Palmas;2017/2018;08/04/2018;2;1;3;0;1;1
Real Madrid;Atlético;2017/2018;08/04/2018;1;1;1;1;0;x
R. Sociedad;Girona;2017/2018;08/04/2018;5;0;3;0;5;1
Valencia;Espanyol;2017/2018;08/04/2018;1;0;3;0;1;1
Villarreal;Athletic;2017/2018;09/04/2018;1;3;0;3;2;2
Girona;Betis;2017/2018;13/04/2018;0;1;0;3;1;2
Athletic;Deportivo;2017/2018;14/04/2018;2;3;0;3;1;2
Barcelona;Valencia;2017/2018;14/04/2018;2;1;3;0;1;1
Las Palmas;R. Sociedad;2017/2018;14/04/2018;0;1;0;3;1;2
Leganés;Celta;2017/2018;14/04/2018;1;0;3;0;1;1
Sevilla;Villarreal;2017/2018;14/04/2018;2;2;1;1;0;x
Atlético;Levante;2017/2018;15/04/2018;3;0;3;0;3;1
Eibar;Alavés;2017/2018;15/04/2018;0;1;0;3;1;2
Getafe;Espanyol;2017/2018;15/04/2018;1;0;3;0;1;1
Málaga;Real Madrid;2017/2018;15/04/2018;1;2;0;3;1;2
Celta;Barcelona;2017/2018;17/04/2018;2;2;1;1;0;x
Deportivo;Sevilla;2017/2018;17/04/2018;0;0;1;1;0;x
Villarreal;Leganés;2017/2018;17/04/2018;2;1;3;0;1;1
Espanyol;Eibar;2017/2018;18/04/2018;0;1;0;3;1;2
Real Madrid;Athletic;2017/2018;18/04/2018;1;1;1;1;0;x
Valencia;Getafe;2017/2018;18/04/2018;1;2;0;3;1;2
Alavés;Girona;2017/2018;19/04/2018;1;2;0;3;1;2
Betis;Las Palmas;2017/2018;19/04/2018;1;0;3;0;1;1
Levante;Málaga;2017/2018;19/04/2018;1;0;3;0;1;1
R. Sociedad;Atlético;2017/2018;19/04/2018;3;0;3;0;3;1
Leganés;Deportivo;2017/2018;20/04/2018;0;0;1;1;0;x
Celta;Valencia;2017/2018;21/04/2018;1;1;1;1;0;x
Eibar;Getafe;2017/2018;21/04/2018;0;1;0;3;1;2
Atlético;Betis;2017/2018;22/04/2018;0;0;1;1;0;x
Girona;Espanyol;2017/2018;22/04/2018;0;2;0;3;2;2
Las Palmas;Alavés;2017/2018;22/04/2018;0;4;0;3;4;2
Málaga;R. Sociedad;2017/2018;22/04/2018;2;0;3;0;2;1
Athletic;Levante;2017/2018;23/04/2018;1;3;0;3;2;2
Levante;Sevilla;2017/2018;27/04/2018;2;1;3;0;1;1
Espanyol;Las Palmas;2017/2018;28/04/2018;1;1;1;1;0;x
Real Madrid;Leganés;2017/2018;28/04/2018;2;1;3;0;1;1
R. Sociedad;Athletic;2017/2018;28/04/2018;3;1;3;0;2;1
Villarreal;Celta;2017/2018;28/04/2018;4;1;3;0;3;1
Alavés;Atlético;2017/2018;29/04/2018;0;1;0;3;1;2
Getafe;Girona;2017/2018;29/04/2018;1;1;1;1;0;x
Deportivo;Barcelona;2017/2018;29/04/2018;2;4;0;3;2;2
Valencia;Eibar;2017/2018;29/04/2018;0;0;1;1;0;x
Betis;Málaga;2017/2018;30/04/2018;2;1;3;0;1;1
Sevilla;R. Sociedad;2017/2018;04/05/2018;1;0;3;0;1;1
Athletic;Betis;2017/2018;05/05/2018;2;0;3;0;2;1
Celta;Deportivo;2017/2018;05/05/2018;1;1;1;1;0;x
Girona;Eibar;2017/2018;05/05/2018;1;4;0;3;3;2
Villarreal;Valencia;2017/2018;05/05/2018;1;0;3;0;1;1
Atlético;Espanyol;2017/2018;06/05/2018;0;2;0;3;2;2
Barcelona;Real Madrid;2017/2018;06/05/2018;2;2;1;1;0;x
Las Palmas;Getafe;2017/2018;06/05/2018;0;1;0;3;1;2
Málaga;Alavés;2017/2018;06/05/2018;0;3;0;3;3;2
Leganés;Levante;2017/2018;07/05/2018;0;3;0;3;3;2
Barcelona;Villarreal;2017/2018;09/05/2018;5;1;3;0;4;1
Sevilla;Real Madrid;2017/2018;09/05/2018;3;2;3;0;1;1
Alavés;Athletic;2017/2018;12/05/2018;3;1;3;0;2;1
Betis;Sevilla;2017/2018;12/05/2018;2;2;1;1;0;x
Eibar;Las Palmas;2017/2018;12/05/2018;1;0;3;0;1;1
Getafe;Atlético;2017/2018;12/05/2018;0;1;0;3;1;2
Girona;Valencia;2017/2018;12/05/2018;0;1;0;3;1;2
Deportivo;Villarreal;2017/2018;12/05/2018;2;4;0;3;2;2
Real Madrid;Celta;2017/2018;12/05/2018;6;0;3;0;6;1
R. Sociedad;Leganés;2017/2018;12/05/2018;3;2;3;0;1;1
Espanyol;Málaga;2017/2018;13/05/2018;4;1;3;0;3;1
Levante;Barcelona;2017/2018;13/05/2018;5;4;3;0;1;1
Celta;Levante;2017/2018;19/05/2018;4;2;3;0;2;1
Las Palmas;Girona;2017/2018;19/05/2018;1;2;0;3;1;2
Leganés;Betis;2017/2018;19/05/2018;3;2;3;0;1;1
Málaga;Getafe;2017/2018;19/05/2018;0;1;0;3;1;2
Sevilla;Alavés;2017/2018;19/05/2018;1;0;3;0;1;1
Villarreal;Real Madrid;2017/2018;19/05/2018;2;2;1;1;0;x
Athletic;Espanyol;2017/2018;20/05/2018;0;1;0;3;1;2
Atlético;Eibar;2017/2018;20/05/2018;2;2;1;1;0;x
Barcelona;R. Sociedad;2017/2018;20/05/2018;1;0;3;0;1;1
Valencia;Deportivo;2017/2018;20/05/2018;2;1;3;0;1;1
Betis;Levante;2018/2019;17/08/2018;0;3;0;3;3;2
Girona;Real Valladolid;2018/2019;17/08/2018;0;0;1;1;0;x
Barcelona;Alavés;2018/2019;18/08/2018;3;0;3;0;3;1
Celta;Espanyol;2018/2019;18/08/2018;1;1;1;1;0;x
Villarreal;R. Sociedad;2018/2019;18/08/2018;1;2;0;3;1;2
