Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Athletic;Local;0;6;1,37;0;0;0;1;1,84;6;0;0;0;0;1;0;0;0;0;No;No;x;27/10/2018;2018/2019
Valencia;Visitante;0;0;0;0;3;1,42;0;0;0;1;1,58;6;0;0;0;0;1;0;No;Si;x;27/10/2018;2018/2019
Atlético;Local;2;8;1,68;0;0;0;3;2,53;13;0;0;0;3;0;0;0;0;0;No;Si;1;27/10/2018;2018/2019
R. Sociedad;Visitante;0;0;0;0;9;1,16;0;0;0;0;1,21;10;0;0;0;0;0;1;No;No;1;27/10/2018;2018/2019
Celta;Local;4;11;1,63;0;0;0;3;1,53;9;0;0;0;1;0;0;0;0;0;No;No;1;27/10/2018;2018/2019
Eibar;Visitante;0;0;0;0;4;0,79;0;0;0;0;0,74;4;0;0;0;0;0;1;No;No;1;27/10/2018;2018/2019
Girona;Local;2;8;0,89;0;0;0;3;0,79;7;0;0;0;1;0;0;0;0;0;Si;No;1;27/10/2018;2018/2019
Rayo;Visitante;0;0;0;1;4;0,84;0;0;0;0;0,58;4;0;0;0;0;0;2;Si;No;1;27/10/2018;2018/2019
Levante;Local;2;9;1,79;0;0;0;3;1,32;7;0;0;0;2;0;0;0;0;0;No;No;1;27/10/2018;2018/2019
Leganés;Visitante;0;0;0;0;3;0,95;0;0;0;0;0,84;1;0;0;0;0;0;1;No;No;1;27/10/2018;2018/2019
Alavés;Local;2;6;1;0;0;0;3;1,53;11;0;0;0;2;0;0;0;0;0;No;No;1;28/10/2018;2018/2019
Villarreal;Visitante;0;0;0;1;6;1,11;0;0;0;0;1,11;7;0;0;0;0;0;2;No;No;1;28/10/2018;2018/2019
Barcelona;Local;5;23;2,68;0;0;0;3;2,53;14;0;0;0;2;0;0;0;0;0;No;Si;1;28/10/2018;2018/2019
Real Madrid;Visitante;0;0;0;1;6;1,63;0;0;0;0;1,47;4;0;0;0;0;0;3;No;Si;1;28/10/2018;2018/2019
Getafe;Local;2;4;1,47;0;0;0;3;1,89;7;0;0;0;1;0;0;0;0;0;No;Si;1;28/10/2018;2018/2019
Betis;Visitante;0;0;0;0;1;1;0;0;0;0;1,11;5;0;0;0;0;0;2;No;No;1;28/10/2018;2018/2019
Sevilla;Local;2;7;2,05;0;0;0;3;2,05;10;0;0;0;3;0;0;0;0;0;No;Si;1;28/10/2018;2018/2019
Huesca;Visitante;0;0;0;1;7;1;0;0;0;0;0,63;4;0;0;0;0;0;4;Si;No;1;28/10/2018;2018/2019
Leganés;Local;1;6;1;0;0;0;1;1,53;8;0;0;0;0;1;0;0;0;0;No;No;x;03/11/2018;2018/2019
Atlético;Visitante;0;0;0;1;5;1,21;0;0;0;1;1,47;7;0;0;0;0;3;0;No;Si;x;03/11/2018;2018/2019
Real Madrid;Local;2;10;1,68;0;0;0;3;2,11;13;0;0;0;1;0;0;0;0;0;No;Si;1;03/11/2018;2018/2019
Real Valladolid;Visitante;0;0;0;0;5;0,84;0;0;0;0;1,11;9;0;0;0;0;0;1;No;No;1;03/11/2018;2018/2019
Valencia;Local;0;4;1,26;0;0;0;0;1,63;5;0;0;0;0;0;1;0;0;0;No;Si;2;03/11/2018;2018/2019
Girona;Visitante;0;0;0;1;5;1,05;0;0;0;3;1,16;9;0;0;0;1;0;0;Si;No;2;03/11/2018;2018/2019
Rayo;Local;2;8;1,31;0;0;0;0;1,11;2;0;0;0;0;0;1;0;0;0;Si;No;2;03/11/2018;2018/2019
Barcelona;Visitante;0;0;0;3;8;2,05;0;0;0;3;2,05;10;0;0;0;1;0;0;No;Si;2;03/11/2018;2018/2019
Betis;Local;3;7;1,32;0;0;0;1;1,53;0;0;0;0;0;1;0;0;0;0;No;No;x;04/11/2018;2018/2019
Celta;Visitante;0;0;0;3;9;1,16;0;0;0;1;1,16;8;0;0;0;0;1;0;No;No;x;04/11/2018;2018/2019
Eibar;Local;2;8;1,63;0;0;0;3;1,74;10;0;0;0;1;0;0;0;0;0;No;No;1;04/11/2018;2018/2019
Alavés;Visitante;0;0;0;1;9;1,05;0;0;0;0;1,11;9;0;0;0;0;0;1;No;No;1;04/11/2018;2018/2019
Huesca;Local;1;2;1,26;0;0;0;1;1,11;2;0;0;0;0;1;0;0;0;0;Si;No;x;04/11/2018;2018/2019
Getafe;Visitante;0;0;0;1;7;1,05;0;0;0;1;1,21;9;0;0;0;0;1;0;No;Si;x;04/11/2018;2018/2019
R. Sociedad;Local;0;3;1,21;0;0;0;1;1,42;3;0;0;0;0;2;0;0;0;0;No;No;x;04/11/2018;2018/2019
Sevilla;Visitante;0;0;0;0;15;1,21;0;0;0;1;1,05;10;0;0;0;0;1;0;No;Si;x;04/11/2018;2018/2019
Villarreal;Local;1;3;1,47;0;0;0;1;1,21;3;0;0;0;0;2;0;0;0;0;No;No;x;04/11/2018;2018/2019
Levante;Visitante;0;0;0;1;8;1,32;0;0;0;1;1;10;0;0;0;0;1;0;No;No;x;04/11/2018;2018/2019
Espanyol;Local;1;8;1,47;0;0;0;3;1,89;15;0;0;0;5;0;0;0;0;0;No;Si;1;05/11/2018;2018/2019
Athletic;Visitante;0;0;0;0;5;0,79;0;0;0;0;0,95;4;0;0;0;0;0;1;No;No;1;05/11/2018;2018/2019
Levante;Local;1;10;1,79;0;0;0;0;1,32;7;0;0;0;0;0;1;0;0;0;No;No;2;09/11/2018;2018/2019
R. Sociedad;Visitante;0;0;0;3;12;1,16;0;0;0;3;1,21;13;0;0;0;1;0;0;No;No;2;09/11/2018;2018/2019
Atlético;Local;3;11;1,68;0;0;0;3;2,53;16;0;0;0;4;0;0;0;0;0;No;Si;1;10/11/2018;2018/2019
Athletic;Visitante;0;0;0;2;7;0,79;0;0;0;0;0,95;4;0;0;0;0;0;2;No;No;1;10/11/2018;2018/2019
Getafe;Local;0;4;1,47;0;0;0;0;1,89;7;0;0;0;0;0;1;0;0;0;No;Si;2;10/11/2018;2018/2019
Valencia;Visitante;0;0;0;1;4;1,42;0;0;0;3;1,58;9;0;0;0;1;0;0;No;Si;2;10/11/2018;2018/2019
Girona;Local;0;8;0,89;0;0;0;1;0,79;8;0;0;0;0;1;0;0;0;0;Si;No;x;10/11/2018;2018/2019
Leganés;Visitante;0;0;0;0;3;0,95;0;0;0;1;0,84;2;0;0;0;0;1;0;No;No;x;10/11/2018;2018/2019
Real Valladolid;Local;0;4;0,84;0;0;0;1;1,05;8;0;0;0;0;2;0;0;0;0;No;No;x;10/11/2018;2018/2019
Eibar;Visitante;0;0;0;0;4;0,79;0;0;0;1;0,74;5;0;0;0;0;1;0;No;No;x;10/11/2018;2018/2019
Alavés;Local;2;8;1;0;0;0;3;1,53;14;0;0;0;3;0;0;0;0;0;No;No;1;11/11/2018;2018/2019
Huesca;Visitante;0;0;0;1;8;1;0;0;0;0;0,63;4;0;0;0;0;0;5;Si;No;1;11/11/2018;2018/2019
Barcelona;Local;3;26;2,68;0;0;0;0;2,53;14;0;0;0;0;0;1;0;0;0;No;Si;2;11/11/2018;2018/2019
Betis;Visitante;0;0;0;4;5;1;0;0;0;3;1,11;8;0;0;0;1;0;0;No;No;2;11/11/2018;2018/2019
Celta;Local;2;13;1,63;0;0;0;0;1,53;9;0;0;0;0;0;1;0;0;0;No;No;2;11/11/2018;2018/2019
Real Madrid;Visitante;0;0;0;4;10;1,63;0;0;0;3;1,47;7;0;0;0;1;0;0;No;Si;2;11/11/2018;2018/2019
Sevilla;Local;2;9;2,05;0;0;0;3;2,05;13;0;0;0;4;0;0;0;0;0;No;Si;1;11/11/2018;2018/2019
Espanyol;Visitante;0;0;0;1;8;1,05;0;0;0;0;0,89;6;0;0;0;0;0;1;No;Si;1;11/11/2018;2018/2019
Rayo;Local;2;10;1,31;0;0;0;1;1,11;3;0;0;0;0;1;0;0;0;0;Si;No;x;11/11/2018;2018/2019
Villarreal;Visitante;0;0;0;2;8;1,11;0;0;0;1;1,11;8;0;0;0;0;1;0;No;No;x;11/11/2018;2018/2019
Leganés;Local;1;7;1;0;0;0;3;1,53;11;0;0;0;1;0;0;0;0;0;No;No;1;23/11/2018;2018/2019
Alavés;Visitante;0;0;0;0;9;1,05;0;0;0;0;1,11;9;0;0;0;0;0;2;No;No;1;23/11/2018;2018/2019
Atlético;Local;1;12;1,68;0;0;0;1;2,53;17;0;0;0;0;1;0;0;0;0;No;Si;x;24/11/2018;2018/2019
Barcelona;Visitante;0;0;0;1;9;2,05;0;0;0;1;2,05;11;0;0;0;0;1;0;No;Si;x;24/11/2018;2018/2019
Eibar;Local;3;11;1,63;0;0;0;3;1,74;13;0;0;0;2;0;0;0;0;0;No;No;1;24/11/2018;2018/2019
Real Madrid;Visitante;0;0;0;0;10;1,63;0;0;0;0;1,47;7;0;0;0;0;0;1;No;Si;1;24/11/2018;2018/2019
Huesca;Local;2;4;1,26;0;0;0;1;1,11;3;0;0;0;0;2;0;0;0;0;Si;No;x;24/11/2018;2018/2019
Levante;Visitante;0;0;0;2;10;1,32;0;0;0;1;1;11;0;0;0;0;2;0;No;No;x;24/11/2018;2018/2019
Valencia;Local;3;7;1,26;0;0;0;3;1,63;8;0;0;0;1;0;0;0;0;0;No;Si;1;24/11/2018;2018/2019
Rayo;Visitante;0;0;0;0;4;0,84;0;0;0;0;0,58;4;0;0;0;0;0;3;Si;No;1;24/11/2018;2018/2019
Athletic;Local;1;7;1,37;0;0;0;1;1,84;7;0;0;0;0;2;0;0;0;0;No;No;x;25/11/2018;2018/2019
Getafe;Visitante;0;0;0;1;8;1,05;0;0;0;1;1,21;10;0;0;0;0;2;0;No;Si;x;25/11/2018;2018/2019
Espanyol;Local;1;9;1,47;0;0;0;0;1,89;15;0;0;0;0;0;1;0;0;0;No;Si;2;25/11/2018;2018/2019
Girona;Visitante;0;0;0;3;8;1,05;0;0;0;3;1,16;12;0;0;0;2;0;0;Si;No;2;25/11/2018;2018/2019
Sevilla;Local;1;10;2,05;0;0;0;3;2,05;16;0;0;0;5;0;0;0;0;0;No;Si;1;25/11/2018;2018/2019
Real Valladolid;Visitante;0;0;0;0;5;0,84;0;0;0;0;1,11;9;0;0;0;0;0;2;No;No;1;25/11/2018;2018/2019
Villarreal;Local;2;5;1,47;0;0;0;3;1,21;6;0;0;0;1;0;0;0;0;0;No;No;1;25/11/2018;2018/2019
Betis;Visitante;0;0;0;1;6;1;0;0;0;0;1,11;8;0;0;0;0;0;1;No;No;1;25/11/2018;2018/2019
R. Sociedad;Local;2;5;1,21;0;0;0;3;1,42;6;0;0;0;1;0;0;0;0;0;No;No;1;26/11/2018;2018/2019
Celta;Visitante;0;0;0;1;10;1,16;0;0;0;0;1,16;8;0;0;0;0;0;1;No;No;1;26/11/2018;2018/2019
Rayo;Local;1;11;1,31;0;0;0;3;1,11;6;0;0;0;1;0;0;0;0;0;Si;No;1;30/11/2018;2018/2019
Eibar;Visitante;0;0;0;0;4;0,79;0;0;0;0;0,74;5;0;0;0;0;0;1;No;No;1;30/11/2018;2018/2019
Celta;Local;2;15;1,63;0;0;0;3;1,53;12;0;0;0;1;0;0;0;0;0;No;No;1;01/12/2018;2018/2019
Huesca;Visitante;0;0;0;0;8;1;0;0;0;0;0,63;4;0;0;0;0;0;6;Si;No;1;01/12/2018;2018/2019
Getafe;Local;3;7;1,47;0;0;0;3;1,89;10;0;0;0;1;0;0;0;0;0;No;Si;1;01/12/2018;2018/2019
Espanyol;Visitante;0;0;0;0;8;1,05;0;0;0;0;0,89;6;0;0;0;0;0;2;No;Si;1;01/12/2018;2018/2019
Real Madrid;Local;2;12;1,68;0;0;0;3;2,11;16;0;0;0;2;0;0;0;0;0;No;Si;1;01/12/2018;2018/2019
Valencia;Visitante;0;0;0;0;4;1,42;0;0;0;0;1,58;9;0;0;0;0;0;1;No;Si;1;01/12/2018;2018/2019
Real Valladolid;Local;2;6;0,84;0;0;0;0;1,05;8;0;0;0;0;0;1;0;0;0;No;No;2;01/12/2018;2018/2019
Leganés;Visitante;0;0;0;4;7;0,95;0;0;0;3;0,84;5;0;0;0;1;0;0;No;No;2;01/12/2018;2018/2019
Alavés;Local;1;9;1;0;0;0;1;1,53;15;0;0;0;0;1;0;0;0;0;No;No;x;02/12/2018;2018/2019
Sevilla;Visitante;0;0;0;1;16;1,21;0;0;0;1;1,05;11;0;0;0;0;2;0;No;Si;x;02/12/2018;2018/2019
Barcelona;Local;2;28;2,68;0;0;0;3;2,53;17;0;0;0;1;0;0;0;0;0;No;Si;1;02/12/2018;2018/2019
Villarreal;Visitante;0;0;0;0;8;1,11;0;0;0;0;1,11;8;0;0;0;0;0;1;No;No;1;02/12/2018;2018/2019
Betis;Local;1;8;1,32;0;0;0;3;1,53;0;0;0;0;1;0;0;0;0;0;No;No;1;02/12/2018;2018/2019
R. Sociedad;Visitante;0;0;0;0;12;1,16;0;0;0;0;1,21;13;0;0;0;0;0;1;No;No;1;02/12/2018;2018/2019
Girona;Local;1;9;0,89;0;0;0;1;0,79;9;0;0;0;0;2;0;0;0;0;Si;No;x;02/12/2018;2018/2019
Atlético;Visitante;0;0;0;1;6;1,21;0;0;0;1;1,47;8;0;0;0;0;4;0;No;Si;x;02/12/2018;2018/2019
Levante;Local;3;13;1,79;0;0;0;3;1,32;10;0;0;0;1;0;0;0;0;0;No;No;1;03/12/2018;2018/2019
Athletic;Visitante;0;0;0;0;7;0,79;0;0;0;0;0,95;4;0;0;0;0;0;3;No;No;1;03/12/2018;2018/2019
Leganés;Local;1;8;1;0;0;0;1;1,53;12;0;0;0;0;1;0;0;0;0;No;No;x;07/12/2018;2018/2019
Getafe;Visitante;0;0;0;1;9;1,05;0;0;0;1;1,21;11;0;0;0;0;3;0;No;Si;x;07/12/2018;2018/2019
Atlético;Local;3;15;1,68;0;0;0;3;2,53;20;0;0;0;1;0;0;0;0;0;No;Si;1;08/12/2018;2018/2019
Alavés;Visitante;0;0;0;0;9;1,05;0;0;0;0;1,11;9;0;0;0;0;0;3;No;No;1;08/12/2018;2018/2019
Espanyol;Local;0;9;1,47;0;0;0;0;1,89;15;0;0;0;0;0;2;0;0;0;No;Si;2;08/12/2018;2018/2019
Barcelona;Visitante;0;0;0;4;13;2,05;0;0;0;3;2,05;14;0;0;0;1;0;0;No;Si;2;08/12/2018;2018/2019
Valencia;Local;1;8;1,26;0;0;0;1;1,63;9;0;0;0;0;1;0;0;0;0;No;Si;x;08/12/2018;2018/2019
Sevilla;Visitante;0;0;0;1;17;1,21;0;0;0;1;1,05;12;0;0;0;0;3;0;No;Si;x;08/12/2018;2018/2019
Villarreal;Local;2;7;1,47;0;0;0;0;1,21;6;0;0;0;0;0;1;0;0;0;No;No;2;08/12/2018;2018/2019
Celta;Visitante;0;0;0;3;13;1,16;0;0;0;3;1,16;11;0;0;0;1;0;0;No;No;2;08/12/2018;2018/2019
Betis;Local;2;10;1,32;0;0;0;3;1,53;0;0;0;0;2;0;0;0;0;0;No;No;1;09/12/2018;2018/2019
Rayo;Visitante;0;0;0;0;4;0,84;0;0;0;0;0,58;4;0;0;0;0;0;4;Si;No;1;09/12/2018;2018/2019
Eibar;Local;4;15;1,63;0;0;0;1;1,74;14;0;0;0;0;1;0;0;0;0;No;No;x;09/12/2018;2018/2019
Levante;Visitante;0;0;0;4;14;1,32;0;0;0;1;1;12;0;0;0;0;3;0;No;No;x;09/12/2018;2018/2019
Huesca;Local;0;4;1,26;0;0;0;0;1,11;3;0;0;0;0;0;1;0;0;0;Si;No;2;09/12/2018;2018/2019
Real Madrid;Visitante;0;0;0;1;11;1,63;0;0;0;3;1,47;10;0;0;0;1;0;0;No;Si;2;09/12/2018;2018/2019
R. Sociedad;Local;1;6;1,21;0;0;0;0;1,42;6;0;0;0;0;0;1;0;0;0;No;No;2;09/12/2018;2018/2019
Real Valladolid;Visitante;0;0;0;2;7;0,84;0;0;0;3;1,11;12;0;0;0;1;0;0;No;No;2;09/12/2018;2018/2019
Athletic;Local;1;8;1,37;0;0;0;3;1,84;10;0;0;0;1;0;0;0;0;0;No;No;1;10/12/2018;2018/2019
Girona;Visitante;0;0;0;0;8;1,05;0;0;0;0;1,16;12;0;0;0;0;0;1;Si;No;1;10/12/2018;2018/2019
Celta;Local;0;15;1,63;0;0;0;1;1,53;13;0;0;0;0;1;0;0;0;0;No;No;x;14/12/2018;2018/2019
Leganés;Visitante;0;0;0;0;7;0,95;0;0;0;1;0,84;6;0;0;0;0;1;0;No;No;x;14/12/2018;2018/2019
Eibar;Local;1;16;1,63;0;0;0;1;1,74;15;0;0;0;0;2;0;0;0;0;No;No;x;15/12/2018;2018/2019
Valencia;Visitante;0;0;0;1;5;1,42;0;0;0;1;1,58;10;0;0;0;0;1;0;No;Si;x;15/12/2018;2018/2019
Getafe;Local;1;8;1,47;0;0;0;3;1,89;13;0;0;0;2;0;0;0;0;0;No;Si;1;15/12/2018;2018/2019
R. Sociedad;Visitante;0;0;0;0;12;1,16;0;0;0;0;1,21;13;0;0;0;0;0;2;No;No;1;15/12/2018;2018/2019
Real Madrid;Local;1;13;1,68;0;0;0;3;2,11;19;0;0;0;3;0;0;0;0;0;No;Si;1;15/12/2018;2018/2019
Rayo;Visitante;0;0;0;0;4;0,84;0;0;0;0;0,58;4;0;0;0;0;0;5;Si;No;1;15/12/2018;2018/2019
Real Valladolid;Local;2;8;0,84;0;0;0;0;1,05;8;0;0;0;0;0;2;0;0;0;No;No;2;15/12/2018;2018/2019
Atlético;Visitante;0;0;0;3;9;1,21;0;0;0;3;1,47;11;0;0;0;1;0;0;No;Si;2;15/12/2018;2018/2019
Espanyol;Local;1;10;1,47;0;0;0;0;1,89;15;0;0;0;0;0;3;0;0;0;No;Si;2;16/12/2018;2018/2019
Betis;Visitante;0;0;0;3;9;1;0;0;0;3;1,11;11;0;0;0;1;0;0;No;No;2;16/12/2018;2018/2019
Huesca;Local;2;6;1,26;0;0;0;1;1,11;4;0;0;0;0;1;0;0;0;0;Si;No;x;16/12/2018;2018/2019
Villarreal;Visitante;0;0;0;2;10;1,11;0;0;0;1;1,11;9;0;0;0;0;1;0;No;No;x;16/12/2018;2018/2019
Levante;Local;0;13;1,79;0;0;0;0;1,32;10;0;0;0;0;0;1;0;0;0;No;No;2;16/12/2018;2018/2019
Barcelona;Visitante;0;0;0;5;18;2,05;0;0;0;3;2,05;17;0;0;0;2;0;0;No;Si;2;16/12/2018;2018/2019
Sevilla;Local;2;12;2,05;0;0;0;3;2,05;19;0;0;0;6;0;0;0;0;0;No;Si;1;16/12/2018;2018/2019
Girona;Visitante;0;0;0;0;8;1,05;0;0;0;0;1,16;12;0;0;0;0;0;2;Si;No;1;16/12/2018;2018/2019
Alavés;Local;0;9;1;0;0;0;1;1,53;16;0;0;0;0;2;0;0;0;0;No;No;x;17/12/2018;2018/2019
Athletic;Visitante;0;0;0;0;7;0,79;0;0;0;1;0,95;5;0;0;0;0;1;0;No;No;x;17/12/2018;2018/2019
Girona;Local;1;10;0,89;0;0;0;1;0,79;10;0;0;0;0;3;0;0;0;0;Si;No;x;21/12/2018;2018/2019
Getafe;Visitante;0;0;0;1;10;1,05;0;0;0;1;1,21;12;0;0;0;0;4;0;No;Si;x;21/12/2018;2018/2019
R. Sociedad;Local;0;6;1,21;0;0;0;0;1,42;6;0;0;0;0;0;2;0;0;0;No;No;2;21/12/2018;2018/2019
Alavés;Visitante;0;0;0;1;10;1,05;0;0;0;3;1,11;12;0;0;0;1;0;0;No;No;2;21/12/2018;2018/2019
Athletic;Local;1;9;1,37;0;0;0;1;1,84;11;0;0;0;0;1;0;0;0;0;No;No;x;22/12/2018;2018/2019
Real Valladolid;Visitante;0;0;0;1;8;0,84;0;0;0;1;1,11;13;0;0;0;0;1;0;No;No;x;22/12/2018;2018/2019
Atlético;Local;1;16;1,68;0;0;0;3;2,53;23;0;0;0;2;0;0;0;0;0;No;Si;1;22/12/2018;2018/2019
Espanyol;Visitante;0;0;0;0;8;1,05;0;0;0;0;0,89;6;0;0;0;0;0;3;No;Si;1;22/12/2018;2018/2019
Barcelona;Local;2;30;2,68;0;0;0;3;2,53;20;0;0;0;2;0;0;0;0;0;No;Si;1;22/12/2018;2018/2019
Celta;Visitante;0;0;0;0;13;1,16;0;0;0;0;1,16;11;0;0;0;0;0;1;No;No;1;22/12/2018;2018/2019
Betis;Local;1;11;1,32;0;0;0;1;1,53;0;0;0;0;0;1;0;0;0;0;No;No;x;22/12/2018;2018/2019
Eibar;Visitante;0;0;0;1;5;0,79;0;0;0;1;0,74;6;0;0;0;0;1;0;No;No;x;22/12/2018;2018/2019
Leganés;Local;1;9;1;0;0;0;1;1,53;13;0;0;0;0;1;0;0;0;0;No;No;x;23/12/2018;2018/2019
Sevilla;Visitante;0;0;0;1;18;1,21;0;0;0;1;1,05;13;0;0;0;0;4;0;No;Si;x;23/12/2018;2018/2019
Valencia;Local;2;10;1,26;0;0;0;3;1,63;12;0;0;0;1;0;0;0;0;0;No;Si;1;23/12/2018;2018/2019
Huesca;Visitante;0;0;0;1;9;1;0;0;0;0;0,63;4;0;0;0;0;0;7;Si;No;1;23/12/2018;2018/2019
Rayo;Local;2;13;1,31;0;0;0;3;1,11;9;0;0;0;2;0;0;0;0;0;Si;No;1;23/12/2018;2018/2019
Levante;Visitante;0;0;0;1;15;1,32;0;0;0;0;1;12;0;0;0;0;0;1;No;No;1;23/12/2018;2018/2019
Villarreal;Local;2;9;1,47;0;0;0;1;1,21;7;0;0;0;0;1;0;0;0;0;No;No;x;03/01/2019;2018/2019
Real Madrid;Visitante;0;0;0;2;13;1,63;0;0;0;1;1,47;11;0;0;0;0;1;0;No;Si;x;03/01/2019;2018/2019
Espanyol;Local;1;11;1,47;0;0;0;3;1,89;18;0;0;0;1;0;0;0;0;0;No;Si;1;04/01/2019;2018/2019
Leganés;Visitante;0;0;0;0;7;0,95;0;0;0;0;0,84;6;0;0;0;0;0;1;No;No;1;04/01/2019;2018/2019
Levante;Local;2;15;1,79;0;0;0;1;1,32;11;0;0;0;0;1;0;0;0;0;No;No;x;04/01/2019;2018/2019
Girona;Visitante;0;0;0;2;10;1,05;0;0;0;1;1,16;13;0;0;0;0;1;0;Si;No;x;04/01/2019;2018/2019
Alavés;Local;2;11;1;0;0;0;3;1,53;19;0;0;0;1;0;0;0;0;0;No;No;1;05/01/2019;2018/2019
Valencia;Visitante;0;0;0;1;5;1,42;0;0;0;0;1,58;10;0;0;0;0;0;1;No;Si;1;05/01/2019;2018/2019
Huesca;Local;2;8;1,26;0;0;0;3;1,11;7;0;0;0;1;0;0;0;0;0;Si;No;1;05/01/2019;2018/2019
Betis;Visitante;0;0;0;1;10;1;0;0;0;0;1,11;11;0;0;0;0;0;1;No;No;1;05/01/2019;2018/2019
Real Valladolid;Local;0;8;0,84;0;0;0;0;1,05;8;0;0;0;0;0;3;0;0;0;No;No;2;05/01/2019;2018/2019
Rayo;Visitante;0;0;0;1;5;0,84;0;0;0;3;0,58;7;0;0;0;1;0;0;Si;No;2;05/01/2019;2018/2019
Eibar;Local;0;16;1,63;0;0;0;1;1,74;16;0;0;0;0;3;0;0;0;0;No;No;x;06/01/2019;2018/2019
Villarreal;Visitante;0;0;0;0;10;1,11;0;0;0;1;1,11;10;0;0;0;0;2;0;No;No;x;06/01/2019;2018/2019
Getafe;Local;1;9;1,47;0;0;0;0;1,89;13;0;0;0;0;0;1;0;0;0;No;Si;2;06/01/2019;2018/2019
Barcelona;Visitante;0;0;0;2;20;2,05;0;0;0;3;2,05;20;0;0;0;3;0;0;No;Si;2;06/01/2019;2018/2019
Real Madrid;Local;0;13;1,68;0;0;0;0;2,11;19;0;0;0;0;0;1;0;0;0;No;Si;2;06/01/2019;2018/2019
R. Sociedad;Visitante;0;0;0;2;14;1,16;0;0;0;3;1,21;16;0;0;0;1;0;0;No;No;2;06/01/2019;2018/2019
Sevilla;Local;1;13;2,05;0;0;0;1;2,05;20;0;0;0;0;1;0;0;0;0;No;Si;x;06/01/2019;2018/2019
Atlético;Visitante;0;0;0;1;10;1,21;0;0;0;1;1,47;12;0;0;0;0;1;0;No;Si;x;06/01/2019;2018/2019
Celta;Local;1;16;1,63;0;0;0;0;1,53;13;0;0;0;0;0;1;0;0;0;No;No;2;07/01/2019;2018/2019
Athletic;Visitante;0;0;0;2;9;0,79;0;0;0;3;0,95;8;0;0;0;1;0;0;No;No;2;07/01/2019;2018/2019
Rayo;Local;4;17;1,31;0;0;0;3;1,11;12;0;0;0;3;0;0;0;0;0;Si;No;1;11/01/2019;2018/2019
Celta;Visitante;0;0;0;2;15;1,16;0;0;0;0;1,16;11;0;0;0;0;0;2;No;No;1;11/01/2019;2018/2019
Girona;Local;1;11;0,89;0;0;0;1;0,79;11;0;0;0;0;4;0;0;0;0;Si;No;x;12/01/2019;2018/2019
Alavés;Visitante;0;0;0;1;11;1,05;0;0;0;1;1,11;13;0;0;0;0;1;0;No;No;x;12/01/2019;2018/2019
Leganés;Local;1;10;1;0;0;0;3;1,53;16;0;0;0;1;0;0;0;0;0;No;No;1;12/01/2019;2018/2019
Huesca;Visitante;0;0;0;0;9;1;0;0;0;0;0,63;4;0;0;0;0;0;8;Si;No;1;12/01/2019;2018/2019
Valencia;Local;1;11;1,26;0;0;0;1;1,63;13;0;0;0;0;1;0;0;0;0;No;Si;x;12/01/2019;2018/2019
Real Valladolid;Visitante;0;0;0;1;9;0,84;0;0;0;1;1,11;14;0;0;0;0;2;0;No;No;x;12/01/2019;2018/2019
Villarreal;Local;1;10;1,47;0;0;0;0;1,21;7;0;0;0;0;0;1;0;0;0;No;No;2;12/01/2019;2018/2019
Getafe;Visitante;0;0;0;2;12;1,05;0;0;0;3;1,21;15;0;0;0;1;0;0;No;Si;2;12/01/2019;2018/2019
Athletic;Local;2;11;1,37;0;0;0;3;1,84;14;0;0;0;1;0;0;0;0;0;No;No;1;13/01/2019;2018/2019
Sevilla;Visitante;0;0;0;0;18;1,21;0;0;0;0;1,05;13;0;0;0;0;0;1;No;Si;1;13/01/2019;2018/2019
Atlético;Local;1;17;1,68;0;0;0;3;2,53;26;0;0;0;3;0;0;0;0;0;No;Si;1;13/01/2019;2018/2019
Levante;Visitante;0;0;0;0;15;1,32;0;0;0;0;1;12;0;0;0;0;0;2;No;No;1;13/01/2019;2018/2019
Barcelona;Local;3;33;2,68;0;0;0;3;2,53;23;0;0;0;3;0;0;0;0;0;No;Si;1;13/01/2019;2018/2019
Eibar;Visitante;0;0;0;0;5;0,79;0;0;0;0;0,74;6;0;0;0;0;0;1;No;No;1;13/01/2019;2018/2019
Betis;Local;1;12;1,32;0;0;0;0;1,53;0;0;0;0;0;0;1;0;0;0;No;No;2;13/01/2019;2018/2019
Real Madrid;Visitante;0;0;0;2;15;1,63;0;0;0;3;1,47;14;0;0;0;1;0;0;No;Si;2;13/01/2019;2018/2019
R. Sociedad;Local;3;9;1,21;0;0;0;3;1,42;9;0;0;0;1;0;0;0;0;0;No;No;1;14/01/2019;2018/2019
Espanyol;Visitante;0;0;0;2;10;1,05;0;0;0;0;0,89;6;0;0;0;0;0;4;No;Si;1;14/01/2019;2018/2019
Getafe;Local;4;13;1,47;0;0;0;3;1,89;16;0;0;0;1;0;0;0;0;0;No;Si;1;18/01/2019;2018/2019
