Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Espanyol;Visitante;0;0;0;0;4;0,95;0;0;0;0;0,58;3;0;0;0;0;0;1;No;No;1;27/09/2015;2015/2016
R. Sociedad;Local;0;2;1,15;0;0;0;1;1,37;2;0;0;0;0;1;0;0;0;0;No;No;x;27/09/2015;2015/2016
Athletic;Visitante;0;0;0;0;1;1,21;0;0;0;1;1,32;1;0;0;0;0;1;0;No;Si;x;27/09/2015;2015/2016
Sporting Gijón;Local;1;1;1,47;0;0;0;0;1,32;1;0;0;0;0;0;2;0;0;0;No;No;2;27/09/2015;2015/2016
Betis;Visitante;0;0;0;2;2;0,89;0;0;0;3;1,11;4;0;0;0;1;0;0;No;No;2;27/09/2015;2015/2016
Celta;Local;0;10;1,52;0;0;0;1;1,74;8;0;0;0;0;1;0;0;0;0;No;Si;x;02/10/2015;2015/2016
Getafe;Visitante;0;0;0;0;1;0,74;0;0;0;1;0,58;1;0;0;0;0;1;0;Si;No;x;02/10/2015;2015/2016
Espanyol;Local;1;3;1,16;0;0;0;0;1,68;6;0;0;0;0;0;1;0;0;0;No;No;2;03/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;2;6;0,63;0;0;0;3;0,74;7;0;0;0;1;0;0;No;No;2;03/10/2015;2015/2016
Granada;Local;1;3;1,37;0;0;0;1;1,21;1;0;0;0;0;1;0;0;0;0;No;No;x;03/10/2015;2015/2016
Deportivo;Visitante;0;0;0;1;7;1,05;0;0;0;1;1,16;8;0;0;0;0;1;0;No;No;x;03/10/2015;2015/2016
Las Palmas;Local;0;2;1,31;0;0;0;0;1,53;4;0;0;0;0;0;1;0;0;0;No;No;2;03/10/2015;2015/2016
Eibar;Visitante;0;0;0;2;7;1,21;0;0;0;3;0,74;8;0;0;0;1;0;0;No;No;2;03/10/2015;2015/2016
Málaga;Local;3;3;1,37;0;0;0;3;1,58;5;0;0;0;1;0;0;0;0;0;No;No;1;03/10/2015;2015/2016
R. Sociedad;Visitante;0;0;0;1;4;1,47;0;0;0;0;1,16;4;0;0;0;0;0;1;No;No;1;03/10/2015;2015/2016
Sevilla;Local;2;6;2;0;0;0;3;2,26;6;0;0;0;2;0;0;0;0;0;No;No;1;03/10/2015;2015/2016
Barcelona;Visitante;0;0;0;1;5;2,37;0;0;0;0;2,21;6;0;0;0;0;0;2;No;Si;1;03/10/2015;2015/2016
Athletic;Local;3;7;1,84;0;0;0;3;1,95;6;0;0;0;1;0;0;0;0;0;No;Si;1;04/10/2015;2015/2016
Valencia;Visitante;0;0;0;1;2;1,11;0;0;0;0;1;4;0;0;0;0;0;2;No;No;1;04/10/2015;2015/2016
Atlético;Local;1;5;1,74;0;0;0;1;2,53;7;0;0;0;0;1;0;0;0;0;No;Si;x;04/10/2015;2015/2016
Real Madrid;Visitante;0;0;0;1;9;2,11;0;0;0;1;2,16;8;0;0;0;0;1;0;No;Si;x;04/10/2015;2015/2016
Levante;Local;1;5;1,21;0;0;0;3;1,37;5;0;0;0;1;0;0;0;0;0;Si;No;1;04/10/2015;2015/2016
Villarreal;Visitante;0;0;0;0;5;0,95;0;0;0;0;1,26;7;0;0;0;0;0;1;No;Si;1;04/10/2015;2015/2016
Rayo;Local;0;3;1,53;0;0;0;0;1,47;4;0;0;0;0;0;1;0;0;0;Si;No;2;04/10/2015;2015/2016
Betis;Visitante;0;0;0;2;4;0,89;0;0;0;3;1,11;7;0;0;0;2;0;0;No;No;2;04/10/2015;2015/2016
Barcelona;Local;5;12;3,52;0;0;0;3;2,58;12;0;0;0;4;0;0;0;0;0;No;Si;1;17/10/2015;2015/2016
Rayo;Visitante;0;0;0;2;5;1,21;0;0;0;0;0,53;3;0;0;0;0;0;2;Si;No;1;17/10/2015;2015/2016
Betis;Local;1;4;0,89;0;0;0;0;1,26;4;0;0;0;0;0;2;0;0;0;No;No;2;17/10/2015;2015/2016
Espanyol;Visitante;0;0;0;3;7;0,95;0;0;0;3;0,58;6;0;0;0;1;0;0;No;No;2;17/10/2015;2015/2016
Eibar;Local;1;4;1,37;0;0;0;1;1,53;5;0;0;0;0;2;0;0;0;0;No;No;x;17/10/2015;2015/2016
Sevilla;Visitante;0;0;0;1;2;0,68;0;0;0;1;0,47;3;0;0;0;0;1;0;No;No;x;17/10/2015;2015/2016
Real Madrid;Local;3;9;3,68;0;0;0;3;2,58;10;0;0;0;1;0;0;0;0;0;No;Si;1;17/10/2015;2015/2016
Levante;Visitante;0;0;0;0;1;0,74;0;0;0;0;0,32;1;0;0;0;0;0;3;Si;No;1;17/10/2015;2015/2016
Valencia;Local;3;5;1,31;0;0;0;3;1,32;8;0;0;0;2;0;0;0;0;0;No;No;1;17/10/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0,63;0;0;0;0;0,95;1;0;0;0;0;0;1;No;No;1;17/10/2015;2015/2016
Getafe;Local;4;9;1,21;0;0;0;3;1,32;9;0;0;0;3;0;0;0;0;0;Si;No;1;18/10/2015;2015/2016
Las Palmas;Visitante;0;0;0;0;4;1,05;0;0;0;0;0,79;1;0;0;0;0;0;2;No;No;1;18/10/2015;2015/2016
Deportivo;Local;2;7;1,32;0;0;0;1;1,05;5;0;0;0;0;1;0;0;0;0;No;No;x;18/10/2015;2015/2016
Athletic;Visitante;0;0;0;2;3;1,21;0;0;0;1;1,32;2;0;0;0;0;2;0;No;Si;x;18/10/2015;2015/2016
R. Sociedad;Local;0;2;1,15;0;0;0;0;1,37;2;0;0;0;0;0;1;0;0;0;No;No;2;18/10/2015;2015/2016
Atlético;Visitante;0;0;0;2;7;1,58;0;0;0;3;2,1;9;0;0;0;1;0;0;No;Si;2;18/10/2015;2015/2016
Villarreal;Local;1;8;1,37;0;0;0;0;2,11;9;0;0;0;0;0;1;0;0;0;No;Si;2;18/10/2015;2015/2016
Celta;Visitante;0;0;0;2;7;1,16;0;0;0;3;1,16;10;0;0;0;1;0;0;No;Si;2;18/10/2015;2015/2016
Sporting Gijón;Local;3;4;1,47;0;0;0;1;1,32;2;0;0;0;0;1;0;0;0;0;No;No;x;19/10/2015;2015/2016
Granada;Visitante;0;0;0;3;5;1,05;0;0;0;1;0,84;4;0;0;0;0;1;0;No;No;x;19/10/2015;2015/2016
Rayo;Local;3;6;1,53;0;0;0;3;1,47;7;0;0;0;1;0;0;0;0;0;Si;No;1;23/10/2015;2015/2016
Espanyol;Visitante;0;0;0;0;7;0,95;0;0;0;0;0,58;6;0;0;0;0;0;1;No;No;1;23/10/2015;2015/2016
Celta;Local;1;11;1,52;0;0;0;0;1,74;8;0;0;0;0;0;1;0;0;0;No;Si;2;24/10/2015;2015/2016
Real Madrid;Visitante;0;0;0;3;12;2,11;0;0;0;3;2,16;11;0;0;0;1;0;0;No;Si;2;24/10/2015;2015/2016
Granada;Local;1;4;1,37;0;0;0;1;1,21;2;0;0;0;0;2;0;0;0;0;No;No;x;24/10/2015;2015/2016
Betis;Visitante;0;0;0;1;5;0,89;0;0;0;1;1,11;8;0;0;0;0;1;0;No;No;x;24/10/2015;2015/2016
Málaga;Local;2;5;1,37;0;0;0;3;1,58;8;0;0;0;2;0;0;0;0;0;No;No;1;24/10/2015;2015/2016
